list_name	bg_loci	bg_known	sig_loci	sig_known	fold	fisher_p	cell	swept	kb	relation
colorectal	1678	269	34	8	1.47	0.164936550847044	melanoma x eQTLGen_blood	known_kb	500	unrelated control
prostate	1678	42	34	3	3.53	0.0509451292471936	melanoma x eQTLGen_blood	known_kb	500	unrelated control
RA	1678	110	34	6	2.69	0.0205608545497932	melanoma x eQTLGen_blood	known_kb	500	unrelated control
melanoma	2643	253	36	25	7.25	2.52943430936062e-18	melanoma x eQTLGen_blood	locus_kb	500	own outcome
HCC	2643	136	36	3	1.62	0.281946290589158	melanoma x eQTLGen_blood	locus_kb	500	unrelated control
colorectal	2643	569	36	12	1.55	0.0677727044477064	melanoma x eQTLGen_blood	locus_kb	500	unrelated control
prostate	2643	92	36	3	2.39	0.127999010590318	melanoma x eQTLGen_blood	locus_kb	500	unrelated control
RA	2643	239	36	6	1.84	0.100481731550736	melanoma x eQTLGen_blood	locus_kb	500	unrelated control
melanoma	1678	180	34	23	6.31	1.34733811096808e-15	melanoma x eQTLGen_blood	known_kb	1000	own outcome
HCC	1678	93	34	3	1.59	0.290590161170249	melanoma x eQTLGen_blood	known_kb	1000	unrelated control
colorectal	1678	394	34	12	1.5	0.0793491268295471	melanoma x eQTLGen_blood	known_kb	1000	unrelated control
prostate	1678	66	34	3	2.24	0.146658591705885	melanoma x eQTLGen_blood	known_kb	1000	unrelated control
RA	1678	164	34	7	2.11	0.0416555910827965	melanoma x eQTLGen_blood	known_kb	1000	unrelated control
melanoma	1678	180	34	23	6.31	1.34733811096808e-15	melanoma x eQTLGen_blood	locus_kb	1000	own outcome
HCC	1678	93	34	3	1.59	0.290590161170249	melanoma x eQTLGen_blood	locus_kb	1000	unrelated control
colorectal	1678	394	34	12	1.5	0.0793491268295471	melanoma x eQTLGen_blood	locus_kb	1000	unrelated control
prostate	1678	66	34	3	2.24	0.146658591705885	melanoma x eQTLGen_blood	locus_kb	1000	unrelated control
RA	1678	164	34	7	2.11	0.0416555910827965	melanoma x eQTLGen_blood	locus_kb	1000	unrelated control
melanoma	646	15	2	0	0	1	HCC_high x Soskic_CD4	known_kb	100	unrelated control
HCC	646	8	2	0	0	1	HCC_high x Soskic_CD4	known_kb	100	own outcome
colorectal	646	37	2	1	8.73	0.111354309165527	HCC_high x Soskic_CD4	known_kb	100	unrelated control
prostate	646	3	2	0	0	1	HCC_high x Soskic_CD4	known_kb	100	unrelated control
RA	646	17	2	0	0	1	HCC_high x Soskic_CD4	known_kb	100	unrelated control
melanoma	1093	103	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	100	unrelated control
HCC	1093	81	2	1	6.75	0.142786764927662	HCC_high x Soskic_CD4	locus_kb	100	own outcome
colorectal	1093	257	2	1	2.13	0.415142649360399	HCC_high x Soskic_CD4	locus_kb	100	unrelated control
prostate	1093	44	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	100	unrelated control
RA	1093	112	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	100	unrelated control
melanoma	646	30	2	0	0	1	HCC_high x Soskic_CD4	known_kb	250	unrelated control
HCC	646	18	2	1	17.94	0.0549931600547195	HCC_high x Soskic_CD4	known_kb	250	own outcome
colorectal	646	66	2	1	4.89	0.194038447692419	HCC_high x Soskic_CD4	known_kb	250	unrelated control
prostate	646	13	2	0	0	1	HCC_high x Soskic_CD4	known_kb	250	unrelated control
RA	646	37	2	0	0	1	HCC_high x Soskic_CD4	known_kb	250	unrelated control
melanoma	923	92	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	250	unrelated control
HCC	923	61	2	1	7.57	0.127876889234624	HCC_high x Soskic_CD4	locus_kb	250	own outcome
colorectal	923	212	2	1	2.18	0.4068079425997	HCC_high x Soskic_CD4	locus_kb	250	unrelated control
