timepoint	variable	n_R	n_NR	median_R	median_NR	diff	p
Pre	pct_CD8A_pos	9	10	0.414634146341463	0.528186274509804	-0.113552128168341	0.356232003290827
Pre	pct_cd8_free	9	10	0.493975903614458	0.457924836601307	0.0360510670131506	0.780185758513932
Pre	mean_CD8ness	9	10	-0.218147004469786	-0.019948409212846	-0.19819859525694	0.660720084868692
Pre	pct_CD4_pos	9	10	0.323529411764706	0.332729468599034	-0.00920005683432795	0.904825824330468
Post	pct_CD8A_pos	9	18	0.590909090909091	0.537777777777778	0.0531313131313131	0.897654071788243
Post	pct_cd8_free	9	18	0.348484848484849	0.445906432748538	-0.0974215842636895	0.354319034425165
Post	mean_CD8ness	9	18	0.22187194820126	0.0789059413697255	0.142966006831535	0.589040732967131
Post	pct_CD4_pos	9	18	0.247191011235955	0.377543859649123	-0.130352848413168	0.0327461842794244
