partner	interaction_name	Glyco_prob_hi	Glyco_prob_lo	Glyco_delta	TPI1_prob_hi	TPI1_prob_lo	TPI1_delta	concordant	max_abs_effect
CD8T	CCL3_CCR5	0.00612498340773797	0.0109987289650574	-0.00487374555731944	0.00582529585699508	0.0101725336873359	-0.00434723783034085	TRUE	0.00487374555731944
CD8T	CCL4_ACKR2	0	0	0	0	0	0	TRUE	0
CD8T	CCL4_CCR5	0.0341639226160358	0.0600017423614133	-0.0258378197453775	0.0325372391068372	0.0557018885498897	-0.0231646494430525	TRUE	0.0258378197453775
CD8T	CCL5_ACKR2	0	0	0	0	0	0	TRUE	0
CD8T	CCL5_CCR1	0	0	0	0	0	0	TRUE	0
CD8T	CCL5_CCR3	0	0	0	0	0	0	TRUE	0
CD8T	CCL5_CCR4	0	0	0	0	0	0	TRUE	0
CD8T	CCL5_CCR5	0.0524145685936354	0.0907581367606204	-0.0383435681669849	0.0499638512562255	0.0844522337563168	-0.0344883825000913	TRUE	0.0383435681669849
CD8T	CCL7_ACKR2	0	0	0	0	0	0	TRUE	0
CD8T	CCL7_CCR1	0	0	0	0	0	0	TRUE	0
CD8T	CCL7_CCR2	0	0	0	0	0	0	TRUE	0
CD8T	CCL7_CCR3	0	0	0	0	0	0	TRUE	0
CD8T	CCL8_ACKR2	0	0	0	0	0	0	TRUE	0
CD8T	CCL8_ACKR4	0	0	0	0	0	0	TRUE	0
CD8T	CCL8_CCR1	0	0	0	0	0	0	TRUE	0
CD8T	CCL8_CCR2	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL11_ACKR2	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL11_CCR3	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL13_ACKR2	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL13_ACKR4	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL13_CCR1	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL14_ACKR2	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL14_CCR1	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL15_CCR1	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL16_CCR1	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL17_ACKR2	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL17_CCR4	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL19_ACKR4	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL19_CCR7	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL1_ACKR4	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL1_CCR8	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL20_CCR6	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL21_ACKR4	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL21_CCR7	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL22_ACKR2	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL22_CCR4	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL23_CCR1	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL24_ACKR2	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL24_CCR3	0	0	0	0	0	0	TRUE	0
