sample	response	grp	n_cells	mean_expr	median_expr	detection	gene	analysis
Post_P7	Responder	lo	8	0.45125	0	0.125	CCR1	Glyco
Post_P8	Responder	hi	18	0	0	0	CCR1	Glyco
Post_P8	Responder	lo	18	0	0	0	CCR1	Glyco
Post_P10	Non-responder	hi	33	0.986363636363636	0	0.121212121212121	CCR1	Glyco
Post_P10	Non-responder	lo	33	0.292121212121212	0	0.0606060606060606	CCR1	Glyco
Post_P11	Non-responder	hi	17	1.58176470588235	0	0.176470588235294	CCR1	Glyco
Post_P11	Non-responder	lo	17	0.529411764705882	0	0.0588235294117647	CCR1	Glyco
Post_P12	Non-responder	hi	31	0.849354838709678	0	0.129032258064516	CCR1	Glyco
Post_P12	Non-responder	lo	31	1.60516129032258	0	0.193548387096774	CCR1	Glyco
Post_P13	Non-responder	hi	19	0.437894736842105	0	0.0526315789473684	CCR1	Glyco
Post_P13	Non-responder	lo	19	0	0	0	CCR1	Glyco
Post_P14	Non-responder	hi	15	0.588666666666667	0	0.133333333333333	CCR1	Glyco
Post_P14	Non-responder	lo	15	0.505333333333333	0	0.0666666666666667	CCR1	Glyco
Post_P15	Non-responder	hi	15	0	0	0	CCR1	Glyco
Post_P15	Non-responder	lo	15	0.0406666666666667	0	0.0666666666666667	CCR1	Glyco
Post_P16	Non-responder	hi	28	0	0	0	CCR1	Glyco
Post_P16	Non-responder	lo	28	0	0	0	CCR1	Glyco
Post_P17	Responder	hi	31	0	0	0	CCR1	Glyco
Post_P17	Responder	lo	31	0	0	0	CCR1	Glyco
Post_P18	Non-responder	hi	20	0	0	0	CCR1	Glyco
Post_P18	Non-responder	lo	20	0	0	0	CCR1	Glyco
Post_P19	Responder	hi	16	0	0	0	CCR1	Glyco
Post_P19	Responder	lo	16	0	0	0	CCR1	Glyco
Post_P20	Non-responder	hi	18	0.453333333333333	0	0.0555555555555556	CCR1	Glyco
Post_P20	Non-responder	lo	18	0.292222222222222	0	0.0555555555555556	CCR1	Glyco
Post_P21	Responder	hi	19	0	0	0	CCR1	Glyco
Post_P21	Responder	lo	19	0	0	0	CCR1	Glyco
Post_P22	Non-responder	hi	6	0	0	0	CCR1	Glyco
Post_P22	Non-responder	lo	6	0	0	0	CCR1	Glyco
Post_P23	Non-responder	hi	26	0.202692307692308	0	0.0384615384615385	CCR1	Glyco
Post_P23	Non-responder	lo	26	1.39307692307692	0	0.192307692307692	CCR1	Glyco
Post_P23_2	Non-responder	hi	24	0	0	0	CCR1	Glyco
Post_P23_2	Non-responder	lo	24	0	0	0	CCR1	Glyco
Post_P28_2	Non-responder	hi	24	0	0	0	CCR1	Glyco
