cluster	lineage	margin	CD8T	CD4Tconv	Treg	Tprolif	NK	B	Plasma	MonoMacro	DC	pDC
0	CD4Tconv		-0.252643375458796	0.535569064351293	0.522306374081559	0.00478327187339024	-0.34656898785823	-0.216047151092645	-0.138754075298252	-0.309527872254122	-0.0722550466047474	-0.23319351517288
1	CD8T		0.751030973879012	-0.0445561352284881	-0.090948516630466	-0.0750409894327076	0.237828321537548	-0.268875869444752	-0.109345460668678	-0.260985498993241	-0.0781452194231219	0.0921168735320287
2	CD8T		0.375391457137601	-0.0539025819685769	-0.149999092498991	-0.175979177623212	0.0267848750512873	-0.301684934368445	-0.170202818657696	-0.30208564773428	-0.0923927244265679	-0.124545088626009
3	CD4Tconv		-0.115028075470351	0.0755614977803549	-0.177692255522428	-0.156677574179498	-0.188226768135273	-0.290489634006866	-0.198843553736164	-0.297253241967088	-0.0855768290707274	-0.203886244736618
4	CD8T		0.24780668352312	0.18990020755054	0.145172615960017	0.0213417069617522	-0.0330369198812907	-0.248845139156766	-0.134714041654937	-0.292420481385279	-0.0854016051175631	-0.104646917068728
5	Tprolif		0.206013489655076	0.043533704465741	0.0296688442802587	0.29508261886698	0.24406235485477	-0.266294343823433	-0.0548473542158263	-0.24301727044434	-0.0355120671596403	0.118277643028915
6	NK		-0.0377273899098492	-0.253906720439075	-0.240072611943452	-0.18109345499105	1.70027861137125	-0.291796988950504	-0.107219078428268	0.13353312728875	-0.107446333989135	0.171549068415972
7	B		-0.87329211286694	-0.556370448607046	-0.322032649280411	-0.185854711094282	-0.399953334274552	2.52278978961982	0.137493693196124	-0.313813937767336	0.105565690236414	-0.236240103363503
8	Tprolif		0.788801345853444	-0.0942232979705804	0.0420533956324078	1.29312607584255	0.264424833170089	-0.247322849959062	-0.0210476619098723	-0.206475222442081	-0.0806714634268782	0.176296042342369
9	B		-0.869716503056137	-0.535465060841359	-0.326767315762051	-0.1514466091913	-0.391552324689338	2.56914563272875	0.192129208673348	-0.307693675624537	0.0845019129877534	-0.240344515943931
10	CD8T		0.467934229859104	0.0464023630470258	-0.0509301420660239	-0.0131149887068475	0.141835308994144	-0.277506769884595	-0.138820092705827	-0.264861714340069	-0.0868870671920775	-0.0201439541119805
11	CD8T		0.371371584444987	0.206045493040552	0.200883738944228	0.0580283651569184	-0.00130610346991625	-0.24935159938515	-0.136581107223327	-0.281386342125613	-0.0785388927220723	-0.0712627771796302
12	MonoMacro		-0.871215088393573	-0.494243786096855	-0.328630442178106	-0.192853844991125	-0.366744375128918	-0.280583350310629	-0.073633552511674	2.31273395151352	0.697130229254545	-0.0230371183646963
13	MonoMacro		-0.805892103455775	-0.306074333203682	-0.143755286441467	0.120697363747659	-0.338991805744181	-0.27947563974256	-0.0359509928437732	2.7909024389533	0.153569996686787	-0.0786327826234756
14	CD8T		0.235680154817787	0.102196029513357	0.0373247263017388	0.0272558283776448	0.120860637987785	-0.279310737694034	-0.118148437576687	-0.276628213936805	-0.0794377102994289	-0.0521427239854471
15	Plasma		-0.85812583023048	-0.761963030931978	-0.347089077402759	-0.17868017080434	-0.395480165962008	0.483953737897098	3.91165214184081	-0.301937033071286	-0.0753921998378959	-0.204465072440289
16	pDC		-0.45959899857016	-0.124795066160071	-0.27348681071431	-0.172866633340796	-0.272213360160292	-0.25289884813055	0.731334355595077	0.69649318410017	0.236037708787717	4.12037438390018
17	MonoMacro		-0.866645450514705	-0.413782949996688	-0.284987360662919	-0.135457446556625	-0.366991400309245	-0.263617254210709	-0.0200189209792969	2.00643922785479	1.68080834783568	0.158144348580396
18	CD8T		0.660896225295859	0.0044275472566782	-0.260514583670344	-0.184458617317283	0.569251542075392	-0.296317940142288	-0.119439625686023	-0.18721740702705	-0.0673740605222404	0.0826850322275532
19	MonoMacro		-0.876383312779027	-0.189350450141789	-0.055234402041754	0.378892094709459	-0.337415777823749	-0.322998794990155	-0.0370341314280732	2.9747410852081	0.124942820526871	-0.211404057509702
20	B		-0.865242931881539	-0.528492066347909	-0.303641321586394	-0.16483444898572	-0.379551262107028	2.54573648057361	0.205883682383748	-0.32250306598628	0.12799876627599	-0.203852290646212
21	B		-0.865133816547859	-0.585603286338296	-0.202077062877304	-0.205931940303662	-0.402089878840975	1.87493788195903	0.633890081494291	-0.330486185821293	-0.0491841579026662	-0.206852383730846
