section	patient	gene	n	beta_tumor	p_tumor	beta_lymphoid	p_lymphoid	beta_depth	r2
mel1_rep1	mel1	TPI1	271	0.08945212337500166	0.23366587063539446	-0.10440866812578109	0.1371802058303959	0.2495703510537553	0.09775483722500611
mel1_rep1	mel1	SMC2	271	0.05916087354229624	0.44809759830782525	0.033269407905511326	0.6479315353188696	0.12504490471038968	0.02571628601150855
mel1_rep1	mel1	ZFYVE19	271	-0.0805818334731449	0.303102466036931	0.08778318033386867	0.23014280746061677	0.0275810195513147	0.020055103628704662
mel1_rep1	mel1	SPSB2	271	-0.040056231301511966	0.6091586731791211	0.028223282056062417	0.6998553735569725	0.12455369029878106	0.016173876555973243
mel1_rep1	mel1	HLA-C	271	-0.020669296021860822	0.784278998900133	0.1705252343912031	0.016227738441716377	0.2114723758912014	0.08590529959416027
mel1_rep1	mel1	KIAA0040	271	-0.20773966278723804	0.005722506131658553	0.13137497854938707	0.060495896110078724	0.2212976380131476	0.10657744444875605
mel1_rep2	mel1	TPI1	292	0.35297873887623554	7.833177964277208e-06	0.057327712937631066	0.380257751023786	0.00892853912945978	0.11345605819388893
mel1_rep2	mel1	SMC2	292	0.009019654781687614	0.9123843107036873	-0.09707279011930225	0.15999572656315034	0.019290848462922148	0.010839700051070822
mel1_rep2	mel1	ZFYVE19	292	-0.06155007514814813	0.45441601586931774	0.0095591085973613	0.8901205709333967	0.06678647342476277	0.0044174892554789125
mel1_rep2	mel1	SPSB2	292	-0.06458144345909439	0.43021200846843194	0.030079655273157823	0.6622219148937927	0.12871573019554527	0.014377066320526044
mel1_rep2	mel1	HLA-C	292	0.03299946829202713	0.6715126982972031	0.24005867768513578	0.0002885063497569774	0.22197691988681081	0.10889667982796225
mel1_rep2	mel1	KIAA0040	292	-0.32665190540515404	3.916387193432072e-05	0.05505475119198052	0.4034086951330524	0.2379175789727697	0.09824710307808249
mel2_rep1	mel2	TPI1	382	0.09084124775802804	0.14625612003807825	-0.05980491301697473	0.305200130049232	0.2942569615292082	0.11729898691880958
mel2_rep1	mel2	SMC2	382	-0.049472934446942396	0.4558328094558464	0.007495912945712476	0.9036275721583057	0.06003927091125468	0.004181578661017316
mel2_rep1	mel2	ZFYVE19	382	-0.0696286009412553	0.2933913231060611	0.015276735849775597	0.8048157384456209	-0.017619056870128852	0.007119006654323967
mel2_rep1	mel2	SPSB2	382	-0.0355228523838504	0.5896678138778408	-0.10465434200364668	0.08929387372469118	0.13543828260451893	0.018064630305294593
mel2_rep1	mel2	HLA-C	382	-0.11715598236275651	0.06133926584982837	0.09765163848305976	0.09464065510633045	0.3190807524566979	0.11636981121141154
mel2_rep1	mel2	KIAA0040	382	0.00146185287130092	0.9822748750995174	0.09797928661774542	0.1112826661299985	0.08287478066834807	0.01969635333643316
mel2_rep2	mel2	TPI1	375	0.10750361391464475	0.06678754294270584	-0.14477098577193964	0.01996260592894055	0.018571136081075384	0.04492752080867246
mel2_rep2	mel2	SMC2	375	-0.06442178523716242	0.28063575450213735	-0.09646645024339003	0.1275427776937438	0.01885318786711535	0.006974062303719664
mel2_rep2	mel2	ZFYVE19	375	-0.045790074631602326	0.44143304251030113	0.006591167150479792	0.9166630327751135	0.10768160678409129	0.013718928874878467
mel2_rep2	mel2	SPSB2	375	0.021040774470565987	0.7226560094439733	0.004846330218560941	0.938485213073617	0.13591329115908113	0.019735319167891285
mel2_rep2	mel2	HLA-C	375	0.00026163131245909854	0.9963576833944225	0.13226566741825124	0.02988671985343544	0.2165172175157868	0.08370644446072606
mel2_rep2	mel2	KIAA0040	375	-0.0740153185007939	0.2112251457514912	0.07532314560682639	0.22970406007087552	0.07359665607234632	0.024338947501595487
mel3_rep1	mel3	TPI1	255	0.036094242299503226	0.5644704682881643	-0.0013763657127075857	0.9825174008404791	0.16446067764962335	0.028508035959462275
mel3_rep1	mel3	SMC2	255	0.032329701754588776	0.6105011672246294	-0.032600967281527234	0.6086030252404406	-0.01246480617054523	0.0024129021764820457
mel3_rep1	mel3	ZFYVE19	255	-0.003655382448919775	0.9538494811193039	0.01921196826428413	0.7617227753082031	0.10749208943976832	0.011620302124812909
mel3_rep1	mel3	SPSB2	255	0.08168357956857492	0.19232479421774681	0.14799123434438463	0.018979699178008617	0.0802970956241174	0.03074588131219691
mel3_rep1	mel3	HLA-C	255	-0.0271451746541337	0.6676050524421869	-0.003281959392987191	0.9587102429354096	0.09850642155156038	0.010433633677769394
mel3_rep1	mel3	KIAA0040	255	-0.04772405425686932	0.446233451762421	-0.08491835678313617	0.1771567443997575	0.1350855371497781	0.028568876815611488
mel3_rep2	mel3	TPI1	282	0.01708054985503968	0.7839341997208341	-0.05337708893959018	0.3716945895277371	0.10833569247273298	0.016340746419320595
mel3_rep2	mel3	SMC2	282	0.008846700966466184	0.8874255519060658	-0.05014200756954375	0.4028682318064863	0.0815824391163987	0.009917240127510718
mel3_rep2	mel3	ZFYVE19	282	-0.037652816480431575	0.5459368593429313	-0.036909478611269995	0.5369038282221259	0.12160620373627172	0.014949189333603008
mel3_rep2	mel3	SPSB2	282	0.021657979183393898	0.7292879480043134	-0.06021722539848072	0.3158710643100291	0.04756467220650826	0.007276584846973466
mel3_rep2	mel3	HLA-C	282	-0.02868463578745009	0.6368525460154663	0.197376120284243	0.0007930364024971823	0.16757781743599726	0.06444324231562837
mel3_rep2	mel3	KIAA0040	282	0.04679650855629064	0.44617960798465955	-0.08933450749933285	0.12983335394389467	0.16828481530036837	0.04431987341686594
mel4_rep1	mel4	TPI1	212	0.050743720622966254	0.5169838498802585	0.007250934097332408	0.9158888292981936	0.2390454975108904	0.07134826039973952
mel4_rep1	mel4	SMC2	212	0.010037698944085321	0.9003182784674516	-0.03177913336617788	0.6512693535498921	0.15492615175194432	0.026553939108872604
mel4_rep1	mel4	ZFYVE19	212	-0.0764897460604024	0.33983447826026164	0.005729535409803164	0.9349662279397613	0.19129983104006437	0.028622510118039735
mel4_rep1	mel4	SPSB2	212	0.053306123691091944	0.5108442497395959	-0.00887466372427176	0.9006344662809685	-0.07276564985788134	0.004688654299537909
mel4_rep1	mel4	HLA-C	212	-0.057985990460223014	0.4637665640488894	-0.0012480901413788506	0.9856470659830995	0.24948286313872758	0.05166698587325158
mel4_rep1	mel4	KIAA0040	212	-0.03317424615415962	0.6767552906645659	0.1193488636191185	0.08833492775632044	0.1682861011318634	0.04049545104288599
mel4_rep2	mel4	TPI1	248	0.057779650034654406	0.4047478763386991	0.1084261384833147	0.12056917927679829	0.05891068006891615	0.01627220206469182
mel4_rep2	mel4	SMC2	248	-0.09061264877607157	0.19331823850864344	-0.0388575437031564	0.5784556056129146	0.06459276012933621	0.00952511039103987
mel4_rep2	mel4	ZFYVE19	248	0.014593874708664772	0.8329371172526936	-0.044771828158270924	0.5199531462116831	0.13480632082243268	0.019578503830599114
mel4_rep2	mel4	SPSB2	248	0.0645732639194321	0.3531150019710447	0.10082434799603324	0.14977948559064008	0.025664537691358888	0.011160195200700773
mel4_rep2	mel4	HLA-C	248	-0.2261810616063799	0.0009566067140795519	0.038417262454491466	0.5726572670902678	-0.028953782540133092	0.06081772735799573
mel4_rep2	mel4	KIAA0040	248	-0.14035281334073926	0.042494811849147524	-0.16178666966382663	0.020185571731108434	0.03590551819661303	0.027765811459633305
