timepoint	genes	subset	n_R	n_NR	score_diff	ci_lo	ci_hi	wilcox_p	perm_p_score	dir_obs	perm_p_direction
Pre	16	locked16 | all samples	9	10	0.741680164943849	0.22594909803769	1.29950254680435	0.0652536318170993	0.00929953502324884	15	0.117494125293735
Pre	16	locked16 | one per patient	9	10	0.741680164943849	0.22879509132615	1.28273401978892	0.0652536318170993	0.00619969001549923	15	0.114944252787361
Pre	16	locked16 | patients with a single sample	9	10	0.741680164943849	0.208042679723222	1.30485890759597	0.0652536318170993	0.00919954002299885	15	0.11794410279486
Pre	15	locked15_noTPI1 | all samples	9	10	0.709919586181488	0.18543887620429	1.26333057949131	0.0652536318170993	0.0107994600269987	14	0.11824408779561
Pre	15	locked15_noTPI1 | one per patient	9	10	0.709919586181488	0.176328335017142	1.28642736032651	0.0652536318170993	0.00984950752462377	14	0.124693765311734
Pre	15	locked15_noTPI1 | patients with a single sample	9	10	0.709919586181488	0.200109897092458	1.28021059146671	0.0652536318170993	0.0106494675266237	14	0.12334383280836
Post	16	locked16 | all samples	8	20	0.866991599317764	0.372343347533115	1.30479996188562	0.0046890307759873	0.000549972501374931	15	0.087895605219739
Post	16	locked16 | one per patient	7	17	0.777691805010586	0.267260638421782	1.25680909280983	0.0194854725747174	0.00294985250737463	15	0.0810959452027399
Post	16	locked16 | patients with a single sample	6	14	0.876612242824426	0.413191324007832	1.34554480955698	0.0064499484004128	0.00199990000499975	15	0.0886955652217389
Post	15	locked15_noTPI1 | all samples	8	20	0.847803661444487	0.36811723919238	1.28540263346094	0.00565231869579696	0.000949952502374881	14	0.0857457127143643
Post	15	locked15_noTPI1 | one per patient	7	17	0.753943864149933	0.258768731457471	1.23728724308042	0.0282631810091764	0.00414979251037448	14	0.0806459677016149
Post	15	locked15_noTPI1 | patients with a single sample	6	14	0.840653922445029	0.363883870150044	1.31275049621179	0.0117131062951496	0.00219989000549973	14	0.0873956302184891
