direction	partner	pathway	n_LR	raw_sum_hi	raw_sum_lo	raw_delta_sum	raw_mean_hi	raw_mean_lo	raw_delta_mean	n_sig_hi	n_sig_lo	threshold_sum_hi	threshold_sum_lo	threshold_delta	threshold_effect	raw_relative_pct	netP_hi	netP_lo	netP_delta	error_hi	error_lo
Incoming_partner_to_CD4	NK	SLIT	3	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	SLITRK	8	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	SLURP	16	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	SN	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	SOMATOSTATIN	7	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	SPP1	9	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	TAC	4	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	TENASCIN	28	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	TGFb	12	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	THBS	30	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	THY1	3	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	TNF	2	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	NK	TRAIL	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	TRH	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	TSH	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	TULP	5	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	TWEAK	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	UCN	4	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	UGRP1	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	UNC5	12	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	UROTENSIN	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	UTS2	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	VCAM	4	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	NK	VEGF	8	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	VEGI	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	VISFATIN	1	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	NK	VTN	7	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	VWF	3	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	WNT	320	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	XCR	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	NK	ncWNT	31	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	ACTIVIN	20	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	ADIPONECTIN	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	ADM	6	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	AGRN	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	AGT	3	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	AMH	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	ANGPT	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	ANGPTL	15	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	ANNEXIN	6	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	APP	4	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	APRIL	2	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	ApoA	4	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	ApoB	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	ApoE	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	BAFF	3	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	BAG	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	BMP	75	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	BMP10	4	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	BRADYKININ	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	BSP	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	BTLA	1	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	CADM	6	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	CALC	12	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	CALCR	8	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	CCL	55	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	CD137	1	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	CD160	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	CD200	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	CD23	4	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	CD276	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	CD30	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	CD34	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	CD39	4	0.000883153417546235	0	0.000883153417546235	0.000220788354386559	0	0.000220788354386559	1	0	0.000883153417546235	0	0.000883153417546235	0	200	0.000883153417546235	0	0.000883153417546235	0	0
Incoming_partner_to_CD4	Plasma	CD40	4	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	CD45	2	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	CD46	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	CD48	1	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	CD6	1	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	CD70	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	CD80	3	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	CD86	2	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	CD96	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	CD99	4	0.0359964912861132	0.0370233563284516	-0.0010268650423384	0.0089991228215283	0.0092558390821129	-0.000256716260584599	0	0	0	0	0	0.0010268650423384	-2.81256418873592	0	0	0	0	0
Incoming_partner_to_CD4	Plasma	CDH	4	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	CDH1	3	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	CEACAM	7	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	CHAD	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	CHEMERIN	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	CLDN	4	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	CLEC	6	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
