row	sig_loci	p_full	worst_locus	worst_genes	p_worst_drop	still_sig
Melanoma	8	0.00484067292102242	16:88860636-89730161	CHMP1A,CDK10,SPATA33,VPS9D1-AS1	0.0254752532978259	TRUE
Lung	10	0.0138094424084657	11:61779596-62610749	TMEM258,FADS1	0.0569462863636965	FALSE
Colorectal	6	0.000975678638489542	11:61779596-62610749	FADS1	0.00312409416265124	TRUE
Breast	23	0.000264878884530407	11:306884-855318	IFITM3,EPS8L2	0.000631043956482819	TRUE
Prostate	28	4.65844096892307e-06	10:102424324-102852007	WBP1L,BORCS7	9.99590477895446e-06	TRUE
