symbol	n_profiles	max_absz	mean_absz	best_eqtl_p
TPI1	1	3.189686837129555	3.189686837129555	1.7389096e-12
ENO1	2	1.0602974333631898	1.013722956007368	5.2713234e-09
SLC2A1	1	0.9740769207120238	0.9740769207120238	1.4028616e-07
ENO3	2	0.4896687466296895	0.386896980228131	2.190756e-06
HK1	1	0.4612725991341493	0.4612725991341493	9.678204e-05
PGM1	1	0.361704796505879	0.361704796505879	7.962795e-05
PFKL	1	0.224512891779675	0.224512891779675	1.5372412e-05
