pmid	pmc	year	journal	title	strict_C1_known_locus	strict_C2_coloc	strict_C3_power_stability	strict_C4_instrument_count	strict_C5_smr_heidi	wide_C1_known_locus	wide_C2_coloc	wide_C3_power_stability	wide_C4_instrument_count	wide_C5_smr_heidi
40140823	PMC11938603	2025	Lipids in health and disease	Druggable genome-wide Mendelian randomization identifies therapeutic targets for metabolic dysfunction-associated steato	0	1	0	1	1	0	1	0	1	1
40149725	PMC11939929	2025	Biomedicines	Multi-Omics Integration Reveals Mitochondrial Gene Regulation as a Determinant of Tuberculosis Susceptibility: A Mendeli	0	1	0	0	1	1	1	0	0	1
40211130	PMC11983800	2025	BMC cancer	Investigating potential drug targets for the treatment of glioblastoma: a Mendelian randomization study.	0	1	0	1	0	0	1	1	1	0
40248742	PMC12000963	2025	Translational lung cancer research	Single cell RNA-seq and bulk RNA-seq analysis identifies MUC1 as a key gene for lung adenocarcinoma to neuroendocrine tr	0	1	0	0	0	0	1	0	0	0
40301928	PMC12039192	2025	Diabetology &amp; metabolic syndrome	Identifying therapeutic target genes for diabetic retinopathy using systematic druggable genome-wide Mendelian randomiza	0	1	0	1	0	0	1	0	1	0
40360443	PMC12074867	2025	Journal of cellular and molecular medicine	Revealing Putative Causal Genes by Establishing the Causality Between Different Lymphomas and Immune Cells.	0	1	0	0	1	0	1	1	0	1
40374962	PMC12081795	2025	Discover oncology	Deciphering the role of acetylation-related gene NAT10 in colon cancer progression and immune evasion: implications for 	0	0	0	0	1	0	0	0	1	1
40443776	PMC12121511	2025	Food science &amp; nutrition	Mendelian Randomization Assessment of the Genetic Effects of Lipid-Lowering Drugs on Digestive System Cancers.	0	1	0	1	1	0	1	0	1	1
40463915	PMC12130657	2025	Clinical Medicine Insights. Oncology	Causal Association Between Lung Cancer and Rash: A Bidirectional Mendelian Randomization Study.	0	0	0	1	0	0	0	1	1	0
40495162	PMC12150496	2025	Nutrition &amp; metabolism	Integrative multi-omics investigation of sleep apnea: gut microbiome metabolomics, proteomics and phenome-wide associati	0	1	0	1	1	1	1	1	1	1
40496862	PMC12149120	2025	Frontiers in immunology	Integrative genomic and single-cell framework identifies druggable targets for colorectal cancer precision therapy.	0	1	0	0	0	0	1	0	0	0
40536885	PMC12184172	2025	Epigenetics	DNA methylation and bronchiectasis: a Mendelian randomization analysis to investigate causal link and therapeutic target	0	1	0	1	1	0	1	1	1	1
40555237	PMC12256824	2025	American journal of human genetics	Single-cell transcriptome-wide Mendelian randomization and colocalization analyses uncover cell-specific mechanisms in a	0	1	0	1	1	0	1	1	1	1
40596422	PMC12217002	2025	Scientific reports	Genetic association analysis between LDL-c lowering drugs and portal hypertension using Mendelian randomization analysis	0	1	0	0	1	0	1	1	0	1
40611294	PMC12231756	2025	Journal of translational medicine	Identification of key genes as diagnostic biomarkers for IBD using bioinformatics and machine learning.	0	1	0	0	1	0	1	0	0	1
40616157	PMC12231758	2025	Diabetology &amp; metabolic syndrome	Cathepsin H increases the risk of diabetic retinopathy: evidence from Mendelian randomization and bioinformatic analysis	0	0	0	0	1	0	0	0	0	1
40629249	PMC12511179	2025	Molecular neurobiology	EP300 Regulates CD8br AC (TBNK Panel) to Facilitate Insomnia.	0	0	0	1	1	0	0	0	1	1
40638267	PMC12626534	2025	International journal of surgery (London, England)	Integrative multi-omics analysis reveal novel therapeutic targets for glioblastoma.	0	1	0	0	1	0	1	1	0	1
40653474	PMC12257857	2025	Journal of cardiothoracic surgery	Identification of potential drug targets for achalasia from genetic insights: a Mendelian randomization study.	0	1	0	1	1	0	1	0	1	1
40653482	PMC12257706	2025	Journal of translational medicine	Multi-omics analysis for identifying cell-type-specific and bulk-level druggable targets in Alzheimer's disease.	0	1	0	0	1	1	1	1	0	1
40676348	PMC12270988	2025	Discover oncology	Cross-tissue transcriptome-wide analysis reveals novel insights into thyroid cancer etiology.	0	1	0	0	0	0	1	0	0	0
40687153	PMC12275929	2025	Journal of inflammation research	Characterizing Duodenal Immune Microenvironment in Functional Dyspepsia: An AutoML-Driven Diagnostic Framework.	0	0	0	0	0	0	0	0	0	0
40760609	PMC12323976	2025	Medicine	Mendelian randomization reveals causal circulatory microRNAs in prostate cancer pathogenesis and prognosis.	0	0	0	1	0	0	0	0	1	0
40771899	PMC12327419	2025	Journal of inflammation research	VOPP1 as a Novel Susceptibility Gene in Rheumatoid Arthritis: Insights Into Its Mechanisms From Mendelian Randomization 	0	1	0	0	0	0	1	0	0	0
40775364	PMC12329876	2025	Human genomics	TRP channels in hepatocellular carcinoma: integrative Mendelian randomization and multi-omics analyses highlight MCOLN3/	0	0	0	0	0	0	0	0	0	0
40895540	PMC12391104	2025	Frontiers in immunology	eQTL and multi-omics integration reveal PPIH as a prognostic and immunotherapeutic biomarker.	0	0	0	0	1	0	0	0	1	1
40934270	PMC12425328	2025	PloS one	Genetic association of lipids characteristics and lipid lowering drug target genes with sepsis.	0	0	0	0	0	0	0	0	0	0
40988222	PMC12459491	2025	Medicine	Inhibition of lactylation by LRP1 expression increases the risk of intervertebral disc degeneration: A multi-omics summa	0	0	0	0	1	0	0	0	0	1
40996626	PMC12463778	2025	Discover oncology	Integrated single-cell transcriptomics and Mendelian randomization identify neutrophil-associated biomarker genes in col	0	1	0	1	0	0	1	0	1	0
41023518	PMC12552295	2025	Inflammopharmacology	Genetic insights into the relationship between anti-inflammatory drug target genes and oral diseases.	0	0	0	0	0	0	0	0	0	0
41029193	PMC12487071	2025	The journal of headache and pain	Dissecting immune cell-specific genetics in migraine: a multi-omics framework for target discovery and therapeutic prior	0	1	0	1	0	0	1	0	1	0
41029778	PMC12487246	2025	Hereditas	Multi-omics Mendelian randomization integrating RNA-seq, eQTL and pQTL data revealed CPXM1 as a potential drug target fo	0	0	0	0	0	0	0	0	0	0
41056019	PMC12825853	2026	International journal of surgery (London, England)	Elucidating the causal effects of plasma metabolites on breast cancer from multiple perspectives.	0	0	0	0	1	0	0	0	0	1
41060947	PMC12511739	2025	Clinical and applied thrombosis/hemostasis : official journal of the International Academy of Clinical and Applied Thrombosis/Hemostasis	Exploring the Causal Relationship Between Circulating miRNAs and Sepsis Through Mendelian Randomization Analysis.	0	0	0	0	0	0	0	1	0	0
41104896	PMC12572761	2026	Molecular medicine reports	Exploring the role of cytochrome P450 family 1 subfamily B member 1 and quercetin in modulating neuropathic pain after s	0	0	0	0	1	0	0	0	1	1
41118084	PMC12540951	2025	Discover oncology	Association of antipsychotic drug target genes and risk of lung cancer: a Mendelian randomization study.	0	1	0	1	1	0	1	1	1	1
41120349	PMC12540756	2025	NPJ Parkinson's disease	Peripheral immune cell-specific genes in Parkinson's disease uncovered by multi-omics with therapeutic implications.	0	1	0	1	0	0	1	1	1	0
41143248	PMC12549628	2025	Frontiers in aging neuroscience	Deciphering Alzheimer's disease transcriptomics: exploration and validation of core genes in tau and A&#x3b2; pathologic	0	0	0	0	0	0	0	0	0	0
41165397	PMC12584030	2025	Translational vision science &amp; technology	Druggable Genome Mendelian Randomization and GWAS-sceQTLs MR Analysis Reveal Genetic Associations Between Open-Angle Gla	0	1	0	0	1	0	1	1	0	1
41204543	PMC12599766	2025	Medicine	Development and validation of a prognostic model for endometrial carcinoma using causal genes identified by Mendelian ra	0	0	0	0	1	0	0	0	0	1
41209747	PMC12595932	2025	Journal of pain research	Druggable Genome-Wide Mendelian Randomization Identifies Distinct Therapeutic Targets for Low Back Pain, Intervertebral 	0	1	0	1	1	0	1	0	1	1
41210684	PMC12595268	2025	Journal of Cancer	Integrative Analysis of GEO Datasets and Mendelian Randomization Reveals a Potential Role ofISOC1 in Renal Cell Carcinom	0	0	0	0	0	0	0	0	0	1
41216857	PMC12697907	2025	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	Integrating Single-Cell Transcriptome-Wide Mendelian Randomization and Differentially Expressed Gene Analyses to Priorit	0	1	1	1	0	0	1	1	1	0
41233745	PMC12613605	2025	The journal of headache and pain	A single-cell multi-omics framework identifies immune cell drivers of migraine and repurposable therapeutics.	0	1	0	1	0	0	1	0	1	0
41254692	PMC12625014	2025	Journal of translational medicine	Integrative multi-omics and Mendelian randomization identify WWOX and THBS2 as potential therapeutic targets in mature T	0	1	0	0	1	0	1	1	0	1
41254735	PMC12625036	2025	Journal of translational medicine	HLA-A drives diabetic retinopathy pathogenesis: multi-omics integration reveals resveratrol's therapeutic potential via 	0	1	0	0	0	0	1	0	0	0
41258624	PMC12630431	2025	Discover oncology	Integrative genomic analysis reveals causal relationships between breast mammary tissue gene expression and breast cance	0	0	0	1	1	0	0	1	1	1
41261637	PMC12582833	2025	Medicine	Identifying potential drug targets for cerebral amyloid angiopathy: A Mendelian randomization study based on the druggab	0	1	0	1	1	0	1	0	1	1
41288822	PMC12647496	2025	Discover oncology	Integration of Mendelian randomization and transcriptome wide association studies for causal gene identification in ovar	0	0	0	0	1	0	0	0	0	1
41296236	PMC12657707	2025	Discover oncology	Identification of potential bladder cancer drug targets through Mendelian randomization and molecular docking.	0	1	0	0	0	0	1	0	0	0
41310897	PMC12661753	2025	Hereditas	Integrative multi-omics and single-cell transcriptomics reveal ARHGEF12 driving chemoresistance in bladder cancer.	0	0	0	1	0	0	0	1	1	0
41346997	PMC12672242	2025	Frontiers in medicine	Neuromedin B identified as a therapeutic target for atopic dermatitis: evidence from Mendelian randomization and PCR val	0	1	0	1	1	0	1	0	1	1
41366697	PMC12801670	2025	Human genomics	Multi-omics and comprehensive multi-trait analysis identify shared genetic etiology of heart failure and related cancers	0	1	0	0	1	1	1	1	0	1
41368242	PMC12683474	2025	Translational andrology and urology	Integration of genetic, proteomic, and transcriptomic data identifies therapeutic targets and prognostic biomarkers in b	0	1	0	0	1	0	1	0	0	1
41369912	PMC12696314	2025	Science progress	From genetic causality to druggable targets: A multiomics framework identifies ZSCAN16 in gout pathogenesis.	0	1	0	1	0	0	1	1	1	0
41372872	PMC12822165	2025	BMC cancer	New drug targets for acute myeloid leukemia identified through a comprehensive analysis of the plasma protein.	0	1	0	1	0	0	1	0	1	0
41378022	PMC12686208	2025	Translational cancer research	Genetic insights into colorectal cancer pathogenesis: a multi-omics and immunity perspective.	0	0	0	1	1	0	0	0	1	1
41378860	PMC12699778	2025	European journal of psychotraumatology	Integrating multi-omics to reveal the causal effect of gut microbiota on post-traumatic stress disorder and potential dr	0	1	0	0	1	0	1	1	0	1
41382013	PMC12696905	2025	The journal of headache and pain	L3MBTL2 as a novel therapeutic target for trigeminal neuralgia: evidence from integrated TWAS, multi-tissue MR, and expe	0	1	0	0	1	0	1	1	0	1
41388545	PMC12699805	2025	Journal of ovarian research	Integrative multi-omics analysis of druggable genes for therapeutic target identification in polycystic ovary syndrome.	0	1	0	1	1	0	1	0	1	1
41415264	PMC12709030	2025	Cancer informatics	Integrative Analysis of eQTL Genes Reveals Key Biomarkers and Mechanisms for Early Diagnosis of Pancreatic Ductal Adenoc	0	1	0	1	1	0	1	0	1	1
41415292	PMC12708247	2025	Frontiers in immunology	Causal inference of CLEC5A and ISG20 in atherosclerosis: integrating Mendelian randomization and eQTL evidence.	0	0	0	0	0	0	0	0	0	0
41431740	PMC12718510	2025	Breast cancer (Dove Medical Press)	Mendelian Randomization Integrating GWAS and eQTL Data Reveals DAAM1, a Potential Immune-Related Biomarker for Breast Ca	0	0	0	0	0	0	0	0	0	0
41436647	PMC12848082	2025	Scientific reports	Unveiling novel potential drug targets for lung cancer through Mendelian randomization analysis.	0	1	0	0	0	1	1	0	0	0
41465920	PMC12746970	2025	Medicine	Causal relationship between palmitoylation genes mediated by immune cell phenotypes and oral cancer: A Mendelian randomi	0	0	0	1	0	0	0	0	1	0
41496791	PMC12767815	2026	The World Allergy Organization journal	The exploration of immunological landscape and drug targets in chronic rhinosinusitis with nasal polyps.	0	0	0	0	1	0	0	0	0	1
41499168	PMC13138598	2026	European thyroid journal	Network toxicology and Mendelian randomization reveal pathogenic factors of monoethyl phthalate-induced thyroid cancer.	0	0	0	1	0	0	0	0	1	0
41507915	PMC12964953	2026	World journal of surgical oncology	Identification of novel circulating protein biomarkers for hepatocellular carcinoma superior to alpha-fetoprotein throug	0	0	0	1	0	0	0	0	1	0
41528614	PMC12886693	2026	Discover oncology	Mendelian randomization analysis of PKD1 in endometrial cancer and comparative multi-cancer study with renal cell carcin	0	0	0	0	1	0	0	0	0	1
41596712	PMC12842411	2026	International journal of molecular sciences	Gut Microbiota and Type 2 Diabetes: Genetic Associations, Biological Mechanisms, Drug Repurposing, and Diagnostic Modeli	0	0	0	0	1	0	0	1	0	1
41603583	PMC12850000	2026	FASEB journal : official publication of the Federation of American Societies for Experimental Biology	Mining Potential Therapeutic Targets for T Cell Exhaustion in Osteoarthritis by Integrating Mendelian Randomization and 	1	0	0	1	0	1	0	0	1	0
