cell	sample	grp	match_pair	nFeature	Glyco
D4_P1_M44_L001	Post_P11	lo	Post_P11__7__1	1466	-0.516339512904397
D5_P11_MMD5_L001	Post_P8	hi	Post_P8__7__5	1491	2.43331697564522
D5_P3_M43_L001	Post_P14	hi	Post_P14__10__3	2165	4.28514358415122
D5_P4_M67_L001	Post_P6	lo	Post_P6__13__1	2747	-0.115121773900396
D6_P1_MMD6_L001	Post_P22	hi	Post_P22__7__1	1585	2.32541621228644
D6_P4_M13_L001	Post_P15	hi	Post_P15__11__1	2309	3.11477190112686
D7_P1_M71_L001	Post_P12	hi	Post_P12__10__5	2087	2.30619592875318
D7_P4_M45_L001	Post_P18	hi	Post_P18__12__1	2516	3.01427299163941
D8_P10_MMD2-36B_L001	Post_P10	hi	Post_P10__9__6	1912	3.92060796074155
D8_P1_M15	Post_P1	lo	Post_P1__17__1	3424	-0.100202653580513
D8_P1_M89_L001	Post_P28_2	lo	Post_P28_2__12__3	2528	0.569822791712104
D8_P2_M47	Post_P4	lo	Post_P4__9__3	1900	-1.8705461650309
D8_P5_M45_L001	Post_P18	hi	Post_P18__9__7	1948	2.54618956743002
D8_P7_M36_L001	Post_P3_2	hi	Post_P3_2__9__1	1857	2.86082606324973
D9_P1_M45_L001	Post_P18	hi	Post_P18__11__1	2290	2.92175754271174
D9_P1_M83_L001	Post_P23	hi	Post_P23__11__1	2233	3.271651217739
D9_P5_M13_L001	Post_P15	hi	Post_P15__9__5	1968	2.69047164667394
D9_P5_M89_L001	Post_P28_2	hi	Post_P28_2__12__3	2529	2.97103598691385
E10_P2_M51_L001	Post_P21	hi	Post_P21__7__2	1487	2.8160350781534
E10_P2_M71_L001	Post_P12	hi	Post_P12__7__1	1556	1.92278171573973
E10_P3_M23	Post_P3	lo	Post_P3__10__7	2168	-1.04147219193021
E10_P3_MMD7_L001	Post_P19	hi	Post_P19__8__6	1762	4.30165212649946
E10_P8_M47_T_enriched	Post_P4	hi	Post_P4__10__4	2124	1.25234187568157
E11_P1_M23	Post_P3	hi	Post_P3__10__7	2193	3.06419211195929
E11_P1_M89_L001	Post_P28_2	hi	Post_P28_2__15__3	3019	3.54926844783715
