cell	glyco_grp	tpi1_grp
B9_P3_M44_L001	hi	lo
B9_P4_MMD7_L001	lo	lo
B9_P7_MMD7_L001_myeloid_enriched	lo	hi
B9_P8_MMD2-36B_L001	hi	hi
C10_P10_MMD2-36B_L001	hi	lo
C10_P1_M44_L001	lo	lo
C10_P1_M71_L001	hi	lo
C10_P1_M83_L001	lo	hi
C10_P1_MMD1-84A_L001	hi	hi
C10_P3_M79_L001	lo	hi
C10_P3_M89_L001	hi	hi
C10_P5_M45_L001	lo	hi
C10_P5_M68_L001	hi	lo
C11_P1_M51_L001	hi	lo
C11_P4_M45_L001	hi	hi
C11_P4_MMD1-84A_L001	hi	hi
C11_P5_M44_L001	hi	hi
C11_P5_M45_L001	lo	lo
C11_P5_MMD9_L001	hi	lo
C12_P1_M15	lo	lo
C12_P2_MMD1-84B_L001	lo	lo
C12_P3_M79_L001	hi	lo
C12_P3_MMD5_L001	lo	lo
C12_P4_M47	lo	hi
C12_P6_M15	hi	hi
C12_P8_M36_L001	hi	lo
C1_P1_M39	hi	lo
C1_P1_MMD7_L001	lo	hi
C1_P3_M68_L001	lo	lo
C1_P3_M74_L001	lo	hi
C1_P8_M47_T_enriched	lo	lo
C2_P1_M39_T_enriched	hi	lo
C2_P1_MMD6_L001	hi	hi
C2_P1_MMD7_L001	hi	lo
C2_P2_M23	lo	hi
C2_P2_MMD9_L001	hi	lo
C2_P4_M55_L001	lo	lo
C2_P7_MMD9_L001_myeloid_enriched	lo	lo
C2_P9_MMD2-36B_L001	hi	hi
C2_P9_MMD5_L001	hi	hi
C3_P1_M47	hi	hi
C3_P1_M74_L001	hi	hi
C3_P1_M83_L001	hi	hi
C3_P1_MMD6_L001	lo	lo
C3_P1_MMD7_L001	lo	lo
C3_P2_M39	lo	lo
C3_P2_MMD7_L001	hi	hi
C3_P4_M13_L001	hi	hi
C3_P8_M36_L001	hi	hi
C4_P1_M79_L001	lo	lo
C4_P1_M89_L001	lo	hi
C4_P2_MMD1-84B_L001	lo	lo
C4_P2_MMD9_L001	hi	hi
C4_P3_M55_L001	hi	lo
C4_P3_M79_L001	lo	lo
C4_P8_M47_T_enriched	lo	lo
C5_P10_MMD2-36B_L001	lo	lo
C5_P10_MMD5_L001	lo	hi
C5_P1_M55_L001	lo	hi
C5_P1_M71_L001	lo	lo
C5_P2_M47	lo	lo
C5_P2_M55_L001	hi	hi
C5_P3_MMD1-84B_L001	lo	lo
C5_P4_MMD7_L001	lo	hi
C5_P5_M13_L001	hi	hi
C5_P5_M45_L001	hi	lo
C5_P5_MMD9_L001	lo	hi
C5_P6_M15	lo	hi
C5_P7_M63-B1	lo	lo
C6_P1_M90-7-31-17	lo	hi
C6_P1_MMD8_L001	lo	hi
C6_P2_M47	hi	hi
C6_P2_MMD1-84B_L001	hi	hi
C6_P3_M13_L001	lo	hi
C6_P4_M45_L001	hi	hi
C6_P6_M68_L001	hi	lo
C7_P1_MMD1-84B_L001	hi	lo
C7_P2_M90-7-31-17	hi	hi
C7_P2_MMD8_L001	lo	hi
C7_P3_MMD7_L001	lo	hi
C7_P4_MMD1-84B_L001	lo	hi
C7_P5_MMD8_L001	hi	hi
C8_P1_M51_L001	hi	hi
C8_P1_M71_L001	hi	lo
C8_P1_M89_L001	hi	lo
C8_P2_M90-7-24-17	hi	lo
C8_P3_M71_L001	hi	hi
C8_P3_MMD5_L001	lo	hi
C8_P4_M89_L001	hi	hi
C8_P6_M83_L001	hi	lo
C8_P9_MMD2-36B_L001	lo	hi
C9_P10_MMD2-36B_L001	lo	lo
C9_P10_MMD5_L001	hi	hi
C9_P12_MMD2-36B_T_enriched	lo	hi
C9_P1_M23	lo	lo
C9_P1_M71_L001	lo	lo
C9_P1_M89_L001	hi	hi
C9_P2_M71_L001	hi	lo
C9_P3_M67_L001	hi	hi
C9_P3_MMD7_L001	lo	lo
C9_P4_M79_L001	lo	lo
C9_P5_M89_L001	hi	hi
C9_P6_M36_L001	lo	lo
C9_P7_M47_T_enriched	lo	hi
D10_P1_M15	hi	hi
D10_P3_M89_L001	hi	hi
D10_P3_MMD1-84B_L001	lo	lo
D10_P5_M47_L001	hi	lo
D10_P5_M83_L001	lo	lo
D10_P8_M47_T_enriched	hi	hi
D11_P2_M90-7-24-17	hi	lo
D11_P2_MMD1-84A_L001	hi	lo
D11_P8_M63-B1	hi	hi
D12_P1_M71_L001	lo	lo
D12_P4_M45_L001	hi	hi
D12_P4_M89_L001	hi	hi
D12_P4_MMD8_L001	lo	hi
D12_P5_MMD9_L001	hi	lo
D1_P1_M23	hi	lo
D1_P1_M71_L001	lo	hi
D1_P1_M74_L001	hi	hi
D1_P2_M47	lo	lo
D1_P4_M55_L001	lo	lo
D1_P4_MMD1-84A_L001	lo	lo
D1_P6_M51_L001	hi	lo
D1_P7_M36_L001	lo	hi
D2_P1_M51_L001	lo	lo
D2_P2_M23	hi	hi
D2_P2_MMD1-84B_L001	hi	hi
D2_P3_MMD1-84B_L001	lo	lo
D2_P3_MMD5_L001	lo	lo
D2_P7_M47_T_enriched	hi	lo
D3_P1_M44_L001	lo	lo
D3_P1_MMD1-84B_L001	lo	hi
D3_P1_MMD7_L001	hi	lo
D3_P3_M13_L001	lo	lo
D4_P1_M23	hi	hi
D4_P1_M44_L001	lo	lo
D4_P1_MMD1-84B_L001	hi	hi
D4_P3_MMD9_L001	hi	lo
D4_P4_M71_L001	lo	lo
D4_P6_M51_L001	hi	hi
D5_P11_MMD5_L001	hi	hi
D5_P1_M90-7-24-17	lo	lo
D5_P2_MMD1-84B_L001	lo	hi
D5_P3_M39	hi	hi
D5_P3_M43_L001	hi	hi
D5_P3_MMD9_L001	lo	hi
D5_P4_MMD1-84B_L001	hi	lo
D5_P5_M44_L001	lo	lo
D6_P1_MMD6_L001	hi	lo
D6_P1_MMD9_L001	lo	hi
D6_P2_M15	lo	hi
D6_P2_M90-7-31-17	hi	hi
D6_P3_M68_L001	hi	hi
D6_P3_MMD1-84B_L001	hi	lo
D6_P4_M13_L001	hi	lo
D6_P4_M67_L001	hi	lo
D7_P1_M90-7-24-17	lo	hi
D7_P2_M51_L001	lo	hi
D7_P3_M43_L001	hi	hi
D7_P4_M45_L001	hi	hi
D7_P8_MMD2-36B_L001	lo	lo
D8_P10_MMD2-36B_L001	hi	hi
D8_P1_M23	hi	hi
D8_P1_M44_L001	hi	hi
D8_P1_M51_L001	hi	lo
D8_P1_M55_L001	hi	lo
D8_P1_M89_L001	lo	lo
D8_P1_MMD9_L001	lo	lo
D8_P2_M47	lo	lo
D8_P3_M45_L001	hi	lo
D8_P3_M89_L001	hi	hi
D8_P4_M13_L001	lo	lo
D8_P4_M71_L001	lo	hi
D8_P5_M45_L001	hi	hi
D8_P5_MMD8_L001	hi	lo
D8_P8_M36_L001	hi	hi
D9_P1_M45_L001	hi	hi
D9_P1_M47	lo	lo
D9_P1_M79_L001	lo	lo
D9_P1_M83_L001	hi	lo
D9_P2_M55_L001	hi	lo
D9_P2_M79_L001	hi	hi
D9_P2_M90-7-31-17	lo	hi
D9_P2_MMD1-84A_L001	lo	lo
D9_P2_MMD7_L001	hi	lo
D9_P4_M39	lo	hi
E10_P1_M44_L001	lo	hi
E10_P2_M51_L001	hi	lo
E10_P2_M90-7-24-17	lo	hi
