analysis	gene	n_samples	mean_hi	mean_lo	median_hi	median_lo	median_delta	mean_delta	n_hi_lower	n_hi_higher	wilcox_p
Glyco	CCR1	28	0.32332521213485	0.292700760319938	0	0	0	0.0306244518149114	7	9	0.58716968573231
Glyco	CCR5	28	2.07296633994047	2.28022160278345	1.82444444444444	2.30854166666667	-0.0475378787878786	-0.207255262842985	14	14	0.473189107750515
TPI1	CCR1	28	0.347627798484348	0.326718762661309	0.0139130434782609	0.156863636363636	0	0.0209090358230384	8	10	0.930591460030879
TPI1	CCR5	28	2.07160268967828	2.24949684325494	1.75325	2.39120320855615	-0.0440018148820327	-0.17789415357666	15	13	0.531174491567587
