gene	SYMBOL	profile	cell	time	category	near	MR_OR	MR_p	PP_H4	PP_H3	ratio	b_SMR	p_SMR	p_HEIDI	nsnp_HEIDI
ENSG00000130731	METTL26	CD4_Memory_stim_16h	Memory	16h	潜在新位点		1.06361392518765	0.0153942542416028	0.0978156030447097	0.017408323202366	0.848917462116009	0.0714781	1.983847e-02	9.937667e-01	13
ENSG00000260349		CD4_Memory_stim_16h	Memory	16h	潜在新位点		1.05215889006248	0.00565831051924655	0.32202065525191	0.0333231036846152	0.906222909938408	0.0508441	9.489377e-03	5.859667e-01	11
ENSG00000170291	ELP5	CD4_Memory_stim_16h	Memory	16h	痣数目通路	TP53	0.947178401191202	0.00646739041207995	0.354733039064006	0.0266754265576374	0.930060738127141	-0.0569024	5.185039e-03	3.979175e-01	8
ENSG00000185262	UBALD2	CD4_Memory_stim_16h	Memory	16h	潜在新位点		0.904025071908402	0.00479563820145887	0.262700420281732	0.0267962252614869	0.907438563886619	-0.100898	1.215466e-02	9.186047e-01	20
ENSG00000141560	FN3KRP	CD4_Memory_stim_16h	Memory	16h	潜在新位点		0.954655405039573	0.0433075500951231	0.0647855736445947	0.0451548440646686	0.589278947583406	-0.0449886	5.164931e-02	8.073937e-01	20
ENSG00000167220	HDHD2	CD4_Memory_stim_16h	Memory	16h	潜在新位点		0.949600827602736	0.0292491191334198	0.10899821150194	0.0249178882531119	0.813929107114906	-0.0517136	3.754225e-02	8.416643e-01	17
ENSG00000174837	ADGRE1	CD4_Memory_stim_16h	Memory	16h	潜在新位点		0.933102538372098	0.00327490629346148	0.307434455393459	0.017349081449705	0.946582632794954	-0.0660467	8.261456e-03	2.967353e-01	16
ENSG00000070831	CDC42	CD4_Memory_stim_40h	Memory	40h	潜在新位点		1.12531525918566	0.0461881494382141	0.0591799908062069	0.0342462804757508	0.63344057291555	0.118063	5.677983e-02	1.891014e-02	20
ENSG00000164008	C1orf50	CD4_Memory_stim_40h	Memory	40h	潜在新位点		1.0677979948551	0.00894698976905607	0.174057583026345	0.119260154938016	0.593409673190284	0.0636322	1.690324e-02	9.982437e-01	20
ENSG00000159479	MED8	CD4_Memory_stim_40h	Memory	40h	潜在新位点		0.732523605655864	0.00834580139375219	0.264825647907435	0.0613770706874116	0.811843779378051	-0.310925	1.681072e-02	2.135059e-01	10
ENSG00000085491	SLC25A24	CD4_Memory_stim_40h	Memory	40h	潜在新位点		0.885091806957515	0.0132960763226812	0.159085051643917	0.018020475966615	0.898250064750981	-0.122064	2.216287e-02	3.844866e-01	20
ENSG00000168765	GSTM4	CD4_Memory_stim_40h	Memory	40h	潜在新位点		0.95484251742837	0.00720693861789789	0.269989855733749	0.0132851768977698	0.953101490186567	-0.0471704	8.744612e-03	4.238495e-01	13
ENSG00000198734	F5	CD4_Memory_stim_40h	Memory	40h	潜在新位点		1.1219652255538	0.00635131064182	0.197760164358653	0.131794852695837	0.600082396336131	0.106451	1.759075e-02	7.330876e-03	10
ENSG00000235750	KIAA0040	CD4_Memory_stim_40h	Memory	40h	潜在新位点		0.905337125959123	0.0068443307611447	0.257819495302204	0.0182575491686124	0.933867920081481	-0.0995946	9.193460e-03	7.507021e-02	20
ENSG00000157992	KRTCAP3	CD4_Memory_stim_40h	Memory	40h	潜在新位点		0.953530347196759	0.0223091552378318	0.115320825918564	0.0308367939522633	0.789016857420663	-0.0511264	2.128610e-02	9.222336e-01	20
ENSG00000115816	CEBPZ	CD4_Memory_stim_40h	Memory	40h	痣数目通路	CYP1B1	0.783924702301324	0.0388563986396538	0.0401530555420798	0.0241072702448726	0.62484985954168	-0.242972	4.782248e-02	1.643316e-01	20
ENSG00000124570	SERPINB6	CD4_Memory_stim_40h	Memory	40h	潜在新位点		0.920749398990469	0.0370518767212614	0.217385835409514	0.0518804816030404	0.807326507902503	-0.109732	1.218471e-02	3.568137e-01	3
ENSG00000234745	HLA-B	CD4_Memory_stim_40h	Memory	40h	潜在新位点		0.942470180005429	0.00972152134255091	0.0179502115964017	0.199469911253406	0.0825600287642264	-0.059251	1.596751e-02	3.334386e-01	20
ENSG00000277149	TYW1B	CD4_Memory_stim_40h	Memory	40h	潜在新位点		1.04538461846526	0.0176181225138622	0.190783070279977	0.0393012910776455	0.829187473473875	0.0440896	1.718570e-02	6.128633e-01	15
ENSG00000158525	CPA5	CD4_Memory_stim_40h	Memory	40h	黑色素瘤已知位点	MKLN1	0.951334027123884	0.00682865244197134	0.299524173409675	0.0185068651897791	0.941807990593372	-0.0495783	1.045476e-02	8.250572e-01	16
ENSG00000135047	CTSL	CD4_Memory_stim_40h	Memory	40h	潜在新位点		0.938312092989374	0.0348433575672807	0.0397937255408676	0.477802991958805	0.0768817192912218	-0.0624746	4.657348e-02	3.941234e-02	15
ENSG00000134824	FADS2	CD4_Memory_stim_40h	Memory	40h	色素/发色通路	AHNAK	1.05985027488192	0.0163000118015616	0.194037127844068	0.0108359497165103	0.94710896206796	0.05734	2.088861e-02	2.208004e-03	20
ENSG00000197345	MRPL21	CD4_Memory_stim_40h	Memory	40h	色素/发色通路	RP11-554A11.7	0.717744761931773	0.000887614538322493	0.00259423719910059	0.996331795259103	0.00259702632107461	-0.334492	1.422419e-03	1.521634e-02	20
ENSG00000111671	SPSB2	CD4_Memory_stim_40h	Memory	40h	潜在新位点		0.916891914860297	0.0321371143558625	0.126778435957474	0.0332551412706662	0.79219897569834	-0.0867657	4.298082e-02	3.442372e-01	13
ENSG00000198015	MRPL42	CD4_Memory_stim_40h	Memory	40h	潜在新位点		0.805254778222097	0.0254523885740775	0.130700420535421	0.0191947673933137	0.871945406263211	-0.234257	2.395681e-02	5.619986e-02	17
ENSG00000100804	PSMB5	CD4_Memory_stim_40h	Memory	40h	潜在新位点		0.577117223545412	0.0170923963269048	0.0984240934235157	0.014673098495042	0.870261159926869	-0.535841	3.172585e-02	1.853554e-01	8
ENSG00000131979	GCH1	CD4_Memory_stim_40h	Memory	40h	潜在新位点		0.877594693808964	0.0267363599515999	0.0643856313812054	0.0120674510197185	0.842158737872252	-0.0444555	4.642763e-01	5.310925e-02	6
ENSG00000140105	WARS1	CD4_Memory_stim_40h	Memory	40h	潜在新位点		0.875791888545257	0.0376745613399187	0.0862819504569752	0.0158797863451207	0.844562290714747	-0.132627	4.335794e-02	7.293521e-01	19
ENSG00000167523	SPATA33	CD4_Memory_stim_40h	Memory	40h	黑色素瘤已知位点	CDK10	0.391178608043499	1.29199423473176e-28	0.0102603892291208	0.920210956646259	0.0110270878029757	-0.938591	8.800680e-07	3.272087e-02	20
ENSG00000185324	CDK10	CD4_Memory_stim_40h	Memory	40h	黑色素瘤已知位点	MC1R	0.583727032371168	2.50364388915985e-30	0.0664881691961384	0.195035400649031	0.25423394623858	-0.558973	2.974311e-07	4.144392e-02	20
