variable	n_pairs	mean_Pre	mean_Post	median_Pre	median_Post	median_change	p_value	FDR
ZFYVE19	11	0.487019300383775	0.595538066507407	0.333730009958478	0.535527206353693	0.118232580356779	0.398304593395588	0.824098168245978
SMC2	11	0.618779238794268	0.653427384333461	0.414446793834829	0.457297367052986	0.131964768625201	0.689083746544796	0.824098168245978
SPSB2	11	0.408755068110955	0.41019700175279	0.436679760107827	0.388330012530447	-0.0733044922319899	0.624834867127388	0.824098168245978
TPI1	11	4.04762884718403	4.31750923718758	3.59840891743908	4.60619486735615	0.358502072269538	0.306556273379373	0.824098168245978
HLA-C	11	6.54739305588569	6.51643474578464	6.58239408299096	6.54165841479781	-0.0144683677168089	0.449803788345075	0.824098168245978
KIAA0040	11	0.882610632094603	0.889763356234745	0.901471927989464	0.775206713121029	0.0644553264947498	0.824098168245978	0.824098168245978
