direction	partner	interaction_name	pathway	prob_hi	prob_lo	pval_hi	pval_lo	delta_prob
Outgoing_CD4_to_partner	B	BMP7_BMPR1A_ACVR2A	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP7_BMPR1A_ACVR2B	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP7_BMPR1A_BMPR2	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP7_BMPR1B_ACVR2A	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP7_BMPR1B_ACVR2B	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP7_BMPR1B_BMPR2	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP8A_ACVR1_ACVR2A	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP8A_ACVR1_ACVR2B	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP8A_ACVR1_BMPR2	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP8A_BMPR1A_ACVR2A	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP8A_BMPR1A_ACVR2B	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP8A_BMPR1A_BMPR2	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP8A_BMPR1B_ACVR2A	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP8A_BMPR1B_ACVR2B	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP8A_BMPR1B_BMPR2	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP8B_ACVR1_ACVR2A	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP8B_ACVR1_ACVR2B	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP8B_ACVR1_BMPR2	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP8B_BMPR1A_ACVR2A	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP8B_BMPR1A_ACVR2B	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP8B_BMPR1A_BMPR2	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP8B_BMPR1B_ACVR2A	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP8B_BMPR1B_ACVR2B	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP8B_BMPR1B_BMPR2	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP10_ACVRL1_BMPR2	BMP10	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP10_ACVRL1_ACVR2A	BMP10	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF2_ACVRL1_BMPR2	BMP10	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF2_ACVRL1_ACVR2A	BMP10	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF9_ACVR1B_BMPR2	GDF	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF10_ACVR1B_ACVR2A	GDF	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF11_TGFBR1_ACVR2A	GDF	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF11_TGFBR1_ACVR2B	GDF	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF11_ACVR1B_ACVR2B	GDF	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF15_TGFBR2	GDF	0	0	1	1	0
Outgoing_CD4_to_partner	B	MSTN_TGFBR1_ACVR2B	MSTN	0	0	1	1	0
Outgoing_CD4_to_partner	B	MSTN_ACVR1B_ACVR2B	MSTN	0	0	1	1	0
Outgoing_CD4_to_partner	B	MSTN_ACVR1B_ACVR2A	MSTN	0	0	1	1	0
Outgoing_CD4_to_partner	B	MSTN_TGFBR1_ACVR2A	MSTN	0	0	1	1	0
Outgoing_CD4_to_partner	B	AMH_AMHR2_ACVR1	AMH	0	0	1	1	0
Outgoing_CD4_to_partner	B	AMH_AMHR2_BMPR1A	AMH	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDNF_GFRA1	GDNF	0	0	1	1	0
Outgoing_CD4_to_partner	B	NRTN_GFRA2	GDNF	0	0	1	1	0
Outgoing_CD4_to_partner	B	ARTN_GFRA3	GDNF	0	0	1	1	0
Outgoing_CD4_to_partner	B	PSPN_GFRA4	GDNF	0	0	1	1	0
Outgoing_CD4_to_partner	B	ARTN_GFRA1	GDNF	0	0	1	1	0
Outgoing_CD4_to_partner	B	NODAL_ACVR1B_ACVR2A	NODAL	0	0	1	1	0
Outgoing_CD4_to_partner	B	NODAL_ACVR1C_ACVR2A	NODAL	0	0	1	1	0
Outgoing_CD4_to_partner	B	NODAL_ACVR1B_ACVR2B	NODAL	0	0	1	1	0
