gene_id	SYMBOL	exposure	cell_type	timepoint	category	near_locus	MR_OR	MR_pval	MR_FDR	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	PP4_ratio
ENSG00000166140	ZFYVE19	ENSG00000166140|CD4_Naive_stim_5d	Naive	5d	潜在新位点	""	0.934320047028267	5.46192634554021e-06	0.0019422610084741	440	1.15407017537299e-09	0.0103726545136928	6.33110315615203e-10	0.00470540323478686	0.984921940464341	0.995245277664622
ENSG00000198625	MDM4	ENSG00000198625|CD4_Memory_stim_16h	Memory	16h	色素/发色通路	RP11-23I7.1	0.916244083125538	0.000180685583345719	0.0352840981582475	443	4.3455476377113e-07	0.112478810642423	7.2569311089025e-08	0.0179140092966548	0.869606672936847	0.979815671166588
ENSG00000198625	MDM4	ENSG00000198625|CD4_Memory_uns_0h	Memory	0h	色素/发色通路	RP11-23I7.1	0.931270760658439	0.000180685583345719	0.0352840981582475	443	7.86990106267378e-08	0.118440427396373	1.3142493100313e-08	0.0189165447241193	0.862642936038003	0.978541953053734
ENSG00000136824	SMC2	ENSG00000136824|CD4_Naive_stim_40h	Naive	40h	潜在新位点	""	1.41496724101914	1.4637686388097e-05	0.00473196479964301	1284	4.74490132466517e-07	0.0271129462864106	2.06380625174088e-06	0.117072600543646	0.855811914873559	0.879664442502262
ENSG00000235750	KIAA0040	ENSG00000235750|CD4_Memory_stim_16h	Memory	16h	潜在新位点	""	0.9007600646716	0.00018852583380391	0.0352840981582475	759	3.64273414698225e-05	0.139390429155029	5.9255890136928e-06	0.0218357312187209	0.838731486695766	0.974626350197678
ENSG00000235750	KIAA0040	ENSG00000235750|CD4_Naive_stim_5d	Naive	5d	潜在新位点	""	0.944674635313493	0.000212304857768131	0.0359502892487368	759	1.70268229821063e-11	0.159962306045941	2.76973150193913e-12	0.0252060319273943	0.814831662006868	0.969994165607803
ENSG00000235750	KIAA0040	ENSG00000235750|CD4_Memory_stim_5d	Memory	5d	潜在新位点	""	0.947405268711067	0.000212304857768131	0.0359502892487368	759	1.57946014124193e-12	0.164836302665228	2.56928759631343e-13	0.0260045512351547	0.809159146097781	0.968862929126111
ENSG00000198625	MDM4	ENSG00000198625|CD4_Naive_stim_16h	Naive	16h	色素/发色通路	RP11-23I7.1	0.867547322408115	0.000180685583345719	0.0352840981582475	443	0.00030320004547384	0.166499416146402	5.06334765065103e-05	0.026998743191413	0.806148007140205	0.967594252536343
ENSG00000198625	MDM4	ENSG00000198625|CD4_Naive_uns_0h	Naive	0h	色素/发色通路	RP11-23I7.1	0.918373744243546	0.000469931548812363	0.0593486593254975	443	0.000575395511100365	0.16681681018199	9.60892833895221e-05	0.0270524357585561	0.805459269264964	0.967505038553432
ENSG00000198625	MDM4	ENSG00000198625|CD4_Memory_stim_40h	Memory	40h	色素/发色通路	RP11-23I7.1	0.839436221096968	0.000469931548812363	0.0593486593254975	443	0.000630464714379789	0.189663343231111	0.000105285671226876	0.0308944894714022	0.77870641691188	0.961839853157506
ENSG00000198625	MDM4	ENSG00000198625|CD4_Naive_stim_5d	Naive	5d	色素/发色通路	RP11-23I7.1	0.877389642150118	0.000469931548812363	0.0593486593254975	443	0.027124859194039	0.167458352772344	0.00452976818851522	0.0271913349854571	0.773695684859645	0.96604847586278
ENSG00000166140	ZFYVE19	ENSG00000166140|CD4_Naive_stim_40h	Naive	40h	潜在新位点	""	0.940457007870445	0.000184122782450946	0.0352840981582475	440	0.000263229906204836	0.155690731601287	0.000144405056601382	0.0846509872456223	0.759250646190286	0.899690930919319
ENSG00000166140	ZFYVE19	ENSG00000166140|CD4_Memory_stim_40h	Memory	40h	潜在新位点	""	0.87721717636601	0.000184122782450946	0.0352840981582475	440	5.41880782521659e-06	0.163240417668725	2.97269889274474e-06	0.0888039661310104	0.747947224693548	0.893870523155754
ENSG00000198625	MDM4	ENSG00000198625|CD4_Memory_stim_5d	Memory	5d	色素/发色通路	RP11-23I7.1	0.891523294516339	0.0010873321642797	0.110472947890817	443	0.000407588054448035	0.240157743544536	6.80659534432999e-05	0.0393856247012209	0.719980977746352	0.948133583207012
ENSG00000235750	KIAA0040	ENSG00000235750|CD4_Memory_stim_40h	Memory	40h	潜在新位点	""	0.916996104029853	0.000500691726593061	0.0593486593254975	759	1.64308394574267e-25	0.253753726998776	2.67278362477634e-26	0.0405721198393865	0.70567415316184	0.945631728683595
ENSG00000175691	ZNF77	ENSG00000175691|CD4_Naive_stim_40h	Naive	40h	痣数目通路	MFSD12	0.938310039769881	0.00284578279819925	0.190143143679467	562	2.96112828620426e-05	0.404787245797891	2.78889295184378e-07	0.00322046376871469	0.591962400261237	0.99458911880139
ENSG00000057608	GDI2	ENSG00000057608|CD4_Naive_stim_5d	Naive	5d	痣数目通路	FAM208B;GDI2	0.929913958170671	0.000995014547792383	0.10406681564558	1000	1.15239956908231e-08	0.339246093978035	2.74809071372433e-09	0.0803185050103566	0.580435386739524	0.878444143858694
ENSG00000175691	ZNF77	ENSG00000175691|CD4_Naive_stim_16h	Naive	16h	痣数目通路	MFSD12	0.938504534119558	0.00284578279819925	0.190143143679467	562	0.0367225608868456	0.391082659059624	0.000345865769166858	0.0031146173380408	0.568734296946323	0.994553426158134
