direction	pathway	total_raw_delta	mean_partner_raw_delta	mean_delta_per_LR	total_threshold_delta	threshold_distortion
Incoming_partner_to_CD4	GUCA	0	0	0	0	0
Incoming_partner_to_CD4	HCRT	0	0	0	0	0
Incoming_partner_to_CD4	HGF	0	0	0	0	0
Incoming_partner_to_CD4	HH	0	0	0	0	0
Incoming_partner_to_CD4	HSPG	0	0	0	0	0
Incoming_partner_to_CD4	IAPP	0	0	0	0	0
Incoming_partner_to_CD4	ICAM	0.00638974438079061	0.00091282062582723	0.000114102578228404	0.00638974438079054	-7.11236625150491e-17
Incoming_partner_to_CD4	ICOS	0.00506380490196701	0.000723400700281001	0.000241133566760334	0.00506380490196701	0
Incoming_partner_to_CD4	IFN-I	0	0	0	0	0
Incoming_partner_to_CD4	IFN-II	0	0	0	0	0
Incoming_partner_to_CD4	IGF	0	0	0	0	0
Incoming_partner_to_CD4	IGFBP	0	0	0	0	0
Incoming_partner_to_CD4	IL1	0	0	0	0	0
Incoming_partner_to_CD4	IL10	0	0	0	0	0
Incoming_partner_to_CD4	IL12	0	0	0	0	0
Incoming_partner_to_CD4	IL16	0.213057049167655	0.030436721309665	0.030436721309665	0.213057049167655	0
Incoming_partner_to_CD4	IL17	0	0	0	0	0
Incoming_partner_to_CD4	IL2	0	0	0	0	0
Incoming_partner_to_CD4	IL4	0	0	0	0	0
Incoming_partner_to_CD4	IL6	0	0	0	0	0
Incoming_partner_to_CD4	INSULIN	0	0	0	0	0
Incoming_partner_to_CD4	JAM	0.00093472373997403	0.000133531962853433	1.33531962853433e-05	0.00093472373997403	0
Incoming_partner_to_CD4	KIT	0	0	0	0	0
Incoming_partner_to_CD4	KLK	0	0	0	0	0
Incoming_partner_to_CD4	L1CAM	0	0	0	0	0
Incoming_partner_to_CD4	LAIR1	0	0	0	0	0
Incoming_partner_to_CD4	LAMININ	0.000679633642394548	9.70905203420783e-05	6.98492952101283e-07	0.000679633642394548	0
Incoming_partner_to_CD4	LCK	-0.15880920397032	-0.0226870291386171	-0.0226870291386171	-0.221943588978883	-0.063134385008563
Incoming_partner_to_CD4	LEP	0	0	0	0	0
Incoming_partner_to_CD4	LIFR	0	0	0	0	0
Incoming_partner_to_CD4	LIGHT	0	0	0	0	0
Incoming_partner_to_CD4	LT	0	0	0	0	0
Incoming_partner_to_CD4	MADCAM	0	0	0	0	0
Incoming_partner_to_CD4	MELANOCORTIN	0	0	0	0	0
Incoming_partner_to_CD4	MIF	0.0227589708921072	0.00325128155601532	0.000812820389003829	0.257723959631831	0.234964988739724
Incoming_partner_to_CD4	MK	0	0	0	0	0
Incoming_partner_to_CD4	MMP	0	0	0	0	0
Incoming_partner_to_CD4	MPZ	0	0	0	0	0
Incoming_partner_to_CD4	MSTN	0	0	0	0	0
Incoming_partner_to_CD4	NCAM	0	0	0	0	0
Incoming_partner_to_CD4	NEGR	0	0	0	0	0
Incoming_partner_to_CD4	NGF	0	0	0	0	0
Incoming_partner_to_CD4	NGL	0	0	0	0	0
Incoming_partner_to_CD4	NMU	0	0	0	0	0
Incoming_partner_to_CD4	NODAL	0	0	0	0	0
Incoming_partner_to_CD4	NOTCH	0	0	0	0	0
Incoming_partner_to_CD4	NPFF	0	0	0	0	0
Incoming_partner_to_CD4	NPNT	0	0	0	0	0
Incoming_partner_to_CD4	NPR1	0	0	0	0	0
Incoming_partner_to_CD4	NPR2	0	0	0	0	0
Incoming_partner_to_CD4	NPVF	0	0	0	0	0
Incoming_partner_to_CD4	NPW-B	0	0	0	0	0
Incoming_partner_to_CD4	NPY	0	0	0	0	0
Incoming_partner_to_CD4	NRG	0	0	0	0	0
Incoming_partner_to_CD4	NRXN	0	0	0	0	0
Incoming_partner_to_CD4	NT	0	0	0	0	0
Incoming_partner_to_CD4	NTS	0	0	0	0	0
Incoming_partner_to_CD4	Netrin	0	0	0	0	0
Incoming_partner_to_CD4	OPIOID	0	0	0	0	0
Incoming_partner_to_CD4	OSM	0	0	0	0	0
Incoming_partner_to_CD4	OX40	0	0	0	0	0
Incoming_partner_to_CD4	OXT	0	0	0	0	0
Incoming_partner_to_CD4	PARs	-0.0406630322187329	-0.00580900460267613	-0.000200310503540556	-0.0406630322187329	0
Incoming_partner_to_CD4	PCDH	0	0	0	0	0
Incoming_partner_to_CD4	PD-L1	0	0	0	0	0
Incoming_partner_to_CD4	PDGF	0	0	0	0	0
Incoming_partner_to_CD4	PDL2	0	0	0	0	0
Incoming_partner_to_CD4	PERIOSTIN	0	0	0	0	0
Incoming_partner_to_CD4	PLAU	0	0	0	0	0
Incoming_partner_to_CD4	PMCH	0	0	0	0	0
Incoming_partner_to_CD4	PRL	0	0	0	0	0
Incoming_partner_to_CD4	PROC	0	0	0	0	0
Incoming_partner_to_CD4	PROCR	0	0	0	0	0
Incoming_partner_to_CD4	PROK	0	0	0	0	0
Incoming_partner_to_CD4	PROS	0	0	0	0	0
Incoming_partner_to_CD4	PSAP	0	0	0	0	0
Incoming_partner_to_CD4	PTH	0	0	0	0	0
Incoming_partner_to_CD4	PTN	0	0	0	0	0
Incoming_partner_to_CD4	PTPR	0	0	0	0	0
Incoming_partner_to_CD4	PTPRM	0	0	0	0	0
Incoming_partner_to_CD4	PVR	0	0	0	0	0
Incoming_partner_to_CD4	QRFP	0	0	0	0	0
Incoming_partner_to_CD4	RANKL	0	0	0	0	0
Incoming_partner_to_CD4	RBP4	0	0	0	0	0
Incoming_partner_to_CD4	RELN	0	0	0	0	0
Incoming_partner_to_CD4	RESISTIN	0	0	0	0	0
Incoming_partner_to_CD4	RLN	0	0	0	0	0
Incoming_partner_to_CD4	SAA	0	0	0	0	0
Incoming_partner_to_CD4	SCT	0	0	0	0	0
Incoming_partner_to_CD4	SELE	0	0	0	0	0
Incoming_partner_to_CD4	SELL	0	0	0	0	0
Incoming_partner_to_CD4	SELPLG	0	0	0	0	0
Incoming_partner_to_CD4	SEMA3	0	0	0	0	0
Incoming_partner_to_CD4	SEMA4	0	0	0	0	0
Incoming_partner_to_CD4	SEMA5	0	0	0	0	0
Incoming_partner_to_CD4	SEMA6	0	0	0	0	0
Incoming_partner_to_CD4	SEMA7	0	0	0	0	0
