pmc	chars	cis	wald	ivw	wmedian	egger	mode	single
PMC13147455	63279	0	1	1	1	1	1	0
PMC13154425	62246	1	0	1	1	1	0	0
PMC13162345	54879	0	1	1	0	0	0	0
PMC13166711	66310	1	1	1	0	1	0	0
PMC13167297	36330	0	0	1	1	0	1	0
PMC13167369	85743	1	1	1	1	1	0	1
PMC13171477	65208	1	1	1	1	1	1	1
PMC13175845	64748	0	0	1	1	1	1	0
PMC13184741	3659	1	0	0	0	0	0	0
PMC13185962	59431	0	0	1	1	1	1	1
PMC13197831	60517	0	0	1	0	1	0	0
PMC13201033	47145	1	1	1	1	1	1	1
PMC13204727	54819	0	0	1	1	1	1	0
PMC13225775	65978	1	1	1	1	1	0	1
PMC13247016	61251	1	1	1	1	1	1	1
PMC13254516	67656	0	0	1	0	1	0	0
PMC13263863	50172	1	1	1	1	1	1	1
PMC13266786	39413	1	1	1	1	1	0	1
PMC13358490	66420	0	0	1	1	1	1	0
PMC13383006	76288	0	1	1	1	1	1	1
PMC13395884	78612	1	0	0	0	0	0	0
PMC13448146	78138	0	0	1	1	0	1	0
