gene	profile	window	p12	nsnp	PP.H3	PP.H4	H3H4	ratio	pass
CTU2	CD4_Naive_stim_40h	full cis	1e-05	974	0.998988677448352	0.00055255398075367	0.999541231429105	0.000552807591502404	FALSE
CTU2	CD4_Naive_stim_40h	full cis	5e-05	974	0.996785566118283	0.00275667705225285	0.999542243170535	0.00275793951790242	FALSE
SMC2	CD4_Naive_stim_40h	±100 kb	1e-06	694	0.479658738514285	0.391776621769317	0.871435360283602	0.449576227480391	FALSE
SMC2	CD4_Naive_stim_40h	±100 kb	5e-06	694	0.18684800997889	0.763070452553309	0.949918462532198	0.803301001771448	TRUE
SMC2	CD4_Naive_stim_40h	±100 kb	1e-05	694	0.105978754115182	0.865615383036131	0.971594137151313	0.890922814308134	TRUE
SMC2	CD4_Naive_stim_40h	±100 kb	5e-05	694	0.0237489451397583	0.969885540526041	0.993634485665799	0.976098912142884	TRUE
SMC2	CD4_Naive_stim_40h	±250 kb	1e-06	1286	0.517999076343732	0.361074143366097	0.879073219709829	0.410744105576647	FALSE
SMC2	CD4_Naive_stim_40h	±250 kb	5e-06	1286	0.211921532749831	0.738605428011409	0.95052696076124	0.777048372641518	TRUE
SMC2	CD4_Naive_stim_40h	±250 kb	1e-05	1286	0.121891677855984	0.849652734440402	0.971544412296386	0.874538233853999	TRUE
SMC2	CD4_Naive_stim_40h	±250 kb	5e-05	1286	0.0277114024360637	0.965819376233329	0.993530778669392	0.972108159071653	TRUE
SMC2	CD4_Naive_stim_40h	±500 kb	1e-06	1289	0.517988094196404	0.361088701120258	0.879076795316663	0.410758995168546	FALSE
SMC2	CD4_Naive_stim_40h	±500 kb	5e-06	1289	0.211911991355273	0.738617610786913	0.950529602142186	0.777059030168348	TRUE
SMC2	CD4_Naive_stim_40h	±500 kb	1e-05	1289	0.121885335821118	0.849660795110212	0.97154613093133	0.874544983567298	TRUE
SMC2	CD4_Naive_stim_40h	±500 kb	5e-05	1289	0.0277097574913777	0.965821459317661	0.993531216809039	0.972109827026498	TRUE
SMC2	CD4_Naive_stim_40h	full cis	1e-06	1289	0.517988094196404	0.361088701120258	0.879076795316663	0.410758995168546	FALSE
SMC2	CD4_Naive_stim_40h	full cis	5e-06	1289	0.211911991355273	0.738617610786913	0.950529602142186	0.777059030168348	TRUE
SMC2	CD4_Naive_stim_40h	full cis	1e-05	1289	0.121885335821118	0.849660795110212	0.97154613093133	0.874544983567298	TRUE
SMC2	CD4_Naive_stim_40h	full cis	5e-05	1289	0.0277097574913777	0.965821459317661	0.993531216809039	0.972109827026498	TRUE
KIAA0040	CD4_Memory_stim_16h	±100 kb	1e-06	467	0.0855339957068605	0.343181013986635	0.428715009693496	0.800487517878108	FALSE
KIAA0040	CD4_Memory_stim_16h	±100 kb	5e-06	467	0.0360488593237357	0.723179362401102	0.759228221724838	0.952519073590496	TRUE
KIAA0040	CD4_Memory_stim_16h	±100 kb	1e-05	467	0.0209199692790568	0.839354716265188	0.860274685544245	0.975682221468807	TRUE
KIAA0040	CD4_Memory_stim_16h	±100 kb	5e-05	467	0.00480100030015478	0.963132926002842	0.967933926302996	0.995039950383295	TRUE
KIAA0040	CD4_Memory_stim_16h	±250 kb	1e-06	709	0.0884016454615838	0.342309551343287	0.430711196804871	0.794754243406323	FALSE
KIAA0040	CD4_Memory_stim_16h	±250 kb	5e-06	709	0.0373122657152411	0.722404253331239	0.75971651904648	0.950886594170584	TRUE
KIAA0040	CD4_Memory_stim_16h	±250 kb	1e-05	709	0.0216628968739928	0.838832407588478	0.860495304462471	0.974825084156008	TRUE
KIAA0040	CD4_Memory_stim_16h	±250 kb	5e-05	709	0.00497388228046299	0.962995316981685	0.967969199262148	0.994861528358284	TRUE
KIAA0040	CD4_Memory_stim_16h	±500 kb	1e-06	761	0.0892169591250625	0.34209076531677	0.431307724441832	0.793147782733266	FALSE
KIAA0040	CD4_Memory_stim_16h	±500 kb	5e-06	761	0.0376703051082596	0.722209299138769	0.759879604247029	0.950425955772839	TRUE
KIAA0040	CD4_Memory_stim_16h	±500 kb	1e-05	761	0.0218732445162719	0.838700963349724	0.860574207865996	0.974582965284874	TRUE
KIAA0040	CD4_Memory_stim_16h	±500 kb	5e-05	761	0.00502278523961532	0.962960665490276	0.967983450729891	0.994811083561575	TRUE
KIAA0040	CD4_Memory_stim_16h	full cis	1e-06	761	0.0892169591250625	0.34209076531677	0.431307724441832	0.793147782733266	FALSE
KIAA0040	CD4_Memory_stim_16h	full cis	5e-06	761	0.0376703051082596	0.722209299138769	0.759879604247029	0.950425955772839	TRUE
KIAA0040	CD4_Memory_stim_16h	full cis	1e-05	761	0.0218732445162719	0.838700963349724	0.860574207865996	0.974582965284874	TRUE
KIAA0040	CD4_Memory_stim_16h	full cis	5e-05	761	0.00502278523961532	0.962960665490276	0.967983450729891	0.994811083561575	TRUE
SPSB2	CD4_Memory_uns_0h	±100 kb	1e-06	190	0.082723644855026	0.0955520818810554	0.178275726736081	0.53597920272405	FALSE
SPSB2	CD4_Memory_uns_0h	±100 kb	5e-06	190	0.0598488977440894	0.345650073068963	0.405498970813052	0.852406782626135	FALSE
SPSB2	CD4_Memory_uns_0h	±100 kb	1e-05	190	0.0444758254332754	0.513729505146395	0.55820533057967	0.920323538675116	TRUE
SPSB2	CD4_Memory_uns_0h	±100 kb	5e-05	190	0.0145587623411086	0.840823717174447	0.855382479515556	0.982979821670706	TRUE
SPSB2	CD4_Memory_uns_0h	±250 kb	1e-06	462	0.0883739814790745	0.097465975433123	0.185839956912197	0.524461892117055	FALSE
SPSB2	CD4_Memory_uns_0h	±250 kb	5e-06	462	0.0635846296669153	0.350631365098517	0.414215994765432	0.846494026135029	FALSE
SPSB2	CD4_Memory_uns_0h	±250 kb	1e-05	462	0.0470777084776774	0.51921105071174	0.566288759189418	0.916866249393571	TRUE
SPSB2	CD4_Memory_uns_0h	±250 kb	5e-05	462	0.015300647473186	0.843739585890184	0.859040233363369	0.982188671870141	TRUE
SPSB2	CD4_Memory_uns_0h	±500 kb	1e-06	502	0.0894812002534051	0.0975621735387974	0.187043373792203	0.521601869987573	FALSE
SPSB2	CD4_Memory_uns_0h	±500 kb	5e-06	502	0.0643634485179502	0.350880291954105	0.415243740472055	0.844998389512673	FALSE
SPSB2	CD4_Memory_uns_0h	±500 kb	1e-05	502	0.0476455603811095	0.519483915849481	0.567129476230591	0.91598821366545	TRUE
SPSB2	CD4_Memory_uns_0h	±500 kb	5e-05	502	0.0154797128957889	0.843883649075354	0.859363361971143	0.981986999235943	TRUE
SPSB2	CD4_Memory_uns_0h	full cis	1e-06	502	0.0894812002534051	0.0975621735387974	0.187043373792203	0.521601869987573	FALSE
SPSB2	CD4_Memory_uns_0h	full cis	5e-06	502	0.0643634485179502	0.350880291954105	0.415243740472055	0.844998389512673	FALSE
SPSB2	CD4_Memory_uns_0h	full cis	1e-05	502	0.0476455603811095	0.519483915849481	0.567129476230591	0.91598821366545	TRUE
SPSB2	CD4_Memory_uns_0h	full cis	5e-05	502	0.0154797128957889	0.843883649075354	0.859363361971143	0.981986999235943	TRUE
