reading	coverage	n_rep	retention	R	g	n_eff_ext	cases_if_large_control	median_sig_loci	median_sig_known	median_fold	median_fisher_p	pct_ge8	pct_pass	pct_pass_mcse	qualifies
B_deterministic	0.95	2000	0.5	6	1.22474487139159	296022	74006	43	14	3.08239316239316	5.54930907612437e-05	100	100	0	TRUE
B_deterministic	0.95	2000	0.5	8	1.4142135623731	394696	98674	117	26	2.22923076923077	6.41003663373432e-06	100	100	0	TRUE
B_deterministic	0.95	2000	0.5	10	1.58113883008419	493370	123342	196	31	1.58410395408163	0.00113480165947832	100	100	0	TRUE
B_deterministic	0.95	2000	0.5	12	1.73205080756888	592044	148011	250	34	1.36403507856375	0.0105126013638633	100	99.6	0.141138230115019	TRUE
B_deterministic	0.95	2000	0.5	16	2	789392	197348	318	40	1.25607077141738	0.021088818011657	100	93.35	0.557125434709276	TRUE
B_deterministic	0.95	2000	0.75	0.5	0.530330085889911	24668	6167	2	2	9.92307692307692	0.0100460767172512	0	0	0	FALSE
B_deterministic	0.95	2000	0.75	1	0.75	49337	12334	3	3	9.90769230769231	0.000990443826994224	0	0	0	FALSE
B_deterministic	0.95	2000	0.75	1.5	0.918558653543692	74006	18501	6	3	4.96923076923077	0.0156767967192137	0	0	0	FALSE
B_deterministic	0.95	2000	0.75	2	1.06066017177982	98674	24668	12	7	6.11845393005168	8.39588383352251e-06	100	100	0	TRUE
B_deterministic	0.95	2000	0.75	3	1.29903810567666	148011	37003	77	18	2.26500697001546	0.000289807811091693	100	100	0	TRUE
B_deterministic	0.95	2000	0.75	4	1.5	197348	49337	164	30	1.80699300699301	0.000115861399881454	100	100	0	TRUE
B_deterministic	0.95	2000	0.75	5	1.67705098312484	246685	61671	228	33	1.44914361001318	0.00405125169468921	100	99.95	0.0499874984371065	TRUE
B_deterministic	0.95	2000	0.75	6	1.83711730708738	296022	74006	276	36	1.27551017514521	0.0296026561959806	100	85.35	0.79068878201224	TRUE
B_deterministic	0.95	2000	0.75	8	2.12132034355964	394696	98674	337	43	1.26881720430108	0.0111178061131962	100	98.95	0.227922684259377	TRUE
B_deterministic	0.95	2000	0.75	10	2.37170824512628	493370	123342	391	48	1.22233067912994	0.0119105352734412	100	99.25	0.192921616207204	TRUE
B_deterministic	0.95	2000	0.75	12	2.59807621135332	592044	148011	428	51	1.18138925690714	0.0186172013461767	100	94.65	0.503178646208282	TRUE
B_deterministic	0.95	2000	0.75	16	3	789392	197348	466	53	1.12994031830239	0.046238841195138	100	57.5	1.10538454847171	FALSE
B_deterministic	0.95	2000	1	0.5	0.707106781186548	24668	6167	3	3	9.92307692307692	0.000985829958234934	0	0	0	FALSE
B_deterministic	0.95	2000	1	1	1	49337	12334	8	4	4.95384615384615	0.00486550511850636	79.45	79.45	0.903520198999447	FALSE
B_deterministic	0.95	2000	1	1.5	1.22474487139159	74006	18501	44	14	3.08567737172388	5.27713073877537e-05	100	100	0	TRUE
B_deterministic	0.95	2000	1	2	1.4142135623731	98674	24668	117	26	2.2295652173913	6.37656393810678e-06	100	100	0	TRUE
B_deterministic	0.95	2000	1	3	1.73205080756888	148011	37003	250	34	1.36424445120097	0.0104814730948269	100	99.55	0.149662119455792	TRUE
B_deterministic	0.95	2000	1	4	2	197348	49337	318	40	1.25600582382917	0.0210862215975697	100	93.55	0.549271107923947	TRUE
B_deterministic	0.95	2000	1	5	2.23606797749979	246685	61671	363	45	1.23233476786097	0.0161650009744801	100	97.15	0.37207358143249	TRUE
B_deterministic	0.95	2000	1	6	2.44948974278318	296022	74006	398	48	1.19901515151515	0.0198115560242042	100	94.95	0.489641450451246	TRUE
B_deterministic	0.95	2000	1	8	2.82842712474619	394696	98674	453	52	1.14233688768515	0.0394074860462637	100	72.3	1.00067727065223	FALSE
B_deterministic	0.95	2000	1	10	3.16227766016838	493370	123342	484	54	1.10996563573883	0.0662204369154444	100	26.4	0.985657141200732	FALSE
B_deterministic	0.95	2000	1	12	3.46410161513775	592044	148011	505	55	1.0819428121904	0.118718169033513	100	2.8	0.368890227574546	FALSE
B_deterministic	0.95	2000	1	16	4	789392	197348	527	56	1.05534389995638	0.206578319285841	100	0.15	0.0865375640979107	FALSE
