sample	n	median_nuclear_frac	median_RP_frac	rho_resid_nuclear	rho_resid_RP	var_removed_by_nuclear_index
set1	10047	0.020394289598912305	0.06992022524636321	-0.1440152003044476	0.14061438845169255	0.0407342707927868
set2	9165	0.01899360878566928	0.03402075397346644	-0.1755111370075622	0.24290939792150312	0.029737245840432025
set3	9728	0.020730350737442945	0.06661161407474156	-0.24029363909305923	0.22768605354149749	0.06449793171080664
set4	11555	0.016082573211713875	0.03896848137535817	-0.249258481867086	0.3016736311486832	0.053332223688891234
