module	n_samples	mean_hi	mean_lo	median_delta	mean_delta	n_hi_higher	n_hi_lower	p	analysis	p_adj
CytotoxicScore	28	-0.160271831317319	0.157811270550945	-0.260488805620258	-0.318083101868265	4	24	0.000113500174714927	Glyco	0.000113500174714927
HelperRegScore	28	0.104551077156328	-0.130102304975434	0.202745819990485	0.234653382131762	24	4	0.0001033762403852	Glyco	0.000113500174714927
CytotoxicScore	28	-0.0594167794740299	0.0615990583282966	-0.0969959342987898	-0.121015837802326	13	15	0.0314052697699245	TPI1	0.0314052697699245
HelperRegScore	28	0.041802271966232	-0.0518115621570378	0.0857427242635294	0.0936138341232698	23	5	0.00117480392054236	TPI1	0.00234960784108472
