excluded_below_outcome_p	n_loci	n_known	bg_known	bg_loci	fold	fisher_p
0	8	4	66	655	4.96212121212121	0.00484067292102241
5e-08	5	1	66	655	1.98484848484849	0.413019883209858
1e-06	5	1	66	655	1.98484848484849	0.413019883209858
1e-05	4	1	66	655	2.48106060606061	0.346796485418149
1e-04	2	1	66	655	4.96212121212121	0.191512010645003
