timepoint	variable	n_R	n_NR	median_R	median_NR	diff	p
Pre	TPI1	9	10	3.52304695422134	4.85054014265453	-1.32749318843319	0.010132282578103
Pre	GlycoDet	9	10	0.697646013666925	0.965897351631868	-0.268251337964944	0.133300136396112
Post	TPI1	9	18	3.29253298078759	4.59856175370587	-1.30602877291828	0.00220389667137571
Post	GlycoDet	9	18	0.663588103997431	0.886409060809669	-0.222820956812237	0.00937048984816791
