cells	timepoint	variable	n_samples	n_R	n_NR	median_R	median_NR	diff	p
CD8-free subset	Post	Glyco	26	6	20	-0.0728954431626279	0.143991088617346	-0.216886531779974	0.00337054250097728
all fixed CD4	Post	Glyco	28	8	20	-0.17520169537905	0.0733196106184106	-0.24852130599746	0.00168784516610604
CD8-free subset	Pre	Glyco	16	8	8	-0.0752434954932598	0.00957272715956417	-0.084816222652824	0.382284382284382
all fixed CD4	Pre	Glyco	19	9	10	-0.158779630010936	0.0544614188841877	-0.213241048895123	0.156400874667129
CD8-free subset	Post	TPI1	26	6	20	4.9792652173913	6.9738445945946	-1.99457937720329	0.00108587065108804
all fixed CD4	Post	TPI1	28	8	20	4.44597933070866	6.86208123569794	-2.41610190498928	0.00565231869579696
CD8-free subset	Pre	TPI1	16	8	8	5.43222435897436	7.11204761904762	-1.67982326007326	0.064957264957265
all fixed CD4	Pre	TPI1	19	9	10	5.13488	7.16420125932836	-2.02932125932836	0.0076208621100262
