row	own_list	n_records	sig_loci	sig_known	bg_known	bg_loci	fold	fisher_p	perm_p	perm_fold	verdict	fisher_p_holm
Melanoma	melanoma	3556	8	4	66	655	4.96212121212121	0.00484067292102242	0.004999500049995	4.8721071863581	supportive	0.00968134584204484
Lung	lung	3556	10	4	68	655	3.85294117647059	0.0138094424084657	0.0106989301069893	4.015661078205	supportive	0.0138094424084657
Colorectal	colorectal	3556	6	6	208	655	3.14903846153846	0.000975678638489542	NA	NA	inconclusive (power): 6 below 8 significant loci	0.00292703591546862
Breast	breast	3556	23	15	190	655	2.24828375286041	0.000264878884530407	0.0008999100089991	2.01835356172125	void	0.00105951553812163
Prostate	prostate	3556	28	23	264	655	2.03801406926407	4.65844096892307e-06	9.99900009999e-05	2.00864591065892	void	2.32922048446153e-05
Pancreas	pancreas	3556	NA	NA	NA	NA	NA	NA	NA	NA	inconclusive (list): own list pancreas failed its gate	NA
