definition	n_cells	pct_CD4_detected	pct_CD8A_detected	pct_CD8B_detected	mean_CD4s_minus_CD8s	pct_of_fixed_retained
D0_fixed	3878	32.5167612171222	52.93965961836	40.7426508509541	0.0446474021724504	100
D1_strict_CD8neg	1729	64.3146327356854	0	0	0.863861414840946	44.5848375451264
D2_score_cohort	4266	59.0482887951242	18.2841068917018	11.7440225035162	0.882861535082841	42.5477050025787
D3_score_x_fixed	1650	62.1818181818182	17.2727272727273	11.3939393939394	0.926179083903616	42.5477050025787
