phenocode	phenotype	category	num_cases	num_controls	path_bucket	path_https
AB1_CHLAMYDIA_OTHER	Other sexually transmitted chlamydial diseases	I Certain infectious and parasitic diseases (AB1_)	2821	484932	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_CHLAMYDIA_OTHER.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_CHLAMYDIA_OTHER.gz
AB1_CHLAMYDIA_OTHER_WIDE	Other sexually transmitted chlamydial diseases	I Certain infectious and parasitic diseases (AB1_)	4649	483294	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_CHLAMYDIA_OTHER_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_CHLAMYDIA_OTHER_WIDE.gz
AB1_CHLAMY_OTHER_WIDE	Diseases caused by chlamydiae	I Certain infectious and parasitic diseases (AB1_)	544	499604	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_CHLAMY_OTHER_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_CHLAMY_OTHER_WIDE.gz
AB1_CHOLERA_WIDE	Cholera	I Certain infectious and parasitic diseases (AB1_)	71	441782	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_CHOLERA_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_CHOLERA_WIDE.gz
AB1_CHROMOMYCOCIS_WIDE	Chromomycosis and phaeomycotic abscess	I Certain infectious and parasitic diseases (AB1_)	136	487828	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_CHROMOMYCOCIS_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_CHROMOMYCOCIS_WIDE.gz
AB1_DENGUE_FEVER	Dengue fever [classical dengue]	I Certain infectious and parasitic diseases (AB1_)	64	496325	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_DENGUE_FEVER.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_DENGUE_FEVER.gz
AB1_DENGUE_FEVER_WIDE	Dengue fever [classical dengue]	I Certain infectious and parasitic diseases (AB1_)	76	496313	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_DENGUE_FEVER_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_DENGUE_FEVER_WIDE.gz
AB1_DERMATOPHYTOSIS	Dermatophytosis	I Certain infectious and parasitic diseases (AB1_)	5443	487915	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_DERMATOPHYTOSIS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_DERMATOPHYTOSIS.gz
AB1_DERMATOPHYTOSIS_WIDE	Dermatophytosis	I Certain infectious and parasitic diseases (AB1_)	32703	461191	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_DERMATOPHYTOSIS_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_DERMATOPHYTOSIS_WIDE.gz
AB1_DIBTHERIA	Diphtheria	I Certain infectious and parasitic diseases (AB1_)	55	433757	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_DIBTHERIA.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_DIBTHERIA.gz
AB1_DIBTHERIA_WIDE	Diphtheria	I Certain infectious and parasitic diseases (AB1_)	63	433750	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_DIBTHERIA_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_DIBTHERIA_WIDE.gz
AB1_EARLY_SYPHILIS	Early syphilis	I Certain infectious and parasitic diseases (AB1_)	406	484932	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_EARLY_SYPHILIS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_EARLY_SYPHILIS.gz
AB1_EARLY_SYPHILIS_WIDE	Early syphilis	I Certain infectious and parasitic diseases (AB1_)	474	484886	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_EARLY_SYPHILIS_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_EARLY_SYPHILIS_WIDE.gz
AB1_EBV	Infectious mononucleosis	I Certain infectious and parasitic diseases (AB1_)	3935	485440	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_EBV.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_EBV.gz
