phenocode	phenotype	category	num_cases	num_controls	path_bucket	path_https
AB1_ZOSTER_WIDE	Zoster [herpes zoster]	I Certain infectious and parasitic diseases (AB1_)	24551	462930	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_ZOSTER_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_ZOSTER_WIDE.gz
ABDOM_HERNIA	Hernia of abdominal wall	XI Diseases of the digestive system (K11_)	22644	477542	gs://finngen-public-data-r13/summary_stats/finngen_R13_ABDOM_HERNIA.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ABDOM_HERNIA.gz
ABDOM_HERNIA_POSTOP	Hernia of abdominal wall, postoperative	XI Diseases of the digestive system (K11_)	9072	266303	gs://finngen-public-data-r13/summary_stats/finngen_R13_ABDOM_HERNIA_POSTOP.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ABDOM_HERNIA_POSTOP.gz
ABPA	Allergic bronchopulmonary aspergillosis (ABPA)	COPD and related endpoints	143	167089	gs://finngen-public-data-r13/summary_stats/finngen_R13_ABPA.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ABPA.gz
ACUTE_DRUGADVERS_INTERSTITIAL_LUNG_DISORD	Acute drug-induced interstitial lung disorder	X Diseases of the respiratory system (J10_)	271	499915	gs://finngen-public-data-r13/summary_stats/finngen_R13_ACUTE_DRUGADVERS_INTERSTITIAL_LUNG_DISORD.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ACUTE_DRUGADVERS_INTERSTITIAL_LUNG_DISORD.gz
AD_AM_EXMORE	Alzheimer’s disease (Atypical or mixed) (more control exclusions)	Neurological endpoints	4292	191784	gs://finngen-public-data-r13/summary_stats/finngen_R13_AD_AM_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AD_AM_EXMORE.gz
AD_EO_EXMORE	Alzheimer’s disease (Early onset) (more control exclusions)	Neurological endpoints	1965	191784	gs://finngen-public-data-r13/summary_stats/finngen_R13_AD_EO_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AD_EO_EXMORE.gz
AD_LO_EXMORE	Alzheimer’s disease (Late onset) (more control exclusions)	Neurological endpoints	11359	191784	gs://finngen-public-data-r13/summary_stats/finngen_R13_AD_LO_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AD_LO_EXMORE.gz
AD_U_EXMORE	Alzheimer’s disease (undefined) (more control exclusions)	Neurological endpoints	500	191784	gs://finngen-public-data-r13/summary_stats/finngen_R13_AD_U_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AD_U_EXMORE.gz
ALCODELIRIUM	Alcohol withdrawal state with delirium 	V Mental and behavioural disorders (F5_)	2693	497493	gs://finngen-public-data-r13/summary_stats/finngen_R13_ALCODELIRIUM.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ALCODELIRIUM.gz
ALCOHOLACUTE10	Acute alcohol intoxication, ICD10	Alcohol related diseases	9378	488811	gs://finngen-public-data-r13/summary_stats/finngen_R13_ALCOHOLACUTE10.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ALCOHOLACUTE10.gz
ALCOPANCACU	Alcohol-induced acute pancreatitis	Alcohol related diseases	1349	498837	gs://finngen-public-data-r13/summary_stats/finngen_R13_ALCOPANCACU.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ALCOPANCACU.gz
ALCOPANCCHRON	Alcohol-induced chronic pancreatitis	Alcohol related diseases	2482	497704	gs://finngen-public-data-r13/summary_stats/finngen_R13_ALCOPANCCHRON.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ALCOPANCCHRON.gz
ALCO_PRESCRIPTION	Use of disulfiram, acamprosate or naltrexone	Alcohol related diseases	3633	496553	gs://finngen-public-data-r13/summary_stats/finngen_R13_ALCO_PRESCRIPTION.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ALCO_PRESCRIPTION.gz
ALLERGIC_CONTACT_DERMA_DRUGS_CONTACT_W_SKIN	Allergic contact dermatitis due to drugs in contact with skin	XII Diseases of the skin and subcutaneous tissue (L12_)	818	499368	gs://finngen-public-data-r13/summary_stats/finngen_R13_ALLERGIC_CONTACT_DERMA_DRUGS_CONTACT_W_SKIN.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ALLERGIC_CONTACT_DERMA_DRUGS_CONTACT_W_SKIN.gz
ALLERG_ASTHMA	Allergic asthma (mode)	Asthma and related endpoints	13422	261674	gs://finngen-public-data-r13/summary_stats/finngen_R13_ALLERG_ASTHMA.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ALLERG_ASTHMA.gz
ALLERG_RHINITIS	Allergic rhinitis	Comorbidities of Asthma	15958	473610	gs://finngen-public-data-r13/summary_stats/finngen_R13_ALLERG_RHINITIS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ALLERG_RHINITIS.gz
AMN2	Transient global amnesia	Neurological endpoints	3555	466976	gs://finngen-public-data-r13/summary_stats/finngen_R13_AMN2.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AMN2.gz
ANAPH_SHOCK_ADVER_EFFECT_CORRE_DRUG_MEDICAM_PROPE_ADMINISTE	Anaphylactic shock due to adverse effect of correct drug or medication properly administered	XIX Injury, poisoning and certain other consequences of external causes (ST19_)	431	499755	gs://finngen-public-data-r13/summary_stats/finngen_R13_ANAPH_SHOCK_ADVER_EFFECT_CORRE_DRUG_MEDICAM_PROPE_ADMINISTE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ANAPH_SHOCK_ADVER_EFFECT_CORRE_DRUG_MEDICAM_PROPE_ADMINISTE.gz
ANOSMIA	Anosmia	Comorbidities of Neurological endpoints	1029	102913	gs://finngen-public-data-r13/summary_stats/finngen_R13_ANOSMIA.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ANOSMIA.gz
ANTIDEPRESSANTS	Depression medications	Comorbidities of Neurological endpoints	157103	102913	gs://finngen-public-data-r13/summary_stats/finngen_R13_ANTIDEPRESSANTS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ANTIDEPRESSANTS.gz
APPENDACUT_COMPLIC	Acute appendicitis, with complications	XI Diseases of the digestive system (K11_)	9074	457423	gs://finngen-public-data-r13/summary_stats/finngen_R13_APPENDACUT_COMPLIC.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_APPENDACUT_COMPLIC.gz
APPENDACUT_NOCOMPLIC	Acute appendicitis, no complications	XI Diseases of the digestive system (K11_)	30628	457423	gs://finngen-public-data-r13/summary_stats/finngen_R13_APPENDACUT_NOCOMPLIC.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_APPENDACUT_NOCOMPLIC.gz
ARTHRO_SPEC	Other specific arthropathies, wide	Rheuma endpoints	839	368412	gs://finngen-public-data-r13/summary_stats/finngen_R13_ARTHRO_SPEC.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ARTHRO_SPEC.gz
ARTRHO_POSTDYSENTERIC	Postdysenteric arthropathy	Rheuma endpoints	348	497175	gs://finngen-public-data-r13/summary_stats/finngen_R13_ARTRHO_POSTDYSENTERIC.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ARTRHO_POSTDYSENTERIC.gz
ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma-related acute respiratory infections	Asthma and related endpoints	23993	438990	gs://finngen-public-data-r13/summary_stats/finngen_R13_ASTHMA_ACUTE_RESPIRATORY_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ASTHMA_ACUTE_RESPIRATORY_INFECTIONS.gz
ASTHMA_ALLERG	Asthma and allergy	Asthma and related endpoints	7018	258793	gs://finngen-public-data-r13/summary_stats/finngen_R13_ASTHMA_ALLERG.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ASTHMA_ALLERG.gz
ASTHMA_CHILD_EXMORE	Childhood asthma (age<16) (more control exclusions)	Asthma and related endpoints	8428	250433	gs://finngen-public-data-r13/summary_stats/finngen_R13_ASTHMA_CHILD_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ASTHMA_CHILD_EXMORE.gz
ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma	Comorbidities of Asthma	3752	438990	gs://finngen-public-data-r13/summary_stats/finngen_R13_ASTHMA_EOSINOPHIL_SUGG.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ASTHMA_EOSINOPHIL_SUGG.gz
ASTHMA_INFECTIONS	Asthma-related infections	Asthma and related endpoints	32970	438990	gs://finngen-public-data-r13/summary_stats/finngen_R13_ASTHMA_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ASTHMA_INFECTIONS.gz
ASTHMA_MIXED_EXMORE	Asthma mixed form (mode) (more control exclusions)	Asthma and related endpoints	2410	250433	gs://finngen-public-data-r13/summary_stats/finngen_R13_ASTHMA_MIXED_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ASTHMA_MIXED_EXMORE.gz
ASTHMA_NAS	Asthma, unspecified (mode)	Asthma and related endpoints	32822	261674	gs://finngen-public-data-r13/summary_stats/finngen_R13_ASTHMA_NAS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ASTHMA_NAS.gz
ASTHMA_OBESITY	Obesity related asthma	Comorbidities of Asthma	16653	438990	gs://finngen-public-data-r13/summary_stats/finngen_R13_ASTHMA_OBESITY.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ASTHMA_OBESITY.gz
ASTHMA_OPPORTUNIST_INFECTIONS	Asthma and opportunity respiratory infection	Asthma and related endpoints	1699	438990	gs://finngen-public-data-r13/summary_stats/finngen_R13_ASTHMA_OPPORTUNIST_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ASTHMA_OPPORTUNIST_INFECTIONS.gz
ASTHMA_PNEUMONIA	Asthma-related pneumonia	Asthma and related endpoints	18376	438990	gs://finngen-public-data-r13/summary_stats/finngen_R13_ASTHMA_PNEUMONIA.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_ASTHMA_PNEUMONIA.gz
AUD	Alcohol use disorder, ICD-based	V Mental and behavioural disorders (F5_)	21274	478912	gs://finngen-public-data-r13/summary_stats/finngen_R13_AUD.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AUD.gz
AUD_SWEDISH	Alcohol use disorder, Swedish definition	Alcohol related diseases	29711	470475	gs://finngen-public-data-r13/summary_stats/finngen_R13_AUD_SWEDISH.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AUD_SWEDISH.gz
AUTOHEP	Autoimmune hepatitis	XI Diseases of the digestive system (K11_)	311	368758	gs://finngen-public-data-r13/summary_stats/finngen_R13_AUTOHEP.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AUTOHEP.gz
AUTOIMMUNE	Autoimmune diseases	Diseases marked as autimmune origin	131428	368758	gs://finngen-public-data-r13/summary_stats/finngen_R13_AUTOIMMUNE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AUTOIMMUNE.gz
AUTOIMMUNE_HYPERTHYROIDISM	Autoimmune hyperthyroidism	IV Endocrine, nutritional and metabolic diseases (E4_)	2609	367054	gs://finngen-public-data-r13/summary_stats/finngen_R13_AUTOIMMUNE_HYPERTHYROIDISM.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AUTOIMMUNE_HYPERTHYROIDISM.gz
AUTOIMMUNE_NONTHYROID	Autoimmune diseases excluding thyroid diseases	Diseases marked as autimmune origin	72412	367506	gs://finngen-public-data-r13/summary_stats/finngen_R13_AUTOIMMUNE_NONTHYROID.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AUTOIMMUNE_NONTHYROID.gz
BACT_INTEST_INFECTION_NOS	Other specified/unspecified bacterial intestinal infections	I Certain infectious and parasitic diseases (AB1_)	2536	491952	gs://finngen-public-data-r13/summary_stats/finngen_R13_BACT_INTEST_INFECTION_NOS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_BACT_INTEST_INFECTION_NOS.gz
BLEEDING	Bleeding	Miscellaneous, not yet classified endpoints	52740	447446	gs://finngen-public-data-r13/summary_stats/finngen_R13_BLEEDING.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_BLEEDING.gz
BMI_IRN	Body mass index, inverse-rank normalized	Quantitative endpoints	362216	0	gs://finngen-public-data-r13/summary_stats/finngen_R13_BMI_IRN.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_BMI_IRN.gz
BRONCHITIS	Bronchitis	Asthma and related endpoints	80404	419782	gs://finngen-public-data-r13/summary_stats/finngen_R13_BRONCHITIS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_BRONCHITIS.gz
C3_ACCESSORY_SINUS_WIDE	Malignant neoplasm of accessory sinuses, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	162	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_ACCESSORY_SINUS_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_ACCESSORY_SINUS_WIDE.gz
C3_ADRENAL_GLAND_WIDE	Malignant neoplasm of adrenal gland, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	252	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_ADRENAL_GLAND_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_ADRENAL_GLAND_WIDE.gz
C3_ALL_WIDE	Acute lymphocytic leukaemia, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	222	372158	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_ALL_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_ALL_WIDE.gz
C3_AML_MDS	Acute myeloid leukaemia and myelodysplastic syndromes	II Neoplasms, from cancer register (ICD-O-3)	733	371983	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_AML_MDS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_AML_MDS.gz
C3_AML_WIDE	Acute myeloid leukaemia, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	353	372157	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_AML_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_AML_WIDE.gz
C3_ANUS_ANALCANAL_WIDE	Malignant neoplasm of anus and anal canal, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	443	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_ANUS_ANALCANAL_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_ANUS_ANALCANAL_WIDE.gz
C3_ASTROCYTOMA_WIDE	Brain astrocytoma, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	151	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_ASTROCYTOMA_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_ASTROCYTOMA_WIDE.gz
C3_BASAL_CELL_CARCINOMA_WIDE	Basal cell carcinoma, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	26694	371498	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_BASAL_CELL_CARCINOMA_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_BASAL_CELL_CARCINOMA_WIDE.gz
C3_BASEOFTONGUE_WIDE	Malignant neoplasm of base of tongue, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	298	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_BASEOFTONGUE_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_BASEOFTONGUE_WIDE.gz
C3_BILIARY_GALLBLADDER_WIDE	Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	2574	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_BILIARY_GALLBLADDER_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_BILIARY_GALLBLADDER_WIDE.gz
C3_BLADDER_WIDE	Malignant neoplasm of bladder, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	5158	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_BLADDER_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_BLADDER_WIDE.gz
C3_BONE_CARTILAGE	Malignant neoplasm of bone and articular cartilage	II Neoplasms, from cancer register (ICD-O-3)	338	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_BONE_CARTILAGE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_BONE_CARTILAGE.gz
C3_BRAIN_WIDE	Malignant neoplasm of brain, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	1987	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_BRAIN_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_BRAIN_WIDE.gz
C3_BREAST_ERNEG_WIDE	Malignant neoplasm of breast, ER-negative, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	9599	218260	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_BREAST_ERNEG_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_BREAST_ERNEG_WIDE.gz
C3_BREAST_ERPLUS_WIDE	Malignant neoplasm of breast, ER-positive, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	15670	218260	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_BREAST_ERPLUS_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_BREAST_ERPLUS_WIDE.gz
C3_BREAST_WIDE	Malignant neoplasm of breast, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	25272	218713	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_BREAST_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_BREAST_WIDE.gz
C3_BRONCHUS_LUNG_WIDE	Malignant neoplasm of bronchus and lung, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	10304	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_BRONCHUS_LUNG_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_BRONCHUS_LUNG_WIDE.gz
C3_CANCER	Malignant neoplasm	II Neoplasms, from cancer register (ICD-O-3)	117264	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_CANCER.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_CANCER.gz
C3_CANCER_WIDE	Malignant neoplasm, wide definition for exclusion	II Neoplasms, from cancer register (ICD-O-3)	128001	372185	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_CANCER_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_CANCER_WIDE.gz
C3_CERVIX_ADENO	Adenocarcinomas of cervix	II Neoplasms, from cancer register (ICD-O-3)	145	218713	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_CERVIX_ADENO.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_CERVIX_ADENO.gz
C3_CERVIX_SQUAM	Squamous cell neoplasms and carcinoma of cervix	II Neoplasms, from cancer register (ICD-O-3)	225	218713	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_CERVIX_SQUAM.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_CERVIX_SQUAM.gz
C3_CERVIX_UTERI_WIDE	Malignant neoplasm of cervix uteri, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	917	218713	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_CERVIX_UTERI_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_CERVIX_UTERI_WIDE.gz
C3_CHONDROSARCOMA_WIDE	Chondrosarcoma, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	164	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_CHONDROSARCOMA_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_CHONDROSARCOMA_WIDE.gz
C3_CIRCULATING_LYMPHOID	Rare circulating lymphoid malignancy	II Neoplasms, from cancer register (ICD-O-3)	197	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_CIRCULATING_LYMPHOID.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_CIRCULATING_LYMPHOID.gz
C3_CIRCULATING_LYMPHOID_WIDE	Rare circulating lymphoid malignancy, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	1084	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_CIRCULATING_LYMPHOID_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_CIRCULATING_LYMPHOID_WIDE.gz
C3_CLL_WIDE	Chronic lymphocytic leukaemia and small lyphocytis leukaemia, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	1018	372152	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_CLL_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_CLL_WIDE.gz
C3_CML_WIDE	Chronic myeloid leukaemia, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	323	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_CML_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_CML_WIDE.gz
C3_COLON_ADENO	Colon adenocarcinoma	II Neoplasms, from cancer register (ICD-O-3)	4895	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_COLON_ADENO.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_COLON_ADENO.gz
C3_COLON_WIDE	Malignant neoplasm of colon, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	8259	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_COLON_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_COLON_WIDE.gz
C3_COLORECTAL	Colorectal cancer	II Neoplasms, from cancer register (ICD-O-3)	10545	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_COLORECTAL.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_COLORECTAL.gz
C3_COLORECTAL_ADENO	Colorectal adenocarcinoma	II Neoplasms, from cancer register (ICD-O-3)	8624	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_COLORECTAL_ADENO.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_COLORECTAL_ADENO.gz
C3_COLORECTAL_NEUROENDO	Colorectal neuroendocrine tumor and carcinoma	II Neoplasms, from cancer register (ICD-O-3)	497	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_COLORECTAL_NEUROENDO.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_COLORECTAL_NEUROENDO.gz
C3_CORPUS_UTERI_WIDE	Malignant neoplasm of corpus uteri, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	3636	218713	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_CORPUS_UTERI_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_CORPUS_UTERI_WIDE.gz
C3_DIGESTIVE_ORGANS	Malignant neoplasm of digestive organs	II Neoplasms, from cancer register (ICD-O-3)	18914	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_DIGESTIVE_ORGANS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_DIGESTIVE_ORGANS.gz
C3_DLBCL_WIDE	Diffuse large B-cell lymphoma, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	1685	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_DLBCL_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_DLBCL_WIDE.gz
C3_ENDOCRINE	Malignant neoplasm of endocrine gland	II Neoplasms, from cancer register (ICD-O-3)	2816	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_ENDOCRINE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_ENDOCRINE.gz
C3_EPENDYDOMA	Ependymoma	II Neoplasms, from cancer register (ICD-O-3)	59	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_EPENDYDOMA.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_EPENDYDOMA.gz
C3_EYE_ADNEXA_WIDE	Malignant neoplasm of eye and adnexa, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	585	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_EYE_ADNEXA_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_EYE_ADNEXA_WIDE.gz
C3_EYE_BRAIN_NEURO	Malignant neoplasm of eye, brain and central nervous system	II Neoplasms, from cancer register (ICD-O-3)	1695	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_EYE_BRAIN_NEURO.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_EYE_BRAIN_NEURO.gz
C3_FEMALE_GENITAL	malignant neoplasm of female genital organs	II Neoplasms, from cancer register (ICD-O-3)	6186	218713	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_FEMALE_GENITAL.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_FEMALE_GENITAL.gz
C3_FIBROSARCOMA_WIDE	Fibrosarcoma, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	291	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_FIBROSARCOMA_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_FIBROSARCOMA_WIDE.gz
C3_GALLBLADDER_WIDE	Malignant neoplasm of gallbladder, including Hilmo	II Neoplasms, from cancer register (ICD-O-3)	245	372159	gs://finngen-public-data-r13/summary_stats/finngen_R13_C3_GALLBLADDER_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_C3_GALLBLADDER_WIDE.gz
