source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
NK	Tprolif	CCL4	CCR5	0.0683269096625742	0	CCL4_CCR5	CCL4 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
Tprolif	Tprolif	CCL4	CCR5	0.0648464086125214	0	CCL4_CCR5	CCL4 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
CD8T	CD4_Glyco_hi	CCL5	CCR5	0.0524145685936354	0.03	CCL5_CCR5	CCL5 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_hi	CD4_Glyco_lo	CCL5	CCR5	0.0635840444839569	0	CCL5_CCR5	CCL5 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_lo	CD4_Glyco_lo	CCL5	CCR5	0.0847543483177406	0	CCL5_CCR5	CCL5 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
CD8T	CD4_Glyco_lo	CCL5	CCR5	0.0907581367606204	0	CCL5_CCR5	CCL5 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
NK	CD4_Glyco_lo	CCL5	CCR5	0.0866963317039958	0	CCL5_CCR5	CCL5 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
Tprolif	CD4_Glyco_lo	CCL5	CCR5	0.0894834059502497	0	CCL5_CCR5	CCL5 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_hi	CD8T	CCL5	CCR5	0.0657910301603939	0	CCL5_CCR5	CCL5 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_lo	CD8T	CCL5	CCR5	0.0876273875832361	0	CCL5_CCR5	CCL5 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
CD8T	CD8T	CCL5	CCR5	0.0938138340688997	0	CCL5_CCR5	CCL5 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
NK	CD8T	CCL5	CCR5	0.0896287544955212	0	CCL5_CCR5	CCL5 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
Tprolif	CD8T	CCL5	CCR5	0.092500551131584	0	CCL5_CCR5	CCL5 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
CD8T	MonoMacro	CCL5	CCR5	0.0581190351266907	0.02	CCL5_CCR5	CCL5 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
NK	MonoMacro	CCL5	CCR5	0.0554289170412676	0.04	CCL5_CCR5	CCL5 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
Tprolif	MonoMacro	CCL5	CCR5	0.0572738555510418	0.02	CCL5_CCR5	CCL5 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_hi	Tprolif	CCL5	CCR5	0.0695470092705014	0	CCL5_CCR5	CCL5 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_lo	Tprolif	CCL5	CCR5	0.0925065514943542	0	CCL5_CCR5	CCL5 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
CD8T	Tprolif	CCL5	CCR5	0.0990000868403288	0	CCL5_CCR5	CCL5 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
NK	Tprolif	CCL5	CCR5	0.0946078006845044	0	CCL5_CCR5	CCL5 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
Tprolif	Tprolif	CCL5	CCR5	0.0976220237236818	0	CCL5_CCR5	CCL5 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
MonoMacro	CD4_Glyco_hi	CCL3	CCR5	0.0221588557221337	0	CCL3_CCR5	CCL3 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
NK	CD4_Glyco_hi	CCL3	CCR5	0.0106106828392801	0.03	CCL3_CCR5	CCL3 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
Tprolif	CD4_Glyco_hi	CCL3	CCR5	0.0110561421625375	0.02	CCL3_CCR5	CCL3 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
CD8T	CD4_Glyco_lo	CCL3	CCR5	0.0109987289650574	0	CCL3_CCR5	CCL3 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
MonoMacro	CD4_Glyco_lo	CCL3	CCR5	0.0392866811318993	0	CCL3_CCR5	CCL3 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
NK	CD4_Glyco_lo	CCL3	CCR5	0.0189855862657588	0	CCL3_CCR5	CCL3 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
Tprolif	CD4_Glyco_lo	CCL3	CCR5	0.0197756144719207	0	CCL3_CCR5	CCL3 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
CD8T	CD8T	CCL3	CCR5	0.0114027176903496	0	CCL3_CCR5	CCL3 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
MonoMacro	CD8T	CCL3	CCR5	0.0406869551302195	0	CCL3_CCR5	CCL3 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
NK	CD8T	CCL3	CCR5	0.0196770994948532	0	CCL3_CCR5	CCL3 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
Tprolif	CD8T	CCL3	CCR5	0.0204953017781792	0	CCL3_CCR5	CCL3 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
MonoMacro	MonoMacro	CCL3	CCR5	0.0246561635274138	0	CCL3_CCR5	CCL3 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
NK	MonoMacro	CCL3	CCR5	0.0118222441819637	0.02	CCL3_CCR5	CCL3 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
Tprolif	MonoMacro	CCL3	CCR5	0.0123179342021934	0	CCL3_CCR5	CCL3 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
CD8T	Tprolif	CCL3	CCR5	0.012093889615459	0	CCL3_CCR5	CCL3 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
MonoMacro	Tprolif	CCL3	CCR5	0.0430758374491301	0	CCL3_CCR5	CCL3 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
