source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
MonoMacro	CD8T	LGALS9	P4HB	0.0777404806981475	0	LGALS9_P4HB	LGALS9 - P4HB	GALECTIN	Secreted Signaling	PMID:21670307;uniprot
pDC	CD8T	LGALS9	P4HB	0.0540230629394218	0	LGALS9_P4HB	LGALS9 - P4HB	GALECTIN	Secreted Signaling	PMID:21670307;uniprot
B	MonoMacro	LGALS9	P4HB	0.0667018456913359	0	LGALS9_P4HB	LGALS9 - P4HB	GALECTIN	Secreted Signaling	PMID:21670307;uniprot
MonoMacro	MonoMacro	LGALS9	P4HB	0.218390159452553	0	LGALS9_P4HB	LGALS9 - P4HB	GALECTIN	Secreted Signaling	PMID:21670307;uniprot
pDC	MonoMacro	LGALS9	P4HB	0.159168338747555	0	LGALS9_P4HB	LGALS9 - P4HB	GALECTIN	Secreted Signaling	PMID:21670307;uniprot
Tprolif	MonoMacro	LGALS9	P4HB	0.042327136759051	0	LGALS9_P4HB	LGALS9 - P4HB	GALECTIN	Secreted Signaling	PMID:21670307;uniprot
B	NK	LGALS9	P4HB	0.0221697291748145	0.01	LGALS9_P4HB	LGALS9 - P4HB	GALECTIN	Secreted Signaling	PMID:21670307;uniprot
MonoMacro	NK	LGALS9	P4HB	0.081421446589957	0	LGALS9_P4HB	LGALS9 - P4HB	GALECTIN	Secreted Signaling	PMID:21670307;uniprot
pDC	NK	LGALS9	P4HB	0.0566500039811141	0	LGALS9_P4HB	LGALS9 - P4HB	GALECTIN	Secreted Signaling	PMID:21670307;uniprot
B	pDC	LGALS9	P4HB	0.0830608220870912	0	LGALS9_P4HB	LGALS9 - P4HB	GALECTIN	Secreted Signaling	PMID:21670307;uniprot
MonoMacro	pDC	LGALS9	P4HB	0.261526727744395	0	LGALS9_P4HB	LGALS9 - P4HB	GALECTIN	Secreted Signaling	PMID:21670307;uniprot
pDC	pDC	LGALS9	P4HB	0.193503335024248	0	LGALS9_P4HB	LGALS9 - P4HB	GALECTIN	Secreted Signaling	PMID:21670307;uniprot
Tprolif	pDC	LGALS9	P4HB	0.0530478742011279	0	LGALS9_P4HB	LGALS9 - P4HB	GALECTIN	Secreted Signaling	PMID:21670307;uniprot
B	Plasma	LGALS9	P4HB	0.0689967827299692	0	LGALS9_P4HB	LGALS9 - P4HB	GALECTIN	Secreted Signaling	PMID:21670307;uniprot
MonoMacro	Plasma	LGALS9	P4HB	0.224647846000278	0	LGALS9_P4HB	LGALS9 - P4HB	GALECTIN	Secreted Signaling	PMID:21670307;uniprot
pDC	Plasma	LGALS9	P4HB	0.164085340546194	0	LGALS9_P4HB	LGALS9 - P4HB	GALECTIN	Secreted Signaling	PMID:21670307;uniprot
Tprolif	Plasma	LGALS9	P4HB	0.0438228178705555	0	LGALS9_P4HB	LGALS9 - P4HB	GALECTIN	Secreted Signaling	PMID:21670307;uniprot
B	Tprolif	LGALS9	P4HB	0.0539273390947931	0	LGALS9_P4HB	LGALS9 - P4HB	GALECTIN	Secreted Signaling	PMID:21670307;uniprot
MonoMacro	Tprolif	LGALS9	P4HB	0.182237343460642	0	LGALS9_P4HB	LGALS9 - P4HB	GALECTIN	Secreted Signaling	PMID:21670307;uniprot
pDC	Tprolif	LGALS9	P4HB	0.131173928743823	0	LGALS9_P4HB	LGALS9 - P4HB	GALECTIN	Secreted Signaling	PMID:21670307;uniprot
Tprolif	Tprolif	LGALS9	P4HB	0.0340504767638419	0	LGALS9_P4HB	LGALS9 - P4HB	GALECTIN	Secreted Signaling	PMID:21670307;uniprot
B	MonoMacro	PPIA	BSG	0.229973220065964	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
CD4_Glyco_hi	MonoMacro	PPIA	BSG	0.232895407097036	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
CD4_Glyco_lo	MonoMacro	PPIA	BSG	0.231642670851756	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
CD8T	MonoMacro	PPIA	BSG	0.230711273733247	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
MonoMacro	MonoMacro	PPIA	BSG	0.237674152787027	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
NK	MonoMacro	PPIA	BSG	0.236319462799118	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
pDC	MonoMacro	PPIA	BSG	0.246847417625271	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
Plasma	MonoMacro	PPIA	BSG	0.164273266222958	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
Tprolif	MonoMacro	PPIA	BSG	0.240041267747569	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
B	pDC	PPIA	BSG	0.21587721740563	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
CD4_Glyco_hi	pDC	PPIA	BSG	0.218671155818231	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
CD4_Glyco_lo	pDC	PPIA	BSG	0.217473240332688	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
CD8T	pDC	PPIA	BSG	0.216582756764436	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
MonoMacro	pDC	PPIA	BSG	0.223242974948001	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
NK	pDC	PPIA	BSG	0.221946591567006	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
pDC	pDC	PPIA	BSG	0.232028783837419	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
Tprolif	pDC	PPIA	BSG	0.225508879596514	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
B	Plasma	PPIA	BSG	0.213152150170183	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
CD4_Glyco_hi	Plasma	PPIA	BSG	0.215920531803838	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
CD4_Glyco_lo	Plasma	PPIA	BSG	0.214733543420867	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
CD8T	Plasma	PPIA	BSG	0.213851212299185	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
MonoMacro	Plasma	PPIA	BSG	0.220451068704043	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
NK	Plasma	PPIA	BSG	0.219166323549859	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
pDC	Plasma	PPIA	BSG	0.229159416944066	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
Tprolif	Plasma	PPIA	BSG	0.222696760087325	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
B	Tprolif	PPIA	BSG	0.200964675808172	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
CD4_Glyco_hi	Tprolif	PPIA	BSG	0.203615729722752	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
CD4_Glyco_lo	Tprolif	PPIA	BSG	0.202478916860454	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
CD8T	Tprolif	PPIA	BSG	0.201634010080512	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
MonoMacro	Tprolif	PPIA	BSG	0.207956558718396	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
NK	Tprolif	PPIA	BSG	0.206725319447643	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
pDC	Tprolif	PPIA	BSG	0.216308297049822	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
Plasma	Tprolif	PPIA	BSG	0.142023525127315	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
Tprolif	Tprolif	PPIA	BSG	0.210109276122273	0	PPIA_BSG	PPIA - BSG	CypA	Secreted Signaling	PMID: 36012604
Plasma	Tprolif	LAMA5	ITGA1_ITGB1	0.0016956702155997	0	LAMA5_ITGA1_ITGB1	LAMA5 - (ITGA1+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
Plasma	B	LAMA5	CD44	0.0109273906798092	0	LAMA5_CD44	LAMA5 - CD44	LAMININ	ECM-Receptor	KEGG: hsa04512
Plasma	CD4_Glyco_hi	LAMA5	CD44	0.0132247904035106	0	LAMA5_CD44	LAMA5 - CD44	LAMININ	ECM-Receptor	KEGG: hsa04512
Plasma	CD4_Glyco_lo	LAMA5	CD44	0.0125451567611161	0	LAMA5_CD44	LAMA5 - CD44	LAMININ	ECM-Receptor	KEGG: hsa04512
Plasma	CD8T	LAMA5	CD44	0.0130858284626074	0	LAMA5_CD44	LAMA5 - CD44	LAMININ	ECM-Receptor	KEGG: hsa04512
Plasma	MonoMacro	LAMA5	CD44	0.0137918932979444	0	LAMA5_CD44	LAMA5 - CD44	LAMININ	ECM-Receptor	KEGG: hsa04512
Plasma	NK	LAMA5	CD44	0.0106657120553224	0	LAMA5_CD44	LAMA5 - CD44	LAMININ	ECM-Receptor	KEGG: hsa04512
Plasma	pDC	LAMA5	CD44	0.00506915909964964	0	LAMA5_CD44	LAMA5 - CD44	LAMININ	ECM-Receptor	KEGG: hsa04512
Plasma	Plasma	LAMA5	CD44	0.00609733326311225	0	LAMA5_CD44	LAMA5 - CD44	LAMININ	ECM-Receptor	KEGG: hsa04512
Plasma	Tprolif	LAMA5	CD44	0.0125140209360284	0	LAMA5_CD44	LAMA5 - CD44	LAMININ	ECM-Receptor	KEGG: hsa04512
MonoMacro	B	APP	CD74	0.0695309379322001	0	APP_CD74	APP - CD74	APP	Cell-Cell Contact	PMID: 19849849
pDC	B	APP	CD74	0.360297794555482	0	APP_CD74	APP - CD74	APP	Cell-Cell Contact	PMID: 19849849
MonoMacro	CD4_Glyco_hi	APP	CD74	0.0537535331800541	0	APP_CD74	APP - CD74	APP	Cell-Cell Contact	PMID: 19849849
pDC	CD4_Glyco_hi	APP	CD74	0.299800400134529	0	APP_CD74	APP - CD74	APP	Cell-Cell Contact	PMID: 19849849
MonoMacro	CD4_Glyco_lo	APP	CD74	0.0543380203562898	0	APP_CD74	APP - CD74	APP	Cell-Cell Contact	PMID: 19849849
pDC	CD4_Glyco_lo	APP	CD74	0.302205823868369	0	APP_CD74	APP - CD74	APP	Cell-Cell Contact	PMID: 19849849
MonoMacro	CD8T	APP	CD74	0.0555754544632911	0	APP_CD74	APP - CD74	APP	Cell-Cell Contact	PMID: 19849849
pDC	CD8T	APP	CD74	0.307253923391933	0	APP_CD74	APP - CD74	APP	Cell-Cell Contact	PMID: 19849849
MonoMacro	MonoMacro	APP	CD74	0.0676420850535259	0	APP_CD74	APP - CD74	APP	Cell-Cell Contact	PMID: 19849849
pDC	MonoMacro	APP	CD74	0.353511072278897	0	APP_CD74	APP - CD74	APP	Cell-Cell Contact	PMID: 19849849
MonoMacro	NK	APP	CD74	0.0486963617715676	0	APP_CD74	APP - CD74	APP	Cell-Cell Contact	PMID: 19849849
pDC	NK	APP	CD74	0.278405669583051	0	APP_CD74	APP - CD74	APP	Cell-Cell Contact	PMID: 19849849
MonoMacro	pDC	APP	CD74	0.0695309379322001	0	APP_CD74	APP - CD74	APP	Cell-Cell Contact	PMID: 19849849
pDC	pDC	APP	CD74	0.360297794555482	0	APP_CD74	APP - CD74	APP	Cell-Cell Contact	PMID: 19849849
MonoMacro	Plasma	APP	CD74	0.0453138187159164	0	APP_CD74	APP - CD74	APP	Cell-Cell Contact	PMID: 19849849
pDC	Plasma	APP	CD74	0.263486488843657	0	APP_CD74	APP - CD74	APP	Cell-Cell Contact	PMID: 19849849
MonoMacro	Tprolif	APP	CD74	0.0564867234134491	0	APP_CD74	APP - CD74	APP	Cell-Cell Contact	PMID: 19849849
pDC	Tprolif	APP	CD74	0.31093329992483	0	APP_CD74	APP - CD74	APP	Cell-Cell Contact	PMID: 19849849
Plasma	Plasma	CADM1	CADM1	0.00925341945554272	0	CADM1_CADM1	CADM1 - CADM1	CADM	Cell-Cell Contact	PMID: 24503895
Tprolif	Plasma	CADM1	CADM1	0.0115225623128532	0	CADM1_CADM1	CADM1 - CADM1	CADM	Cell-Cell Contact	PMID: 24503895
Plasma	Tprolif	CADM1	CADM1	0.0115225623128532	0	CADM1_CADM1	CADM1 - CADM1	CADM	Cell-Cell Contact	PMID: 24503895
Tprolif	Tprolif	CADM1	CADM1	0.014340095137695	0	CADM1_CADM1	CADM1 - CADM1	CADM	Cell-Cell Contact	PMID: 24503895
B	MonoMacro	FCER2	ITGAM_ITGB2	0.168809779327871	0	FCER2A_ITGAM_ITGB2	FCER2A - (ITGAM+ITGB2)	CD23	Cell-Cell Contact	PMID: 7621072
B	NK	FCER2	ITGAM_ITGB2	0.121887477098337	0	FCER2A_ITGAM_ITGB2	FCER2A - (ITGAM+ITGB2)	CD23	Cell-Cell Contact	PMID: 7621072
B	MonoMacro	FCER2	ITGAX_ITGB2	0.222703907140071	0	FCER2A_ITGAX_ITGB2	FCER2A - (ITGAX+ITGB2)	CD23	Cell-Cell Contact	PMID: 7621072
B	NK	FCER2	ITGAX_ITGB2	0.117071430124473	0	FCER2A_ITGAX_ITGB2	FCER2A - (ITGAX+ITGB2)	CD23	Cell-Cell Contact	PMID: 7621072
B	B	FCER2	CR2	0.0641065704333462	0	FCER2A_CR2	FCER2A - CR2	CD23	Cell-Cell Contact	PMID: 16785534
B	CD4_Glyco_hi	ENTPD1	ADORA2A	0.00106790949914256	0.03	ENTPD1_ADORA2A	ENTPD1 - ADORA2A	CD39	Cell-Cell Contact	PMID: 21677139
MonoMacro	CD4_Glyco_hi	ENTPD1	ADORA2A	0.00198375157641549	0	ENTPD1_ADORA2A	ENTPD1 - ADORA2A	CD39	Cell-Cell Contact	PMID: 21677139
Plasma	CD4_Glyco_hi	ENTPD1	ADORA2A	0.000883153417546235	0.04	ENTPD1_ADORA2A	ENTPD1 - ADORA2A	CD39	Cell-Cell Contact	PMID: 21677139
Tprolif	CD4_Glyco_hi	ENTPD1	ADORA2A	0.00119950652615458	0.01	ENTPD1_ADORA2A	ENTPD1 - ADORA2A	CD39	Cell-Cell Contact	PMID: 21677139
B	Plasma	ENTPD1	ADORA2A	0.00633418752425384	0	ENTPD1_ADORA2A	ENTPD1 - ADORA2A	CD39	Cell-Cell Contact	PMID: 21677139
MonoMacro	Plasma	ENTPD1	ADORA2A	0.0117134450342973	0	ENTPD1_ADORA2A	ENTPD1 - ADORA2A	CD39	Cell-Cell Contact	PMID: 21677139
Plasma	Plasma	ENTPD1	ADORA2A	0.00524310931011125	0	ENTPD1_ADORA2A	ENTPD1 - ADORA2A	CD39	Cell-Cell Contact	PMID: 21677139
Tprolif	Plasma	ENTPD1	ADORA2A	0.00711012169907034	0	ENTPD1_ADORA2A	ENTPD1 - ADORA2A	CD39	Cell-Cell Contact	PMID: 21677139
B	Tprolif	ENTPD1	ADORA2A	0.00690283916312479	0	ENTPD1_ADORA2A	ENTPD1 - ADORA2A	CD39	Cell-Cell Contact	PMID: 21677139
CD4_Glyco_lo	Tprolif	ENTPD1	ADORA2A	0.0013747308663251	0	ENTPD1_ADORA2A	ENTPD1 - ADORA2A	CD39	Cell-Cell Contact	PMID: 21677139
MonoMacro	Tprolif	ENTPD1	ADORA2A	0.0127588186754387	0	ENTPD1_ADORA2A	ENTPD1 - ADORA2A	CD39	Cell-Cell Contact	PMID: 21677139
Plasma	Tprolif	ENTPD1	ADORA2A	0.00571437270989704	0	ENTPD1_ADORA2A	ENTPD1 - ADORA2A	CD39	Cell-Cell Contact	PMID: 21677139
Tprolif	Tprolif	ENTPD1	ADORA2A	0.00774788966839047	0	ENTPD1_ADORA2A	ENTPD1 - ADORA2A	CD39	Cell-Cell Contact	PMID: 21677139
B	B	PTPRC	CD22	0.270875395449539	0	PTPRC_CD22	PTPRC - CD22	CD45	Cell-Cell Contact	PMID: 12115612
CD4_Glyco_hi	B	PTPRC	CD22	0.294963623875903	0	PTPRC_CD22	PTPRC - CD22	CD45	Cell-Cell Contact	PMID: 12115612
CD4_Glyco_lo	B	PTPRC	CD22	0.294629124278348	0	PTPRC_CD22	PTPRC - CD22	CD45	Cell-Cell Contact	PMID: 12115612
CD8T	B	PTPRC	CD22	0.29701938145846	0	PTPRC_CD22	PTPRC - CD22	CD45	Cell-Cell Contact	PMID: 12115612
MonoMacro	B	PTPRC	CD22	0.263835310518527	0	PTPRC_CD22	PTPRC - CD22	CD45	Cell-Cell Contact	PMID: 12115612
NK	B	PTPRC	CD22	0.29667296702443	0	PTPRC_CD22	PTPRC - CD22	CD45	Cell-Cell Contact	PMID: 12115612
pDC	B	PTPRC	CD22	0.23105950755266	0	PTPRC_CD22	PTPRC - CD22	CD45	Cell-Cell Contact	PMID: 12115612
Plasma	B	PTPRC	CD22	0.118920537984776	0	PTPRC_CD22	PTPRC - CD22	CD45	Cell-Cell Contact	PMID: 12115612
Tprolif	B	PTPRC	CD22	0.29102719206906	0	PTPRC_CD22	PTPRC - CD22	CD45	Cell-Cell Contact	PMID: 12115612
B	NK	CD48	CD244	0.0109536451733353	0	CD48_CD244A	CD48 - CD244A	CD48	Cell-Cell Contact	PMID: 26697006
CD4_Glyco_hi	NK	CD48	CD244	0.00844182857121802	0	CD48_CD244A	CD48 - CD244A	CD48	Cell-Cell Contact	PMID: 26697006
CD4_Glyco_lo	NK	CD48	CD244	0.0084871585546117	0	CD48_CD244A	CD48 - CD244A	CD48	Cell-Cell Contact	PMID: 26697006
CD8T	NK	CD48	CD244	0.00850302306965274	0	CD48_CD244A	CD48 - CD244A	CD48	Cell-Cell Contact	PMID: 26697006
MonoMacro	NK	CD48	CD244	0.0207224075223398	0	CD48_CD244A	CD48 - CD244A	CD48	Cell-Cell Contact	PMID: 26697006
NK	NK	CD48	CD244	0.0086117946410224	0	CD48_CD244A	CD48 - CD244A	CD48	Cell-Cell Contact	PMID: 26697006
Plasma	NK	CD48	CD244	0.00463524454459733	0	CD48_CD244A	CD48 - CD244A	CD48	Cell-Cell Contact	PMID: 26697006
Tprolif	NK	CD48	CD244	0.0220140232775478	0	CD48_CD244A	CD48 - CD244A	CD48	Cell-Cell Contact	PMID: 26697006
CD4_Glyco_hi	MonoMacro	CD6	ALCAM	0.0197163801485183	0	CD6_ALCAM	CD6 - ALCAM	CD6	Cell-Cell Contact	PMID: 23602662
CD4_Glyco_lo	MonoMacro	CD6	ALCAM	0.0200302312184935	0	CD6_ALCAM	CD6 - ALCAM	CD6	Cell-Cell Contact	PMID: 23602662
CD8T	MonoMacro	CD6	ALCAM	0.0144967606039876	0	CD6_ALCAM	CD6 - ALCAM	CD6	Cell-Cell Contact	PMID: 23602662
NK	MonoMacro	CD6	ALCAM	0.0054789223325533	0	CD6_ALCAM	CD6 - ALCAM	CD6	Cell-Cell Contact	PMID: 23602662
Tprolif	MonoMacro	CD6	ALCAM	0.0121032502723051	0	CD6_ALCAM	CD6 - ALCAM	CD6	Cell-Cell Contact	PMID: 23602662
CD4_Glyco_hi	pDC	CD6	ALCAM	0.0188606985806317	0	CD6_ALCAM	CD6 - ALCAM	CD6	Cell-Cell Contact	PMID: 23602662
CD4_Glyco_lo	pDC	CD6	ALCAM	0.0191611949064641	0	CD6_ALCAM	CD6 - ALCAM	CD6	Cell-Cell Contact	PMID: 23602662
CD8T	pDC	CD6	ALCAM	0.0138644041958479	0	CD6_ALCAM	CD6 - ALCAM	CD6	Cell-Cell Contact	PMID: 23602662
NK	pDC	CD6	ALCAM	0.00523783814696664	0	CD6_ALCAM	CD6 - ALCAM	CD6	Cell-Cell Contact	PMID: 23602662
Tprolif	pDC	CD6	ALCAM	0.0115740738772562	0	CD6_ALCAM	CD6 - ALCAM	CD6	Cell-Cell Contact	PMID: 23602662
CD4_Glyco_hi	Plasma	CD6	ALCAM	0.00325152254810099	0	CD6_ALCAM	CD6 - ALCAM	CD6	Cell-Cell Contact	PMID: 23602662
CD4_Glyco_lo	Plasma	CD6	ALCAM	0.00330416464324432	0	CD6_ALCAM	CD6 - ALCAM	CD6	Cell-Cell Contact	PMID: 23602662
CD8T	Plasma	CD6	ALCAM	0.00238014681196312	0	CD6_ALCAM	CD6 - ALCAM	CD6	Cell-Cell Contact	PMID: 23602662
NK	Plasma	CD6	ALCAM	0.000892727727840643	0	CD6_ALCAM	CD6 - ALCAM	CD6	Cell-Cell Contact	PMID: 23602662
Tprolif	Plasma	CD6	ALCAM	0.00198314324805142	0	CD6_ALCAM	CD6 - ALCAM	CD6	Cell-Cell Contact	PMID: 23602662
MonoMacro	CD4_Glyco_hi	CD86	CD28	0.0540015856539752	0	CD86_CD28	CD86 - CD28	CD86	Cell-Cell Contact	PMID: 23954143
MonoMacro	CD4_Glyco_lo	CD86	CD28	0.0446011566012345	0	CD86_CD28	CD86 - CD28	CD86	Cell-Cell Contact	PMID: 23954143
MonoMacro	CD8T	CD86	CD28	0.026129272665771	0	CD86_CD28	CD86 - CD28	CD86	Cell-Cell Contact	PMID: 23954143
MonoMacro	Tprolif	CD86	CD28	0.0455343431188981	0	CD86_CD28	CD86 - CD28	CD86	Cell-Cell Contact	PMID: 23954143
MonoMacro	CD4_Glyco_hi	CD86	CTLA4	0.0605004917894538	0	CD86_CTLA4	CD86 - CTLA4	CD86	Cell-Cell Contact	PMID: 23954143
MonoMacro	CD4_Glyco_lo	CD86	CTLA4	0.0579975374229632	0	CD86_CTLA4	CD86 - CTLA4	CD86	Cell-Cell Contact	PMID: 23954143
MonoMacro	CD8T	CD86	CTLA4	0.0517650701941354	0	CD86_CTLA4	CD86 - CTLA4	CD86	Cell-Cell Contact	PMID: 23954143
MonoMacro	Tprolif	CD86	CTLA4	0.0495683797034543	0	CD86_CTLA4	CD86 - CTLA4	CD86	Cell-Cell Contact	PMID: 23954143
B	MonoMacro	CD99	PILRA	0.0529333279803706	0	CD99_PILRA	CD99 - PILRA	CD99	Cell-Cell Contact	PMID: 18234675
CD4_Glyco_hi	MonoMacro	CD99	PILRA	0.155191237777232	0	CD99_PILRA	CD99 - PILRA	CD99	Cell-Cell Contact	PMID: 18234675
CD4_Glyco_lo	MonoMacro	CD99	PILRA	0.155553456418291	0	CD99_PILRA	CD99 - PILRA	CD99	Cell-Cell Contact	PMID: 18234675
CD8T	MonoMacro	CD99	PILRA	0.157085819231295	0	CD99_PILRA	CD99 - PILRA	CD99	Cell-Cell Contact	PMID: 18234675
MonoMacro	MonoMacro	CD99	PILRA	0.122067052678763	0	CD99_PILRA	CD99 - PILRA	CD99	Cell-Cell Contact	PMID: 18234675
NK	MonoMacro	CD99	PILRA	0.160334435078179	0	CD99_PILRA	CD99 - PILRA	CD99	Cell-Cell Contact	PMID: 18234675
pDC	MonoMacro	CD99	PILRA	0.1760849447029	0	CD99_PILRA	CD99 - PILRA	CD99	Cell-Cell Contact	PMID: 18234675
Plasma	MonoMacro	CD99	PILRA	0.0298696083088623	0	CD99_PILRA	CD99 - PILRA	CD99	Cell-Cell Contact	PMID: 18234675
Tprolif	MonoMacro	CD99	PILRA	0.187129796393519	0	CD99_PILRA	CD99 - PILRA	CD99	Cell-Cell Contact	PMID: 18234675
CD4_Glyco_hi	CD4_Glyco_hi	CD99	CD99	0.149615537362156	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD4_Glyco_hi	CD99	CD99	0.149967052387674	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD4_Glyco_hi	CD99	CD99	0.151454253475741	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
NK	CD4_Glyco_hi	CD99	CD99	0.154607767466673	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
pDC	CD4_Glyco_hi	CD99	CD99	0.169909552305431	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD4_Glyco_hi	CD99	CD99	0.18065198546307	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD4_Glyco_lo	CD99	CD99	0.149967052387674	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD4_Glyco_lo	CD99	CD99	0.150319247296335	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD4_Glyco_lo	CD99	CD99	0.151809317286287	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
NK	CD4_Glyco_lo	CD99	CD99	0.154968874088611	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
pDC	CD4_Glyco_lo	CD99	CD99	0.170299198772219	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD4_Glyco_lo	CD99	CD99	0.181060893632055	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD8T	CD99	CD99	0.151454253475741	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD8T	CD99	CD99	0.151809317286287	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD8T	CD99	CD99	0.153311492771301	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
NK	CD8T	CD99	CD99	0.156496545394994	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
pDC	CD8T	CD99	CD99	0.171947244241872	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD8T	CD99	CD99	0.18279013985495	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
Tprolif	MonoMacro	CD99	CD99	0.143013387750882	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	NK	CD99	CD99	0.154607767466673	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	NK	CD99	CD99	0.154968874088611	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
CD8T	NK	CD99	CD99	0.156496545394994	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
NK	NK	CD99	CD99	0.159735284138067	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
pDC	NK	CD99	CD99	0.175439233674566	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
Tprolif	NK	CD99	CD99	0.18645274904918	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	pDC	CD99	CD99	0.169909552305431	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	pDC	CD99	CD99	0.170299198772219	0	CD99_CD99	CD99 - CD99	CD99	Cell-Cell Contact	KEGG: hsa04514
