outcome	n_strict_records	bg_loci	bg_known	sig_records	sig_loci	sig_known	fold	fisher_p
HCC_high	3398	549	31	7	2	1	8.854838709677418	0.10984138380326619
HCC_low	3686	564	32	9	2	2	17.625	0.0031240945794450406
