cell	cell_group
A7_P1_M55_L001	CD8T
A7_P2_M55_L001	CD8T
A7_P3_M55_L001	NK
A7_P4_M55_L001	CD8T
A8_P2_M55_L001	CD8T
A8_P3_M55_L001	CD8T
A8_P4_M55_L001	MonoMacro
A9_P3_M55_L001	NK
A9_P4_M55_L001	Tprolif
B10_P4_M55_L001	B
B11_P2_M55_L001	CD4_Glyco_lo
B11_P3_M55_L001	CD8T
B11_P4_M55_L001	CD8T
B12_P3_M55_L001	B
B12_P4_M55_L001	CD8T
B1_P1_M55_L001	CD4_Glyco_lo
B1_P2_M55_L001	CD8T
B2_P1_M55_L001	CD4_Glyco_lo
B2_P2_M55_L001	CD4_Glyco_lo
B3_P1_M55_L001	CD8T
B3_P2_M55_L001	CD4_Glyco_hi
B4_P1_M55_L001	CD8T
B4_P2_M55_L001	CD8T
B4_P3_M55_L001	NK
B4_P4_M55_L001	CD4_Glyco_lo
B5_P1_M55_L001	B
B5_P2_M55_L001	CD8T
B5_P3_M55_L001	CD8T
B5_P4_M55_L001	Plasma
B6_P4_M55_L001	CD8T
B7_P3_M55_L001	CD8T
B7_P4_M55_L001	CD4_Glyco_lo
B8_P1_M55_L001	pDC
B8_P3_M55_L001	CD8T
B8_P4_M55_L001	CD4_Glyco_lo
B9_P1_M55_L001	CD8T
B9_P4_M55_L001	CD8T
C10_P2_M55_L001	B
C10_P3_M55_L001	CD8T
C11_P1_M55_L001	NK
C11_P2_M55_L001	B
C11_P3_M55_L001	CD8T
C12_P1_M55_L001	pDC
C12_P2_M55_L001	CD8T
C12_P3_M55_L001	CD8T
C12_P4_M55_L001	Tprolif
C1_P3_M55_L001	CD8T
C1_P4_M55_L001	CD8T
C2_P2_M55_L001	CD4_Glyco_hi
C2_P3_M55_L001	Tprolif
C2_P4_M55_L001	CD4_Glyco_lo
C3_P1_M55_L001	MonoMacro
C3_P2_M55_L001	B
C3_P3_M55_L001	CD8T
C4_P1_M55_L001	CD4_Glyco_hi
C4_P2_M55_L001	CD8T
C4_P3_M55_L001	CD4_Glyco_hi
C4_P4_M55_L001	B
C5_P1_M55_L001	CD4_Glyco_lo
C5_P2_M55_L001	CD4_Glyco_hi
C5_P3_M55_L001	CD8T
C6_P1_M55_L001	CD8T
C6_P2_M55_L001	CD8T
C6_P3_M55_L001	CD8T
C6_P4_M55_L001	CD4_Glyco_hi
C7_P1_M55_L001	NK
C7_P2_M55_L001	Tprolif
C7_P3_M55_L001	CD8T
C8_P4_M55_L001	Tprolif
C9_P2_M55_L001	CD8T
C9_P4_M55_L001	CD8T
D10_P3_M55_L001	NK
D10_P4_M55_L001	CD8T
D11_P1_M55_L001	Tprolif
D11_P2_M55_L001	CD8T
D11_P3_M55_L001	CD8T
D12_P1_M55_L001	NK
D12_P2_M55_L001	MonoMacro
D12_P3_M55_L001	Plasma
D12_P4_M55_L001	CD8T
D1_P3_M55_L001	CD4_Glyco_lo
D1_P4_M55_L001	CD4_Glyco_lo
D2_P1_M55_L001	CD8T
D2_P2_M55_L001	CD8T
D2_P3_M55_L001	CD8T
D2_P4_M55_L001	CD8T
D3_P1_M55_L001	B
D3_P2_M55_L001	CD4_Glyco_lo
D3_P4_M55_L001	CD8T
D4_P1_M55_L001	CD8T
D4_P4_M55_L001	CD8T
D5_P2_M55_L001	CD8T
D5_P3_M55_L001	NK
D6_P2_M55_L001	Plasma
D6_P4_M55_L001	CD8T
D7_P1_M55_L001	CD4_Glyco_lo
D7_P2_M55_L001	B
D7_P3_M55_L001	CD8T
D7_P4_M55_L001	CD8T
D8_P1_M55_L001	CD4_Glyco_hi
D8_P2_M55_L001	B
D8_P3_M55_L001	CD8T
D9_P1_M55_L001	CD4_Glyco_lo
D9_P2_M55_L001	CD4_Glyco_hi
D9_P4_M55_L001	CD8T
E10_P1_M55_L001	CD8T
E10_P2_M55_L001	MonoMacro
E10_P4_M55_L001	CD4_Glyco_hi
E11_P1_M55_L001	CD4_Glyco_lo
E11_P3_M55_L001	CD8T
E11_P4_M55_L001	Tprolif
E12_P1_M55_L001	CD8T
E12_P2_M55_L001	Plasma
E12_P3_M55_L001	CD8T
E12_P4_M55_L001	CD8T
E1_P4_M55_L001	CD4_Glyco_lo
E2_P1_M55_L001	CD8T
E2_P2_M55_L001	CD4_Glyco_lo
E2_P3_M55_L001	CD4_Glyco_lo
E2_P4_M55_L001	B
E3_P1_M55_L001	CD8T
E3_P3_M55_L001	B
E3_P4_M55_L001	CD4_Glyco_hi
E4_P1_M55_L001	CD8T
E4_P3_M55_L001	CD8T
E4_P4_M55_L001	CD8T
E5_P1_M55_L001	Tprolif
E5_P3_M55_L001	CD4_Glyco_hi
E5_P4_M55_L001	Tprolif
E6_P1_M55_L001	B
E6_P2_M55_L001	CD8T
E6_P3_M55_L001	CD8T
E6_P4_M55_L001	CD4_Glyco_hi
E7_P1_M55_L001	CD8T
E7_P3_M55_L001	CD4_Glyco_hi
E8_P2_M55_L001	CD8T
E8_P3_M55_L001	CD8T
E8_P4_M55_L001	B
E9_P1_M55_L001	CD4_Glyco_lo
F10_P2_M55_L001	CD8T
F11_P1_M55_L001	CD4_Glyco_lo
F11_P2_M55_L001	Tprolif
F12_P2_M55_L001	CD8T
F12_P3_M55_L001	CD8T
F12_P4_M55_L001	CD4_Glyco_lo
F1_P2_M55_L001	B
F1_P3_M55_L001	CD8T
F2_P2_M55_L001	Tprolif
F2_P4_M55_L001	CD4_Glyco_hi
F3_P2_M55_L001	CD8T
F3_P4_M55_L001	B
F4_P1_M55_L001	CD8T
F4_P2_M55_L001	B
F4_P4_M55_L001	CD4_Glyco_hi
F5_P2_M55_L001	CD8T
F5_P4_M55_L001	B
F6_P1_M55_L001	Tprolif
F6_P2_M55_L001	B
F6_P3_M55_L001	CD4_Glyco_lo
F7_P1_M55_L001	CD4_Glyco_lo
F7_P2_M55_L001	CD8T
F7_P3_M55_L001	Plasma
F8_P1_M55_L001	CD8T
F8_P2_M55_L001	CD8T
F8_P3_M55_L001	CD8T
F9_P1_M55_L001	Tprolif
F9_P2_M55_L001	CD8T
F9_P3_M55_L001	CD4_Glyco_hi
F9_P4_M55_L001	NK
G10_P1_M55_L001	CD8T
G10_P3_M55_L001	CD4_Glyco_hi
G10_P4_M55_L001	CD8T
G11_P2_M55_L001	NK
G11_P4_M55_L001	B
G12_P1_M55_L001	CD8T
G12_P4_M55_L001	CD4_Glyco_hi
G1_P3_M55_L001	CD4_Glyco_hi
G2_P1_M55_L001	CD8T
G2_P2_M55_L001	CD8T
G2_P3_M55_L001	CD8T
G2_P4_M55_L001	CD8T
G3_P1_M55_L001	CD8T
G3_P3_M55_L001	CD8T
G3_P4_M55_L001	CD8T
G4_P1_M55_L001	CD8T
G4_P2_M55_L001	CD4_Glyco_hi
G4_P3_M55_L001	CD4_Glyco_lo
G4_P4_M55_L001	NK
G5_P1_M55_L001	B
G5_P2_M55_L001	CD8T
G5_P3_M55_L001	CD8T
G6_P2_M55_L001	CD4_Glyco_lo
G6_P3_M55_L001	CD4_Glyco_hi
G6_P4_M55_L001	CD4_Glyco_hi
G7_P2_M55_L001	CD4_Glyco_hi
G7_P3_M55_L001	CD8T
G8_P1_M55_L001	CD8T
G8_P2_M55_L001	CD8T
G8_P4_M55_L001	CD4_Glyco_lo
G9_P1_M55_L001	CD4_Glyco_hi
G9_P2_M55_L001	CD8T
G9_P3_M55_L001	CD8T
G9_P4_M55_L001	CD8T
H10_P1_M55_L001	Tprolif
H10_P2_M55_L001	CD8T
H10_P4_M55_L001	CD8T
H11_P2_M55_L001	B
H11_P3_M55_L001	CD8T
H12_P3_M55_L001	CD8T
H1_P1_M55_L001	CD8T
H1_P2_M55_L001	CD8T
H2_P1_M55_L001	CD4_Glyco_hi
H2_P2_M55_L001	CD8T
H2_P3_M55_L001	B
H3_P3_M55_L001	B
H3_P4_M55_L001	CD8T
H4_P2_M55_L001	B
H4_P4_M55_L001	MonoMacro
H5_P2_M55_L001	CD8T
H5_P3_M55_L001	CD8T
H6_P1_M55_L001	CD8T
H6_P2_M55_L001	CD8T
H6_P4_M55_L001	CD8T
H7_P1_M55_L001	CD8T
H7_P4_M55_L001	CD4_Glyco_lo
H8_P1_M55_L001	CD8T
H8_P3_M55_L001	CD8T
H8_P4_M55_L001	Tprolif
H9_P1_M55_L001	CD8T
H9_P3_M55_L001	CD4_Glyco_lo
A10_P1_M39	CD8T
A10_P2_M39	Tprolif
A11_P2_M39	Tprolif
A11_P3_M39	CD8T
A11_P4_M39	CD8T
A12_P1_M39	Tprolif
A12_P3_M39	CD8T
A12_P4_M39	CD8T
A2_P2_M39	CD8T
A3_P2_M39	CD4_Glyco_lo
A3_P3_M39	Plasma
A4_P2_M39	CD4_Glyco_hi
A4_P4_M39	CD8T
A5_P4_M39	CD8T
A6_P1_M39	Tprolif
A6_P4_M39	Plasma
A7_P2_M39	NK
A7_P3_M39	CD4_Glyco_hi
A8_P1_M39	Plasma
A8_P2_M39	CD8T
A8_P3_M39	CD8T
A8_P4_M39	CD4_Glyco_hi
A9_P2_M39	CD4_Glyco_hi
A9_P4_M39	CD8T
B12_P1_M39	CD4_Glyco_hi
B12_P2_M39	CD8T
B1_P1_M39	Tprolif
B1_P3_M39	CD8T
B1_P4_M39	CD4_Glyco_lo
B2_P3_M39	CD4_Glyco_hi
B2_P4_M39	CD8T
B3_P3_M39	Tprolif
B4_P1_M39	Tprolif
B4_P3_M39	B
B5_P1_M39	CD8T
B5_P3_M39	CD8T
B5_P4_M39	Tprolif
B6_P1_M39	CD8T
B6_P3_M39	Tprolif
B6_P4_M39	Tprolif
B7_P2_M39	CD8T
B7_P3_M39	CD8T
B8_P3_M39	CD8T
B9_P4_M39	CD8T
C11_P3_M39	CD8T
C12_P1_M39	MonoMacro
C12_P2_M39	CD8T
C12_P3_M39	Tprolif
C12_P4_M39	Tprolif
C1_P1_M39	CD4_Glyco_hi
C1_P2_M39	CD8T
C1_P3_M39	CD4_Glyco_lo
