cell	cell_group
H2_P2_M23	CD8T
H2_P3_M23	CD8T
H2_P4_M23	NK
H3_P2_M23	MonoMacro
H3_P4_M23	CD8T
H4_P1_M23	CD8T
H4_P4_M23	Tprolif
H5_P1_M23	MonoMacro
H5_P3_M23	CD8T
H6_P1_M23	Tprolif
H6_P2_M23	CD4_Glyco_lo
H6_P3_M23	MonoMacro
H7_P2_M23	Tprolif
H7_P3_M23	CD8T
H7_P4_M23	CD8T
H8_P2_M23	CD4_Glyco_hi
H8_P3_M23	CD8T
H9_P3_M23	CD4_Glyco_lo
H9_P4_M23	CD8T
A10_P6_M36_L001	Tprolif
A11_P6_M36_L001	CD4_Glyco_hi
A11_P7_M36_L001	CD8T
A12_P6_M36_L001	CD8T
A12_P7_M36_L001	NK
A12_P8_M36_L001	CD8T
A12_P9_M36_L001	CD8T
A2_P7_M36_L001	CD8T
A3_P6_M36_L001	CD4_Glyco_lo
A3_P7_M36_L001	CD4_Glyco_hi
A3_P8_M36_L001	CD8T
A3_P9_M36_L001	CD8T
A4_P6_M36_L001	CD8T
A4_P7_M36_L001	CD4_Glyco_hi
A4_P8_M36_L001	CD8T
A4_P9_M36_L001	CD8T
A5_P7_M36_L001	MonoMacro
A5_P8_M36_L001	CD8T
A5_P9_M36_L001	CD8T
A6_P6_M36_L001	CD4_Glyco_hi
A6_P7_M36_L001	MonoMacro
A7_P6_M36_L001	CD8T
A7_P7_M36_L001	Tprolif
A8_P7_M36_L001	CD8T
A8_P8_M36_L001	CD8T
A8_P9_M36_L001	CD8T
A9_P6_M36_L001	CD8T
A9_P7_M36_L001	CD8T
A9_P8_M36_L001	CD8T
A9_P9_M36_L001	CD8T
B10_P6_M36_L001	CD8T
B10_P7_M36_L001	NK
B10_P8_M36_L001	CD8T
B10_P9_M36_L001	MonoMacro
B11_P7_M36_L001	CD4_Glyco_lo
B11_P8_M36_L001	CD8T
B11_P9_M36_L001	CD8T
B12_P7_M36_L001	Tprolif
B12_P8_M36_L001	CD8T
B12_P9_M36_L001	CD8T
B1_P6_M36_L001	CD8T
B1_P7_M36_L001	CD8T
B1_P9_M36_L001	pDC
B2_P6_M36_L001	CD4_Glyco_hi
B2_P7_M36_L001	CD8T
B2_P9_M36_L001	CD4_Glyco_hi
B3_P6_M36_L001	CD8T
B3_P7_M36_L001	CD4_Glyco_hi
B3_P9_M36_L001	CD8T
B4_P6_M36_L001	MonoMacro
B4_P8_M36_L001	CD4_Glyco_lo
B4_P9_M36_L001	CD4_Glyco_lo
B6_P6_M36_L001	CD8T
B6_P7_M36_L001	CD8T
B6_P8_M36_L001	CD8T
B6_P9_M36_L001	CD8T
B7_P6_M36_L001	CD8T
B7_P7_M36_L001	CD4_Glyco_hi
B7_P8_M36_L001	NK
B7_P9_M36_L001	CD4_Glyco_lo
B8_P7_M36_L001	CD8T
B8_P9_M36_L001	CD8T
B9_P6_M36_L001	pDC
B9_P7_M36_L001	CD8T
B9_P8_M36_L001	CD8T
C10_P6_M36_L001	CD8T
C10_P7_M36_L001	MonoMacro
C10_P8_M36_L001	CD8T
C10_P9_M36_L001	Tprolif
C11_P8_M36_L001	CD8T
C11_P9_M36_L001	CD8T
C12_P6_M36_L001	CD8T
C12_P7_M36_L001	CD8T
C12_P8_M36_L001	CD4_Glyco_hi
C1_P6_M36_L001	CD8T
C1_P7_M36_L001	CD8T
C1_P8_M36_L001	CD8T
C1_P9_M36_L001	CD8T
C2_P6_M36_L001	NK
C2_P7_M36_L001	pDC
C3_P7_M36_L001	CD8T
C3_P8_M36_L001	CD4_Glyco_hi
C3_P9_M36_L001	CD8T
C4_P7_M36_L001	CD8T
C4_P9_M36_L001	CD8T
C5_P7_M36_L001	CD8T
C5_P9_M36_L001	CD8T
C6_P6_M36_L001	CD4_Glyco_hi
C6_P8_M36_L001	CD8T
C6_P9_M36_L001	CD8T
C7_P7_M36_L001	MonoMacro
C7_P9_M36_L001	CD8T
C8_P6_M36_L001	CD8T
C8_P7_M36_L001	CD8T
C8_P9_M36_L001	CD8T
C9_P6_M36_L001	CD4_Glyco_lo
C9_P7_M36_L001	CD4_Glyco_lo
C9_P9_M36_L001	CD8T
D10_P6_M36_L001	CD8T
D10_P7_M36_L001	CD8T
D10_P8_M36_L001	CD4_Glyco_lo
D11_P6_M36_L001	CD8T
D11_P7_M36_L001	Tprolif
D11_P8_M36_L001	Tprolif
D11_P9_M36_L001	CD8T
D12_P6_M36_L001	CD8T
D12_P7_M36_L001	B
D12_P8_M36_L001	B
D12_P9_M36_L001	CD8T
D1_P6_M36_L001	CD8T
D1_P7_M36_L001	CD4_Glyco_lo
D2_P6_M36_L001	MonoMacro
D2_P7_M36_L001	CD8T
D2_P8_M36_L001	CD8T
D2_P9_M36_L001	CD4_Glyco_lo
D3_P6_M36_L001	CD8T
D3_P7_M36_L001	CD8T
D3_P8_M36_L001	CD8T
D3_P9_M36_L001	CD8T
D4_P6_M36_L001	CD8T
D4_P7_M36_L001	MonoMacro
D4_P8_M36_L001	MonoMacro
D5_P6_M36_L001	CD8T
D5_P7_M36_L001	CD8T
D5_P8_M36_L001	CD8T
D5_P9_M36_L001	CD8T
D6_P7_M36_L001	CD8T
D6_P8_M36_L001	CD8T
D6_P9_M36_L001	CD8T
D7_P6_M36_L001	CD8T
D7_P9_M36_L001	CD8T
D8_P7_M36_L001	CD4_Glyco_hi
D8_P8_M36_L001	CD4_Glyco_hi
D8_P9_M36_L001	NK
D9_P9_M36_L001	CD8T
E10_P6_M36_L001	CD8T
E10_P7_M36_L001	CD8T
E10_P8_M36_L001	CD8T
E10_P9_M36_L001	CD8T
E11_P6_M36_L001	CD8T
E11_P9_M36_L001	CD8T
E12_P8_M36_L001	pDC
E12_P9_M36_L001	CD8T
E1_P8_M36_L001	CD8T
E2_P6_M36_L001	MonoMacro
E3_P7_M36_L001	CD8T
E3_P8_M36_L001	CD8T
E4_P6_M36_L001	CD8T
E4_P7_M36_L001	CD8T
E4_P8_M36_L001	CD8T
E4_P9_M36_L001	CD4_Glyco_lo
E5_P7_M36_L001	MonoMacro
E5_P8_M36_L001	CD8T
E6_P9_M36_L001	CD8T
E7_P8_M36_L001	NK
E7_P9_M36_L001	NK
E8_P6_M36_L001	CD4_Glyco_lo
E8_P7_M36_L001	CD4_Glyco_hi
E8_P8_M36_L001	NK
E9_P8_M36_L001	CD8T
E9_P9_M36_L001	CD8T
F10_P6_M36_L001	CD8T
F10_P8_M36_L001	Tprolif
F11_P6_M36_L001	CD8T
F11_P7_M36_L001	Tprolif
F11_P8_M36_L001	pDC
F12_P6_M36_L001	CD8T
F12_P7_M36_L001	CD8T
F12_P8_M36_L001	CD8T
F1_P6_M36_L001	CD8T
F1_P7_M36_L001	CD8T
F1_P8_M36_L001	CD8T
F1_P9_M36_L001	CD4_Glyco_hi
F2_P7_M36_L001	CD8T
F2_P8_M36_L001	NK
F2_P9_M36_L001	CD8T
F3_P6_M36_L001	CD4_Glyco_hi
F3_P7_M36_L001	CD8T
F3_P8_M36_L001	Tprolif
F3_P9_M36_L001	CD8T
F4_P6_M36_L001	CD4_Glyco_lo
F4_P7_M36_L001	CD8T
F5_P7_M36_L001	MonoMacro
F5_P8_M36_L001	CD8T
F6_P6_M36_L001	CD8T
F6_P7_M36_L001	CD4_Glyco_lo
F6_P8_M36_L001	CD8T
F6_P9_M36_L001	CD8T
F7_P7_M36_L001	CD4_Glyco_lo
F7_P8_M36_L001	CD8T
F7_P9_M36_L001	CD8T
F8_P7_M36_L001	CD8T
F8_P9_M36_L001	NK
F9_P7_M36_L001	CD8T
F9_P8_M36_L001	CD8T
F9_P9_M36_L001	Tprolif
G10_P6_M36_L001	CD4_Glyco_hi
G10_P7_M36_L001	CD8T
G10_P8_M36_L001	CD8T
G10_P9_M36_L001	CD8T
G11_P6_M36_L001	CD8T
G11_P7_M36_L001	Tprolif
G11_P8_M36_L001	Tprolif
G11_P9_M36_L001	CD4_Glyco_hi
G12_P7_M36_L001	pDC
G12_P8_M36_L001	CD8T
G12_P9_M36_L001	NK
G1_P6_M36_L001	CD8T
G1_P7_M36_L001	CD8T
G1_P8_M36_L001	CD8T
G1_P9_M36_L001	CD4_Glyco_lo
G2_P6_M36_L001	CD8T
G2_P8_M36_L001	NK
G2_P9_M36_L001	CD8T
G3_P6_M36_L001	CD4_Glyco_lo
G3_P7_M36_L001	CD8T
G3_P9_M36_L001	CD8T
G4_P7_M36_L001	CD8T
G5_P7_M36_L001	CD8T
G5_P9_M36_L001	CD8T
G6_P6_M36_L001	MonoMacro
G6_P9_M36_L001	CD8T
G7_P7_M36_L001	NK
G8_P7_M36_L001	NK
G8_P8_M36_L001	CD8T
G8_P9_M36_L001	CD8T
G9_P6_M36_L001	CD8T
G9_P7_M36_L001	CD8T
G9_P9_M36_L001	MonoMacro
H10_P6_M36_L001	Tprolif
H10_P7_M36_L001	CD8T
H10_P8_M36_L001	Tprolif
H10_P9_M36_L001	CD8T
H11_P6_M36_L001	pDC
H11_P7_M36_L001	CD8T
H11_P8_M36_L001	CD8T
H12_P7_M36_L001	CD8T
H1_P6_M36_L001	CD8T
H1_P7_M36_L001	CD8T
H1_P8_M36_L001	CD8T
H1_P9_M36_L001	NK
H2_P6_M36_L001	NK
H2_P9_M36_L001	CD8T
H3_P6_M36_L001	Tprolif
H3_P7_M36_L001	CD8T
H3_P8_M36_L001	CD8T
H4_P8_M36_L001	CD8T
H4_P9_M36_L001	CD8T
H5_P6_M36_L001	CD8T
H5_P7_M36_L001	NK
H5_P8_M36_L001	CD8T
H5_P9_M36_L001	CD4_Glyco_lo
H6_P6_M36_L001	CD8T
H7_P6_M36_L001	CD8T
H7_P8_M36_L001	CD8T
H8_P7_M36_L001	CD8T
H8_P8_M36_L001	CD8T
H8_P9_M36_L001	CD8T
H9_P6_M36_L001	CD8T
H9_P8_M36_L001	CD8T
A10_P1_M47	B
A10_P2_M47	B
A10_P3_M47	Tprolif
A11_P3_M47	CD4_Glyco_lo
A11_P4_M47	MonoMacro
A12_P1_M47	B
A12_P2_M47	Plasma
A12_P3_M47	B
A2_P2_M47	B
A2_P3_M47	B
A3_P1_M47	B
A3_P2_M47	B
A3_P3_M47	B
A4_P1_M47	CD4_Glyco_lo
A4_P3_M47	B
A4_P4_M47	B
A5_P1_M47	B
A5_P3_M47	B
A5_P4_M47	CD8T
A6_P1_M47	B
A6_P2_M47	B
A6_P3_M47	B
A6_P4_M47	B
A7_P1_M47	B
A7_P2_M47	B
A7_P4_M47	B
A8_P1_M47	B
A8_P2_M47	CD4_Glyco_hi
A8_P3_M47	Tprolif
A8_P4_M47	B
A9_P1_M47	MonoMacro
A9_P3_M47	B
A9_P4_M47	B
B10_P1_M47	B
B10_P2_M47	B
B10_P3_M47	MonoMacro
B10_P4_M47	B
B11_P3_M47	B
B11_P4_M47	MonoMacro
B12_P1_M47	B
B12_P2_M47	Plasma
B12_P4_M47	CD4_Glyco_lo
B1_P2_M47	B
B2_P2_M47	B
B2_P3_M47	B
B3_P2_M47	B
B3_P3_M47	B
B3_P4_M47	B
B4_P1_M47	B
B4_P2_M47	B
B4_P3_M47	MonoMacro
B4_P4_M47	B
B5_P1_M47	B
B5_P2_M47	B
B5_P3_M47	B
B5_P4_M47	B
B6_P2_M47	CD8T
B6_P3_M47	B
B6_P4_M47	B
B7_P1_M47	B
B7_P2_M47	B
B7_P3_M47	B
B7_P4_M47	MonoMacro
B8_P1_M47	pDC
B8_P3_M47	B
B8_P4_M47	B
B9_P1_M47	B
B9_P2_M47	B
B9_P3_M47	CD8T
B9_P4_M47	B
C10_P1_M47	CD8T
C10_P3_M47	B
C10_P4_M47	B
C11_P2_M47	CD4_Glyco_lo
C11_P3_M47	CD4_Glyco_lo
C11_P4_M47	B
C12_P1_M47	B
C12_P2_M47	B
C12_P3_M47	B
C12_P4_M47	CD4_Glyco_lo
C1_P2_M47	B
C1_P3_M47	B
C1_P4_M47	B
C2_P1_M47	B
C2_P2_M47	B
C2_P3_M47	B
C3_P1_M47	CD4_Glyco_hi
C3_P2_M47	CD8T
C3_P3_M47	B
C4_P1_M47	B
C4_P4_M47	B
C5_P1_M47	B
C5_P2_M47	CD4_Glyco_lo
C5_P3_M47	B
C5_P4_M47	B
C6_P2_M47	CD4_Glyco_hi
C6_P3_M47	B
C6_P4_M47	B
C7_P1_M47	B
C7_P2_M47	CD8T
C7_P4_M47	B
C8_P2_M47	B
C8_P3_M47	B
C8_P4_M47	B
C9_P1_M47	B
C9_P2_M47	B
C9_P3_M47	B
C9_P4_M47	B
D10_P1_M47	B
D10_P2_M47	Tprolif
D10_P3_M47	B
D11_P1_M47	CD4_Glyco_lo
D11_P3_M47	B
D11_P4_M47	B
D12_P1_M47	B
D12_P2_M47	B
D12_P3_M47	B
D12_P4_M47	B
D1_P1_M47	B
D1_P2_M47	CD4_Glyco_lo
D1_P4_M47	B
D2_P1_M47	B
D2_P2_M47	MonoMacro
D2_P3_M47	B
D2_P4_M47	B
D3_P2_M47	B
D3_P4_M47	B
D4_P1_M47	B
D4_P2_M47	CD8T
D4_P3_M47	B
D5_P1_M47	B
D5_P2_M47	B
D5_P3_M47	CD8T
D5_P4_M47	B
D6_P1_M47	CD8T
D6_P2_M47	B
D6_P3_M47	B
D6_P4_M47	B
D7_P1_M47	B
D7_P2_M47	B
D7_P3_M47	MonoMacro
D7_P4_M47	B
D8_P2_M47	CD4_Glyco_lo
D8_P4_M47	B
D9_P1_M47	CD4_Glyco_lo
D9_P2_M47	B
D9_P3_M47	CD4_Glyco_hi
D9_P4_M47	pDC
E10_P3_M47	B
E10_P4_M47	B
E11_P1_M47	CD4_Glyco_hi
E11_P2_M47	B
E11_P4_M47	B
E12_P1_M47	B
E12_P2_M47	B
E12_P3_M47	B
E1_P1_M47	B
E1_P2_M47	CD4_Glyco_lo
E1_P3_M47	CD8T
E1_P4_M47	B
E2_P1_M47	B
E2_P2_M47	CD4_Glyco_hi
E2_P3_M47	B
E3_P2_M47	B
E3_P3_M47	B
E3_P4_M47	Plasma
E4_P2_M47	B
E4_P3_M47	CD4_Glyco_hi
E4_P4_M47	B
E5_P1_M47	B
E5_P2_M47	CD8T
E5_P3_M47	B
E5_P4_M47	B
E6_P1_M47	pDC
E6_P2_M47	B
E6_P3_M47	B
E6_P4_M47	B
E7_P1_M47	NK
E7_P2_M47	CD4_Glyco_lo
E7_P4_M47	B
E8_P1_M47	B
E8_P2_M47	B
E8_P3_M47	B
E8_P4_M47	B
E9_P1_M47	B
E9_P2_M47	B
E9_P4_M47	pDC
F10_P1_M47	NK
F10_P2_M47	B
F10_P3_M47	CD8T
F11_P1_M47	B
F11_P2_M47	B
F11_P3_M47	B
F11_P4_M47	B
F12_P1_M47	B
F12_P2_M47	B
F12_P3_M47	CD8T
F12_P4_M47	B
F1_P1_M47	B
F1_P4_M47	B
F2_P1_M47	B
F2_P2_M47	B
F2_P4_M47	NK
F3_P1_M47	B
F3_P2_M47	B
F3_P3_M47	B
F3_P4_M47	B
F4_P1_M47	B
F4_P2_M47	B
F4_P4_M47	B
F5_P2_M47	CD4_Glyco_lo
F5_P3_M47	B
F5_P4_M47	CD8T
F6_P1_M47	B
F6_P2_M47	B
F6_P3_M47	CD4_Glyco_hi
F6_P4_M47	CD4_Glyco_hi
F7_P1_M47	CD8T
F7_P2_M47	B
F7_P3_M47	B
F8_P3_M47	pDC
F8_P4_M47	B
F9_P1_M47	CD8T
F9_P2_M47	CD4_Glyco_hi
G10_P1_M47	CD4_Glyco_lo
G10_P2_M47	B
G11_P1_M47	B
G11_P2_M47	B
G12_P1_M47	B
G1_P1_M47	B
G1_P2_M47	B
G2_P1_M47	CD4_Glyco_hi
G2_P2_M47	B
G3_P1_M47	CD4_Glyco_hi
G3_P2_M47	B
G5_P1_M47	B
G5_P2_M47	B
G6_P1_M47	CD4_Glyco_lo
G7_P1_M47	CD4_Glyco_lo
G8_P1_M47	B
G9_P2_M47	B
G9_P3_M47	B
H10_P1_M47	CD8T
H10_P2_M47	B
H10_P3_M47	B
H11_P3_M47	CD4_Glyco_lo
H12_P1_M47	B
H12_P3_M47	B
H12_P4_M47	B
H1_P3_M47	CD4_Glyco_hi
H1_P4_M47	CD4_Glyco_lo
H2_P1_M47	CD8T
H2_P2_M47	B
H2_P3_M47	B
H2_P4_M47	B
H3_P2_M47	CD4_Glyco_hi
H3_P3_M47	CD8T
H3_P4_M47	B
H4_P2_M47	B
H4_P3_M47	CD4_Glyco_hi
H4_P4_M47	B
H5_P1_M47	pDC
H5_P2_M47	B
H6_P1_M47	B
H6_P2_M47	B
H6_P3_M47	B
H6_P4_M47	pDC
H7_P1_M47	B
H7_P2_M47	CD8T
H7_P3_M47	CD8T
H8_P1_M47	B
H8_P2_M47	B
H8_P4_M47	B
H9_P1_M47	Plasma
H9_P2_M47	pDC
H9_P3_M47	B
H9_P4_M47	B
A10_P5_M47_L001	B
A11_P5_M47_L001	B
A12_P5_M47_L001	Plasma
A4_P5_M47_L001	B
A5_P5_M47_L001	B
A6_P5_M47_L001	B
A7_P5_M47_L001	B
A8_P5_M47_L001	CD4_Glyco_hi
A9_P5_M47_L001	B
B10_P5_M47_L001	B
B11_P5_M47_L001	B
B12_P5_M47_L001	B
B4_P5_M47_L001	CD4_Glyco_hi
B5_P5_M47_L001	B
B7_P5_M47_L001	B
B8_P5_M47_L001	B
C10_P5_M47_L001	B
C11_P5_M47_L001	B
C2_P5_M47_L001	B
C4_P5_M47_L001	B
C6_P5_M47_L001	B
C7_P5_M47_L001	B
C9_P5_M47_L001	B
D10_P5_M47_L001	CD4_Glyco_hi
D11_P5_M47_L001	CD4_Glyco_hi
D1_P5_M47_L001	B
D2_P5_M47_L001	B
D3_P5_M47_L001	B
D4_P5_M47_L001	B
D6_P5_M47_L001	B
D8_P5_M47_L001	B
D9_P5_M47_L001	Plasma
E11_P5_M47_L001	B
E1_P5_M47_L001	B
E3_P5_M47_L001	CD4_Glyco_hi
E4_P5_M47_L001	CD4_Glyco_hi
E5_P5_M47_L001	B
E6_P5_M47_L001	B
E8_P5_M47_L001	B
F11_P5_M47_L001	B
F4_P5_M47_L001	NK
F6_P5_M47_L001	Tprolif
F8_P5_M47_L001	CD4_Glyco_hi
F9_P5_M47_L001	CD4_Glyco_hi
G12_P5_M47_L001	B
G4_P5_M47_L001	B
G7_P5_M47_L001	B
H10_P5_M47_L001	B
H12_P5_M47_L001	CD4_Glyco_lo
H1_P5_M47_L001	B
H2_P5_M47_L001	CD8T
H3_P5_M47_L001	CD8T
H4_P5_M47_L001	B
H5_P5_M47_L001	CD4_Glyco_lo
H7_P5_M47_L001	B
H8_P5_M47_L001	B
H9_P5_M47_L001	CD4_Glyco_hi
A11_P1_MMD1-84A_L001	MonoMacro
A11_P2_MMD1-84A_L001	CD8T
A12_P1_MMD1-84A_L001	MonoMacro
A12_P2_MMD1-84A_L001	MonoMacro
A12_P3_MMD1-84A_L001	CD8T
A1_P2_MMD1-84A_L001	MonoMacro
A1_P3_MMD1-84A_L001	CD8T
A2_P1_MMD1-84A_L001	Tprolif
A2_P2_MMD1-84A_L001	CD4_Glyco_lo
A2_P3_MMD1-84A_L001	CD8T
A2_P4_MMD1-84A_L001	CD8T
A3_P1_MMD1-84A_L001	CD8T
A3_P3_MMD1-84A_L001	Tprolif
A4_P2_MMD1-84A_L001	CD8T
A4_P4_MMD1-84A_L001	CD8T
A5_P1_MMD1-84A_L001	CD4_Glyco_hi
A5_P2_MMD1-84A_L001	NK
A5_P3_MMD1-84A_L001	CD8T
A6_P1_MMD1-84A_L001	MonoMacro
A6_P2_MMD1-84A_L001	CD4_Glyco_lo
A6_P3_MMD1-84A_L001	MonoMacro
A6_P4_MMD1-84A_L001	CD4_Glyco_hi
A8_P1_MMD1-84A_L001	CD4_Glyco_lo
A9_P1_MMD1-84A_L001	CD8T
B10_P2_MMD1-84A_L001	CD8T
B10_P4_MMD1-84A_L001	CD4_Glyco_hi
B11_P1_MMD1-84A_L001	MonoMacro
B11_P3_MMD1-84A_L001	CD8T
B11_P4_MMD1-84A_L001	B
B12_P4_MMD1-84A_L001	NK
B1_P2_MMD1-84A_L001	CD8T
B2_P1_MMD1-84A_L001	NK
B2_P2_MMD1-84A_L001	CD8T
B2_P3_MMD1-84A_L001	CD4_Glyco_hi
B2_P4_MMD1-84A_L001	NK
B4_P1_MMD1-84A_L001	Tprolif
B4_P3_MMD1-84A_L001	CD8T
B5_P2_MMD1-84A_L001	CD8T
B5_P3_MMD1-84A_L001	CD8T
B5_P4_MMD1-84A_L001	Tprolif
B6_P1_MMD1-84A_L001	MonoMacro
B6_P4_MMD1-84A_L001	CD8T
B7_P1_MMD1-84A_L001	MonoMacro
B7_P2_MMD1-84A_L001	CD8T
B7_P3_MMD1-84A_L001	CD8T
B7_P4_MMD1-84A_L001	CD8T
B8_P1_MMD1-84A_L001	MonoMacro
B8_P3_MMD1-84A_L001	CD4_Glyco_hi
B8_P4_MMD1-84A_L001	NK
B9_P4_MMD1-84A_L001	CD8T
C10_P1_MMD1-84A_L001	CD4_Glyco_hi
C10_P3_MMD1-84A_L001	MonoMacro
C10_P4_MMD1-84A_L001	CD8T
C11_P1_MMD1-84A_L001	B
C11_P4_MMD1-84A_L001	CD4_Glyco_hi
C12_P1_MMD1-84A_L001	MonoMacro
C12_P2_MMD1-84A_L001	MonoMacro
C12_P4_MMD1-84A_L001	CD8T
C1_P1_MMD1-84A_L001	Plasma
C1_P2_MMD1-84A_L001	MonoMacro
C2_P1_MMD1-84A_L001	Tprolif
C2_P3_MMD1-84A_L001	NK
C2_P4_MMD1-84A_L001	CD8T
C3_P1_MMD1-84A_L001	CD8T
C3_P2_MMD1-84A_L001	CD8T
C3_P4_MMD1-84A_L001	CD4_Glyco_hi
C4_P1_MMD1-84A_L001	Tprolif
C5_P4_MMD1-84A_L001	CD4_Glyco_lo
C7_P3_MMD1-84A_L001	CD8T
C8_P1_MMD1-84A_L001	CD8T
C8_P2_MMD1-84A_L001	CD8T
C8_P3_MMD1-84A_L001	CD8T
C9_P1_MMD1-84A_L001	MonoMacro
C9_P4_MMD1-84A_L001	CD8T
D10_P1_MMD1-84A_L001	pDC
D10_P3_MMD1-84A_L001	Tprolif
D10_P4_MMD1-84A_L001	MonoMacro
D11_P1_MMD1-84A_L001	CD8T
D11_P2_MMD1-84A_L001	CD4_Glyco_hi
D11_P3_MMD1-84A_L001	MonoMacro
D11_P4_MMD1-84A_L001	CD4_Glyco_lo
D12_P1_MMD1-84A_L001	MonoMacro
D12_P3_MMD1-84A_L001	CD8T
D12_P4_MMD1-84A_L001	CD8T
D1_P3_MMD1-84A_L001	CD8T
D1_P4_MMD1-84A_L001	CD4_Glyco_lo
D2_P1_MMD1-84A_L001	Tprolif
D2_P4_MMD1-84A_L001	MonoMacro
D4_P2_MMD1-84A_L001	MonoMacro
D4_P4_MMD1-84A_L001	CD8T
D5_P2_MMD1-84A_L001	CD4_Glyco_hi
D5_P3_MMD1-84A_L001	CD8T
D6_P1_MMD1-84A_L001	MonoMacro
D6_P4_MMD1-84A_L001	MonoMacro
D7_P1_MMD1-84A_L001	CD8T
D7_P2_MMD1-84A_L001	CD8T
D7_P3_MMD1-84A_L001	MonoMacro
D7_P4_MMD1-84A_L001	CD8T
D8_P1_MMD1-84A_L001	CD8T
D8_P2_MMD1-84A_L001	MonoMacro
D8_P3_MMD1-84A_L001	MonoMacro
D8_P4_MMD1-84A_L001	MonoMacro
D9_P1_MMD1-84A_L001	CD8T
D9_P2_MMD1-84A_L001	CD4_Glyco_lo
E10_P1_MMD1-84A_L001	Tprolif
E10_P4_MMD1-84A_L001	CD4_Glyco_lo
E11_P1_MMD1-84A_L001	MonoMacro
E11_P2_MMD1-84A_L001	MonoMacro
E11_P3_MMD1-84A_L001	NK
E12_P1_MMD1-84A_L001	CD8T
E12_P2_MMD1-84A_L001	CD8T
E12_P4_MMD1-84A_L001	CD4_Glyco_hi
E1_P1_MMD1-84A_L001	Plasma
E2_P1_MMD1-84A_L001	CD4_Glyco_hi
E2_P2_MMD1-84A_L001	MonoMacro
E3_P4_MMD1-84A_L001	CD4_Glyco_lo
E7_P2_MMD1-84A_L001	CD8T
E7_P4_MMD1-84A_L001	MonoMacro
E8_P1_MMD1-84A_L001	CD8T
E9_P2_MMD1-84A_L001	Tprolif
F10_P1_MMD1-84A_L001	CD4_Glyco_hi
F10_P2_MMD1-84A_L001	CD8T
F10_P3_MMD1-84A_L001	CD8T
F11_P4_MMD1-84A_L001	CD8T
F12_P1_MMD1-84A_L001	CD8T
F12_P4_MMD1-84A_L001	CD8T
F1_P2_MMD1-84A_L001	CD8T
F2_P3_MMD1-84A_L001	CD8T
F3_P1_MMD1-84A_L001	CD8T
F3_P2_MMD1-84A_L001	CD8T
F4_P3_MMD1-84A_L001	CD8T
F4_P4_MMD1-84A_L001	MonoMacro
F5_P1_MMD1-84A_L001	Tprolif
F6_P1_MMD1-84A_L001	CD8T
F7_P1_MMD1-84A_L001	MonoMacro
F7_P2_MMD1-84A_L001	NK
F7_P3_MMD1-84A_L001	pDC
F7_P4_MMD1-84A_L001	CD8T
F8_P1_MMD1-84A_L001	CD8T
F8_P2_MMD1-84A_L001	MonoMacro
F9_P1_MMD1-84A_L001	MonoMacro
F9_P2_MMD1-84A_L001	NK
F9_P3_MMD1-84A_L001	NK
F9_P4_MMD1-84A_L001	CD8T
G10_P3_MMD1-84A_L001	MonoMacro
G10_P4_MMD1-84A_L001	MonoMacro
G11_P1_MMD1-84A_L001	CD8T
G11_P3_MMD1-84A_L001	CD4_Glyco_lo
G11_P4_MMD1-84A_L001	CD8T
G12_P2_MMD1-84A_L001	CD8T
G12_P3_MMD1-84A_L001	Tprolif
G1_P2_MMD1-84A_L001	CD8T
G1_P3_MMD1-84A_L001	CD8T
G1_P4_MMD1-84A_L001	CD8T
G2_P2_MMD1-84A_L001	CD4_Glyco_lo
G2_P3_MMD1-84A_L001	Tprolif
G3_P3_MMD1-84A_L001	CD8T
G4_P4_MMD1-84A_L001	NK
G5_P2_MMD1-84A_L001	CD8T
G6_P1_MMD1-84A_L001	CD8T
G6_P4_MMD1-84A_L001	CD8T
G7_P2_MMD1-84A_L001	CD8T
G7_P4_MMD1-84A_L001	CD8T
G8_P2_MMD1-84A_L001	MonoMacro
G8_P3_MMD1-84A_L001	Tprolif
G9_P1_MMD1-84A_L001	CD8T
G9_P3_MMD1-84A_L001	CD8T
G9_P4_MMD1-84A_L001	CD8T
H10_P1_MMD1-84A_L001	MonoMacro
H10_P3_MMD1-84A_L001	Tprolif
H11_P3_MMD1-84A_L001	CD8T
H12_P1_MMD1-84A_L001	CD8T
H12_P2_MMD1-84A_L001	CD4_Glyco_lo
H12_P4_MMD1-84A_L001	CD8T
H1_P1_MMD1-84A_L001	Plasma
H1_P3_MMD1-84A_L001	CD8T
H2_P1_MMD1-84A_L001	CD8T
H2_P3_MMD1-84A_L001	CD4_Glyco_hi
H3_P1_MMD1-84A_L001	Tprolif
H3_P2_MMD1-84A_L001	MonoMacro
H3_P3_MMD1-84A_L001	CD8T
H3_P4_MMD1-84A_L001	CD8T
H4_P1_MMD1-84A_L001	CD8T
H4_P2_MMD1-84A_L001	CD8T
H4_P4_MMD1-84A_L001	CD8T
H5_P2_MMD1-84A_L001	Tprolif
H5_P3_MMD1-84A_L001	CD4_Glyco_lo
H6_P1_MMD1-84A_L001	CD8T
H6_P4_MMD1-84A_L001	CD8T
H7_P2_MMD1-84A_L001	CD4_Glyco_lo
H7_P4_MMD1-84A_L001	CD8T
H8_P2_MMD1-84A_L001	MonoMacro
H9_P1_MMD1-84A_L001	CD8T
H9_P2_MMD1-84A_L001	CD8T
A10_P1_MMD1-84B_L001	CD8T
