module	n_samples	mean_delta	n_hi_higher	n_hi_lower	p	FDR
CytotoxicScore	28	-0.053887761723904	13	15	0.206296795500092	0.312461654877338
HelperRegScore	28	0.0895109172756518	15	13	0.103491647958341	0.312461654877338
EffectorClean	28	0.0128845641977516	14	14	0.882331520589854	0.882331520589854
HelperClean	28	0.0609748329829324	15	12	0.234346241158004	0.312461654877338
