definition	n	CD4	CD8A	CD8B	CD8_dneg	CD3E
Step77 原定义 (sT>0 & s4>s8)	7427	0.312777702975629	0.0666487141510704	0.0615322472061398	0.910327184596742	0.862663255688703
收紧 A: sT>0.5 & s4>s8	6629	0.329159752602202	0.0660733142253734	0.0635088248604616	0.910544576859255	0.911751395383919
收紧 B: 上 + CD8A/CD8B 未检出	6036	0.351225977468522	0	0	1	0.910205434062293
收紧 C: 上 + CD4 或 CD40LG 检出	3370	0.629080118694362	0	0	1	0.92433234421365
