sample	patient	timepoint	n_CD4	ZFYVE19	SMC2	SPSB2	TPI1	HLA-C	KIAA0040	ProlifScore	ExhaustScore
Post_P1	P1	Post	75	0.546002285833147	1.3842334245404	0.77186249383398	5.07267102125499	6.24623604361735	0.586078682000406	1.11418688143971	2.52158883313416
Post_P10	P10	Post	109	0.575477529262718	0.575120613917765	0.210364136997613	4.59092864005559	6.61532613410333	0.984060701914886	0.56092683264573	2.12797758096371
Post_P10_T_enriched	P10_T_enriched	Post	6	0	1.7017652603189	0.90564489470315	4.22639457222548	6.45585690138233	0	1.48863571444255	1.97477324327614
Post_P11	P11	Post	57	0.202694381666498	0.698314882264374	0.234632484598126	3.78684951320828	6.887513413502	0.605258264868914	0.391350285329617	1.98735552104423
Post_P12	P12	Post	102	0.47603854515983	0.469191835767851	0.489327199642626	4.22619319299562	6.6639301358447	1.13469337302108	0.302788489769355	3.30691992943269
Post_P13	P13	Post	54	0.23650946200164	0.56947847951094	0.542899110943127	4.46260612715916	6.77410664298523	0.691290077448443	0.41697544127642	2.50912531150688
Post_P13_T_enriched	P13_T_enriched	Post	14	0.40190588163886	0	0.87502818664616	3.61160110363563	6.58031269712571	0	0.439959436254176	2.03618932620071
Post_P14	P14	Post	75	0.193980217124951	0.565720420317	0.662321599961516	4.70629051706603	6.65698339129033	0.778643843904316	0.545261769370119	0.939355378142719
Post_P15	P15	Post	70	0.466154997733106	0.673583668127086	0.183077783084648	5.00844710366119	6.62262966416523	0.62369980145816	0.890882349662331	2.11203540309048
Post_P16	P16	Post	95	0.528257025076177	0.748436618493827	0.373742762848318	4.16678300130647	6.55801333412529	1.02456705105806	0.65664565309372	2.0121315706092
Post_P16_T_enriched	P16_T_enriched	Post	19	1.80285805345326	1.1049576272893	0.854559774005518	4.78149180457942	6.26315207216542	0.899831924263487	1.89417849384507	2.60018583885612
Post_P17	P17	Post	101	0.353135666077828	0.103766300933281	0.309510719056639	3.29253298078759	6.9110946888022	0.238859813918823	0.201266590089092	1.88267637608381
Post_P17_myeloid_enriched	P17_myeloid_enriched	Post	3	0	0	1.91309703486742	1.93757080369835	6.77935474226053	1.89131464386025	0	0.323578745970785
Post_P18	P18	Post	70	0.344242552098377	0.25527739647077	0.40652475589918	3.48983561599282	6.66270801385891	0.872674505930298	0.258519473448961	1.64108569508422
Post_P19	P19	Post	67	0.335450285794983	0.15415853104991	0.184265419888109	3.45639473136398	6.77251191060913	0.72630515601961	0.258363782488708	0.943838087944212
