cell	release	genes_FDR05	novel_genes_FDR05
C1_Soskic_melanoma	R12	CDK10,CHMP1A,CTU2,PARP1,SPATA33,VPS9D1-AS1	-
C1_Soskic_melanoma	R13	CDK10,CHMP1A,CTU2,PARP1,SPATA33,VPS9D1-AS1	-
