section	n	rho_resid_lymphoid	p_lymphoid	rho_resid_tumor	p_tumor
mel1_rep1	271	-0.11883064035118583	0.050691047288735545	0.0913344749477457	0.13368136292325145
mel1_rep2	292	0.034125392782558585	0.5613732760805518	0.08454677428466126	0.14955064164247164
mel2_rep1	382	-0.10763112313077616	0.03547896247605686	0.05192573147970733	0.31142515838416585
mel2_rep2	375	-0.163117980885555	0.0015271492528121657	0.1212977978980784	0.018785397633929
mel3_rep1	255	0.015369473489681066	0.8070453961798745	-0.03241448038334596	0.6064062297038046
mel3_rep2	282	-0.05592942920725524	0.34938862819106337	-0.07546863385945617	0.20640689696760248
mel4_rep1	212	-0.020748303136992323	0.763913179728761	-0.0448870456036766	0.5156735361859865
mel4_rep2	248	0.057421463896461925	0.36788141534457863	-0.06270504507254562	0.3253813917283848
