frac	cases	known_recovery	known_lo	known_hi	novel_recovery	novel_lo	novel_hi
0.1	1253	0.4595833333333333	0.16666666666666666	0.6666666666666666	0.00375	0.0	0.0
0.2	2506	0.6629166666666667	0.5	0.8333333333333334	0.029375	0.0	0.25
0.3	3759	0.7433333333333333	0.6666666666666666	1.0	0.06625	0.0	0.5
0.4	5012	0.79875	0.6666666666666666	1.0	0.13375	0.0	0.5
0.5	6265	0.8583333333333334	0.6666666666666666	1.0	0.228125	0.0	0.75
0.6	7518	0.8933333333333334	0.8333333333333334	1.0	0.37375	0.0	1.0
0.7	8771	0.9195833333333334	0.8333333333333334	1.0	0.510625	0.0	1.0
0.8	10024	0.9470833333333334	0.8333333333333334	1.0	0.750625	0.25	1.0
0.9	11277	0.9741666666666666	0.8333333333333334	1.0	0.9025	0.5	1.0
