module	n_samples	mean_delta	n_hi_higher	n_hi_lower	p	FDR
CytotoxicScore	28	-0.318083101868265	4	24	0.000113500174714927	0.00034050052414478
HelperRegScore	28	0.234653382131762	24	4	0.0001033762403852	0.00034050052414478
EffectorClean	28	-0.167456910911282	6	22	0.0023658991287412	0.0035488486931118
HelperClean	28	0.168899853628863	21	7	0.00219308472898891	0.0035488486931118
EffectorClean_resid	28	-0.0463049263972477	11	17	0.231891842274368	0.231891842274368
HelperClean_resid	28	0.0937015121472471	19	9	0.043876264829302	0.0526515177951624
