spot	x	y	total_counts	n_genes	log_total	tumor	lymphoid	bcell	myeloid	stroma	glycolysis	prolif	TPI1	SMC2	ZFYVE19	SPSB2	HLA-C	KIAA0040	section	patient
2x9	2.0	9.0	7705	3271	3.8867726430544383	-0.5690618927657974	0.22610067295053574	1.596557212011355	-0.1262993668895866	-0.08976620455298867	-0.43352362023317964	-0.4684915545057601	1.5879232428825314	0.0	0.0	0.0	3.2449065519293985	0.8319776167917879	mel1_rep1	mel1
2x10	2.0	10.0	4972	2373	3.6965311199696074	-0.7136600998911145	1.2057143422263819	1.4756564100813052	0.28786358029579395	-0.7473751711772882	-0.166534429134902	0.4654411327935599	1.613933023551033	0.0	0.0	0.0	2.570134234208685	1.102359616393718	mel1_rep1	mel1
2x11	2.0	11.0	8047	3104	3.9056340013269546	-0.5636590537054861	1.3915422900615264	1.198013256495639	0.039231013512352995	-0.8204623632917102	-0.13819612177286983	-0.15285161187674295	1.2485823232132927	0.0	0.8076801148151653	0.0	2.9122304397537797	1.2485823232132927	mel1_rep1	mel1
2x12	2.0	12.0	9472	3666	3.9764416893788446	-0.49234590043019555	0.12967993850079765	2.175263467378186	-0.43250435243812485	-0.4599989052455384	-0.10282355918751995	-0.20899313786686896	0.7206374581035214	0.0	0.7206374581035214	0.0	2.6151245634036306	0.7206374581035214	mel1_rep1	mel1
2x13	2.0	13.0	1788	1088	3.2523675144598987	-0.6895338412334133	0.33399853899504073	-0.241216544827346	-0.15510884006122608	1.0699430184331264	-0.2708196106569863	-0.4684915545057601	2.500261682770106	0.0	1.8859843881241258	0.0	0.0	0.0	mel1_rep1	mel1
2x14	2.0	14.0	1508	894	3.178401341533755	-0.35686704169072797	-0.46632335977100153	-0.2481055244827949	-0.8058224167717963	0.8327550021350246	-0.01116239512261976	-0.4684915545057601	2.657640689361667	0.0	0.0	0.0	3.0394572122553134	0.0	mel1_rep1	mel1
2x15	2.0	15.0	2982	1646	3.474507639116976	-0.31496682911027746	-0.3715595997694902	-0.339227099748331	-0.22387805170079772	1.3170445268387174	-0.1292554311237196	-0.4684915545057601	2.6681872070604675	0.0	0.0	0.0	2.8773580168832353	0.0	mel1_rep1	mel1
2x16	2.0	16.0	1191	780	3.0759117614827773	-0.6033213299027066	0.057969635614339515	-0.13830726437047913	-0.8058224167717963	-0.8046022436534304	0.18793963814428213	-0.4684915545057601	2.240316593462727	0.0	0.0	0.0	2.240316593462727	0.0	mel1_rep1	mel1
2x17	2.0	17.0	2878	1581	3.4590907896005865	-0.13764259367310808	0.20881650882295677	0.03398878832361274	-0.8058224167717963	0.45623067805679396	-0.05106056021674498	0.23487796506570877	1.4984248206508157	0.0	0.0	1.4984248206508157	2.0730801416383056	0.0	mel1_rep1	mel1
2x18	2.0	18.0	1104	750	3.0429690733931802	0.028303317264080738	-0.2555968179107238	-0.6866135926387278	-0.13097119177768743	-0.262921970671307	0.26234917087043647	-0.4684915545057601	0.0	0.0	0.0	0.0	0.0	0.0	mel1_rep1	mel1
