sample	n_Mal	n_T.CD4	TPI1_Mal	TPI1_T.CD4	Glyco_Mal	Glyco_T.CD4	GlycoNoTPI1_Mal	GlycoNoTPI1_T.CD4	MLANA_Mal	MLANA_T.CD4	PTPRC_Mal	PTPRC_T.CD4	depth_Mal	depth_T.CD4
Mel102	169	47	6.36213898240478	5.59686397214414	4.03919774578821	4.13631443960912	3.88433499668044	4.03894447077345	5.42560128349162	0.904493865382869	0.145762680030933	6.07278933581374	5.92673547432934	5.68637001290971
Mel103	137	15	5.32466370121185	4.91287796097414	4.30045794986826	4.07248405235301	4.23217756644536	4.01645779177826	5.7928377471868	1.00495385948032	0.893279113408251	6.2435360564556	5.77887127493306	5.60512233188346
Mel105	14	38	6.54707501145143	3.34099982959536	3.92475037984373	3.20987938177001	3.74992873773655	3.20113801858165	2.39786338462943	0.956772192028981	0.952813286179727	6.43907777806213	5.65558889345447	5.5156724152551
Mel106	94	16	7.50366083595184	2.90335533970468	4.45507208861447	3.0438062712873	4.25183283879198	3.05316966672614	0.0862714555121493	0.867221685426518	0.018735958114746	6.59332833811931	6.20945009399545	5.93517838610373
Mel110	123	11	7.32093232127693	5.35959534282076	4.40080408900597	4.24910810487316	4.20612887352123	4.17507562234332	0.498767172550924	0.689893657243449	0.161243205447217	6.24624275422304	5.9114976836326	5.80065521195126
Mel112	28	12	5.66683184533598	2.30354353585344	3.28452882898841	2.43296486132382	3.12570862789857	2.44159294968852	2.16171636198569	1.0879896973097	0.00546886194293064	4.30969078815092	6.30966680401142	6.09595830970302
Mel128	26	14	7.51830397138569	1.8746983728339	4.66072625019095	2.21516721343938	4.47022106877796	2.23786513614641	7.84102060161026	1.49151927416601	0.010555541865509	5.90721165485219	6.18361242378005	5.8594376015825
Mel194	96	23	5.88899245103598	3.72899843406818	4.2187360370474	3.44270777982717	4.10738560944816	3.4236217362111	3.4773799732245	1.14319353383483	0.0835196569098443	7.13166422185918	5.95951551940876	5.86810087862871
Mel53	14	41	6.29504917177179	4.05679894851208	4.32987523560264	3.65966684293327	4.19886363985804	3.63319136922801	0.283843332173846	1.23463596211299	0.170963082000477	6.23243987584973	5.12402258792784	5.11512190622713
Mel60	12	34	6.21864991182911	2.8455947444027	5.12261192377729	3.34898415181641	5.04954272457384	3.38254344564399	4.20997746904044	0.945428595005287	0.140261789854335	6.88122535764884	5.23662090567549	4.85937102129395
Mel79	486	48	4.73037505208308	2.90271069985592	3.97773833192281	3.06010414046872	3.9275625505788	3.07059703650958	5.49212565528738	0.786741718793077	0.209413958180246	7.05101425269394	4.96399469672657	4.73604136955225
Mel80	92	94	6.28955105816797	3.52697286111033	5.46159219476952	3.40336940933416	5.40639493720962	3.39512917921575	5.24257752989032	1.01898288750694	0.0840398796720142	7.71626556769932	5.06304915330275	5.0365287878918
Mel84	16	25	5.99047188764946	2.40961432371517	4.77585346149873	3.07176098893683	4.69487889975535	3.11590409995161	5.62876544555995	0.868262121555499	1.47739277059903	7.23562937972111	5.17932482708559	5.05689210132901
Mel88	124	44	5.3429245840083	3.26217517855139	4.02039102062112	3.04969475040772	3.93222211639531	3.03552938853147	5.8147351263933	1.9626592050319	0.179944474002652	6.45682340032896	5.40093637240765	5.31952839922573
Mel89	100	30	5.79645264202261	3.11490717853623	4.22610201453332	3.07985247615382	4.1214119727007	3.07751549599499	6.41907630447323	0.899682052033788	0.282968952670286	7.02845087413406	5.45077544761688	4.98588666522632
Mel98	76	13	7.87319619770367	4.48160586057535	5.34321283772939	4.02319877529502	5.17454728039778	3.992638302943	6.05856581793521	1.0018020541875	0.319886390449993	6.34442992050185	5.86981839160383	5.83948518885781
