sample	n_Mal	n_T.CD4	TPI1_Mal	TPI1_T.CD4	MLANA_Mal	MLANA_T.CD4	PTPRC_Mal	PTPRC_T.CD4	Glyco_Mal	Glyco_T.CD4	GlycoNo_Mal	GlycoNo_T.CD4
Patient53	15	45	2.6536379079024	1.62183527814017	0.0560462638735771	0.226353550340152	0.0143186826258898	1.51136868471901	1.35608563486021	1.10731343146051	1.26958214999073	1.0730119750152
Patient60	14	56	2.61370476654598	1.04910314508847	1.29589453791933	0.197714831280921	0.993067187523203	2.03437773311245	1.67300364098628	1.010633583771	1.61029023261563	1.00806894634983
Patient71	61	11	2.33690550483641	0.851832376285033	2.03475889038356	0.607532501220703	0.0278907780092759	1.43662255020304	1.36521014732406	0.671232605564662	1.30043045682324	0.659192620849971
Patient79	505	86	1.62910892346708	0.786451095411944	1.91969486064102	0.187513641060092	0.0541210559261317	1.83675677528562	1.21916931086194	0.778781700599127	1.19184000335493	0.778270407611606
Patient80	129	129	2.46455197417459	1.11033138034995	1.7924054307762	0.20599686052548	0.0645652120109908	2.37849732332451	1.76389915184362	0.929832286541639	1.71718896368822	0.917799013621085
Patient81	154	32	2.80134992930409	0.777818062342703	0.0690892932319699	0.153293342737015	0.0408150055113116	2.1574562380556	1.61326050981672	0.638679695317478	1.53405454851756	0.629403804182463
Patient82	36	23	2.24242853124936	1.13354609517948	0.0308724121811489	0.148686727184964	0.0767980902455747	1.51759184443432	1.24074793041604	0.92711617868095	1.17396922369382	0.913354184247715
Patient84	13	45	2.42498062207149	0.83868633641137	2.19096540716978	0.141957342086567	0.0293236154203232	2.24289778735903	1.5164134001825	0.89551338882884	1.45584225205657	0.899301858990005
Patient88	130	103	1.85734868084009	1.06484863135819	2.05822676615073	0.437283408312688	0.0802167682406994	1.61831733075341	1.22105091813506	0.858411599923907	1.17863106728806	0.844649131161622
Patient89	97	105	2.16434206667635	0.91298948065156	2.39681200206894	0.442852761702878	0.0166539106249195	1.815149904007	1.30473902980562	0.771501609518964	1.2474321606809	0.762069084776791
Patient94	10	129	1.65877460241318	0.57057946869858	1.99730491042137	0.173624370579225	0.132116210600361	1.9659358515989	1.0778673136665	0.645683700878625	1.03914016108339	0.650690649690627
