pmid	pmc	year	journal	title	chars	C1_known_locus	C2_coloc	C3_power_stability	C4_instrument_count	C5_smr_heidi
39830273	PMC11741481	2025	medRxiv : the preprint server for health sciences	Multi-Omics Analysis for Identifying Cell-Type-Specific Druggable Targets in Alzheimer's Disease.	70854	0	1	0	0	0
39833228	PMC11746978	2025	Scientific reports	Brain gliomas new transcriptomic discoveries from differentially expressed genes to therapeutic targets.	64422	0	0	0	0	0
39868518	PMC12074789	2025	Journal of the American Heart Association	Insights Into Causal Effects of Genetically Proxied Lipids and Lipid-Modifying Drug Targets on Cardiometabolic Diseases.	97712	0	1	0	0	0
39926389	PMC11802419	2024	Frontiers in endocrinology	Associations between lipid-lowering drugs and urate and gout outcomes: a Mendelian randomization study.	41931	0	0	0	0	0
39933264	PMC11867302	2025	EBioMedicine	Single-cell transcriptome-wide Mendelian randomization and colocalization reveals immune-mediated regulatory mechanisms 	71362	0	1	0	1	0
39949133	PMC11825984	2025	Journal of cachexia, sarcopenia and muscle	Association Analysis of the Circulating Proteome With Sarcopenia-Related Traits Reveals Potential Drug Targets for Sarco	75382	0	1	0	0	0
39950180	PMC11821612	2025	Frontiers in psychiatry	NEK4: prediction of available drug targets and common genetic linkages in bipolar disorder and major depressive disorder	40944	0	0	0	0	0
39966747	PMC11834470	2025	BMC cancer	Multi-omics integration analysis of the amino-acid metabolism-related genes identifies putatively causal variants of ACC	67644	0	1	0	0	0
40087664	PMC11909985	2025	BMC cancer	Genetically proxied therapeutic inhibition of antihypertensive drug targets and risk of pancreatic cancer: a mendelian r	54729	0	0	0	1	0
40095250	PMC11914663	2025	Discover oncology	Genetic association of lipids and lipid-lowering drug target genes with breast cancer.	92088	0	0	0	0	0
40116326	PMC11927037	2025	Journal of global health	Identifying potential drug targets for sepsis-related adult respiratory distress syndrome through comprehensive genetic 	40925	0	0	0	0	0
40131544	PMC11937463	2025	Cancer immunology, immunotherapy : CII	DNA methylation-regulated HLA-C expression modulates immune responses and metabolic alterations to influence prognosis i	60530	0	0	0	0	0
40140823	PMC11938603	2025	Lipids in health and disease	Druggable genome-wide Mendelian randomization identifies therapeutic targets for metabolic dysfunction-associated steato	74706	0	1	0	1	0
40149725	PMC11939929	2025	Biomedicines	Multi-Omics Integration Reveals Mitochondrial Gene Regulation as a Determinant of Tuberculosis Susceptibility: A Mendeli	44583	0	1	0	0	0
40211130	PMC11983800	2025	BMC cancer	Investigating potential drug targets for the treatment of glioblastoma: a Mendelian randomization study.	93701	0	1	0	1	0
40248742	PMC12000963	2025	Translational lung cancer research	Single cell RNA-seq and bulk RNA-seq analysis identifies MUC1 as a key gene for lung adenocarcinoma to neuroendocrine tr	50464	0	1	0	0	0
40301928	PMC12039192	2025	Diabetology &amp; metabolic syndrome	Identifying therapeutic target genes for diabetic retinopathy using systematic druggable genome-wide Mendelian randomiza	61199	0	1	0	0	0
40360443	PMC12074867	2025	Journal of cellular and molecular medicine	Revealing Putative Causal Genes by Establishing the Causality Between Different Lymphomas and Immune Cells.	38724	0	1	0	0	0
40374962	PMC12081795	2025	Discover oncology	Deciphering the role of acetylation-related gene NAT10 in colon cancer progression and immune evasion: implications for 	66964	0	0	0	0	0
40443776	PMC12121511	2025	Food science &amp; nutrition	Mendelian Randomization Assessment of the Genetic Effects of Lipid-Lowering Drugs on Digestive System Cancers.	53391	0	1	0	0	0
40463915	PMC12130657	2025	Clinical Medicine Insights. Oncology	Causal Association Between Lung Cancer and Rash: A Bidirectional Mendelian Randomization Study.	39943	0	0	0	0	0
40495162	PMC12150496	2025	Nutrition &amp; metabolism	Integrative multi-omics investigation of sleep apnea: gut microbiome metabolomics, proteomics and phenome-wide associati	123516	0	1	0	0	0
40496862	PMC12149120	2025	Frontiers in immunology	Integrative genomic and single-cell framework identifies druggable targets for colorectal cancer precision therapy.	73584	0	1	0	0	0
40536885	PMC12184172	2025	Epigenetics	DNA methylation and bronchiectasis: a Mendelian randomization analysis to investigate causal link and therapeutic target	44991	0	1	0	0	0
40555237	PMC12256824	2025	American journal of human genetics	Single-cell transcriptome-wide Mendelian randomization and colocalization analyses uncover cell-specific mechanisms in a	63626	0	1	0	1	0
40596422	PMC12217002	2025	Scientific reports	Genetic association analysis between LDL-c lowering drugs and portal hypertension using Mendelian randomization analysis	55752	0	1	0	0	0
40611294	PMC12231756	2025	Journal of translational medicine	Identification of key genes as diagnostic biomarkers for IBD using bioinformatics and machine learning.	58230	0	1	0	0	0
40616157	PMC12231758	2025	Diabetology &amp; metabolic syndrome	Cathepsin H increases the risk of diabetic retinopathy: evidence from Mendelian randomization and bioinformatic analysis	70419	0	0	0	0	0
40629249	PMC12511179	2025	Molecular neurobiology	EP300 Regulates CD8br AC (TBNK Panel) to Facilitate Insomnia.	51165	0	0	0	0	0
40638267	PMC12626534	2025	International journal of surgery (London, England)	Integrative multi-omics analysis reveal novel therapeutic targets for glioblastoma.	48423	0	1	0	0	0
40653474	PMC12257857	2025	Journal of cardiothoracic surgery	Identification of potential drug targets for achalasia from genetic insights: a Mendelian randomization study.	40175	0	1	0	0	0
40653482	PMC12257706	2025	Journal of translational medicine	Multi-omics analysis for identifying cell-type-specific and bulk-level druggable targets in Alzheimer's disease.	95175	0	1	0	0	0
40676348	PMC12270988	2025	Discover oncology	Cross-tissue transcriptome-wide analysis reveals novel insights into thyroid cancer etiology.	43692	0	1	0	0	0
40687153	PMC12275929	2025	Journal of inflammation research	Characterizing Duodenal Immune Microenvironment in Functional Dyspepsia: An AutoML-Driven Diagnostic Framework.	95389	0	0	0	0	0
40760609	PMC12323976	2025	Medicine	Mendelian randomization reveals causal circulatory microRNAs in prostate cancer pathogenesis and prognosis.	38279	0	0	0	1	0
40771899	PMC12327419	2025	Journal of inflammation research	VOPP1 as a Novel Susceptibility Gene in Rheumatoid Arthritis: Insights Into Its Mechanisms From Mendelian Randomization 	50657	0	1	0	0	0
40775364	PMC12329876	2025	Human genomics	TRP channels in hepatocellular carcinoma: integrative Mendelian randomization and multi-omics analyses highlight MCOLN3/	61538	0	0	0	0	0
40895540	PMC12391104	2025	Frontiers in immunology	eQTL and multi-omics integration reveal PPIH as a prognostic and immunotherapeutic biomarker.	75533	0	0	0	0	0
40934270	PMC12425328	2025	PloS one	Genetic association of lipids characteristics and lipid lowering drug target genes with sepsis.	45412	0	0	0	0	0
