variable	n_naive	n_post	median_naive	median_post	median_difference	p	FDR
ZFYVE19	7	9	0.0624055958817851	0.0596654749274899	-0.00274012095429525	0.596627788003399	1
SMC2	7	9	0.068449909525181	0.0770760148927482	0.00862610536756728	0.915700393531323	1
SPSB2	7	9	0.0295932821153935	0.0267120168346559	-0.00288126528073752	1	1
TPI1	7	9	1.07849574855127	1.06371526510601	-0.0147804834452627	0.832339176904783	1
HLA-C	7	9	3.31426440522322	3.11158756158885	-0.20267684363437	0.750823518899001	1
KIAA0040	7	9	0.228643616425222	0.25204313034239	0.0233995139171682	0.67199987100962	1
ProlifScore	7	9	0.101225985644934	0.0727627674868741	-0.0284632181580599	0.832339176904783	1
ExhaustScore	7	9	0.392756003928832	0.385653694904383	-0.00710230902444925	0.525358404466242	1
