unit	gap_observed	n_novel	n_matched	delta_matched	ci_lo	ci_hi	criterion_met
gene	0.6302083333333334	4	4	0.06437499999999999	0.00874999999999998	0.12	False
locus	0.4760416666666667	4	4	0.05187499999999998	-0.016250000000000014	0.12	True
