SYMBOL	exposure	cell_type	timepoint	SNP	rsid	pval_exposure	OR	OR_LCI	OR_UCI	pval	FDR	category	near_locus	dist_kb
TPI1	ENSG00000111669|CD4_Naive_stim_16h	Naive	16h	12:6867132	rs12302749	1.7389096e-12	1.305	1.108	1.537	0.0014242704019658	0.1192	潜在新位点	""	
ENO1	ENSG00000074800|CD4_Naive_uns_0h	Naive	0h	1:8850051	rs6577536	5.2713234e-09	1.019	0.984	1.055	0.289009306542836	0.7703	潜在新位点	""	
