definition	timepoint	variable	n_samples	n_R	n_NR	median_R	median_NR	diff	p
D0_fixed	Post	Glyco	25	8	17	-0.0865573692018699	0.102227208801824	-0.188784578003694	0.0182629943445059
D1_strict_CD8neg	Post	Glyco	23	6	17	-0.0390150684826654	0.173634586861361	-0.212649655344026	0.00565885427249032
D2_score_cohort	Post	Glyco	25	8	17	-0.0420910288212562	0.189156803184421	-0.231247832005677	0.01325670394091
D3_score_x_fixed	Post	Glyco	20	5	15	-0.0590289601089027	0.216272880342592	-0.275301840451494	0.0604660620586486
D0_fixed	Pre	Glyco	19	9	10	-0.119004188205136	0.0918965969590145	-0.21090078516415	0.156400874667129
D1_strict_CD8neg	Pre	Glyco	16	8	8	-0.0346365078877111	0.0474576814742915	-0.0820941893620026	0.441802641802642
D2_score_cohort	Pre	Glyco	19	9	10	-0.0747760481607411	0.168287826488821	-0.243063874649562	0.182316135876507
D3_score_x_fixed	Pre	Glyco	15	8	7	-0.122929132761742	0.102897604118021	-0.225826736879764	0.189277389277389
D0_fixed	Post	TPI1	25	8	17	4.85859797297297	6.89868421052632	-2.04008623755334	0.075491510824281
D1_strict_CD8neg	Post	TPI1	23	6	17	5.54055006587615	7.01918918918919	-1.47863912331304	0.0156628896475551
D2_score_cohort	Post	TPI1	25	8	17	5.20052114552115	6.93111111111111	-1.73058996558997	0.038559742286583
D3_score_x_fixed	Post	TPI1	20	5	15	5.16364583333333	7.40028985507246	-2.23664402173913	0.0734443014595503
D0_fixed	Pre	TPI1	19	9	10	5.13488	7.16420125932836	-2.02932125932836	0.0076208621100262
D1_strict_CD8neg	Pre	TPI1	16	8	8	5.43222435897436	7.11204761904762	-1.67982326007326	0.064957264957265
D2_score_cohort	Pre	TPI1	19	9	10	4.87414772727273	6.95307073030477	-2.07892300303204	0.0279287276191301
D3_score_x_fixed	Pre	TPI1	15	8	7	5.21814618308521	6.33740740740741	-1.1192612243222	0.151981351981352
