sample_def	timepoint	variable	n_R	n_NR	median_R	median_NR	diff	p
A: replicate biopsies separate (new)	Post	Glyco	8	17	-0.128640528400943	0.065169140707414	-0.193809669108357	0.0182629943445059
B: replicates collapsed (old/19i)	Post	Glyco	8	18	-0.128640528400943	0.0733196106184106	-0.201960139019353	0.0133958703732194
A: replicate biopsies separate (new)	Pre	Glyco	9	10	-0.158779630010936	0.0544614188841877	-0.213241048895123	0.156400874667129
B: replicates collapsed (old/19i)	Pre	Glyco	9	10	-0.158779630010936	0.0544614188841877	-0.213241048895123	0.156400874667129
A: replicate biopsies separate (new)	Post	TPI1	8	17	4.85859797297297	6.89868421052632	-2.04008623755334	0.075491510824281
B: replicates collapsed (old/19i)	Post	TPI1	8	18	4.85859797297297	6.86208123569794	-2.00348326272497	0.0114504620060417
A: replicate biopsies separate (new)	Pre	TPI1	9	10	5.13488	7.16420125932836	-2.02932125932836	0.0076208621100262
B: replicates collapsed (old/19i)	Pre	TPI1	9	10	5.13488	7.16420125932836	-2.02932125932836	0.0076208621100262
