unit	cls	n	median	q1	q3	lo	hi
gene	known	6	11.070693641400126	6.80471912315776	13.816183509331914	3.7445941907098623	15.988156810946789
gene	novel	4	4.232597742895145	4.031822141439187	4.387107056837928	3.7339154127190537	4.546214923018536
locus	known	3	5.682970928012221	4.713782559361041	10.835563869479504	3.7445941907098623	15.988156810946789
locus	novel	4	4.232597742895145	4.031822141439187	4.387107056837928	3.7339154127190537	4.546214923018536
