direction	pathway	total_raw_delta	mean_partner_raw_delta	mean_delta_per_LR
Outgoing_CD4_to_partner	PROS	0	0	0
Outgoing_CD4_to_partner	PSAP	0	0	0
Outgoing_CD4_to_partner	PTH	0	0	0
Outgoing_CD4_to_partner	QRFP	0	0	0
Outgoing_CD4_to_partner	CHEMERIN	0	0	0
Outgoing_CD4_to_partner	SAA	0	0	0
Outgoing_CD4_to_partner	UGRP1	0	0	0
Outgoing_CD4_to_partner	SCT	0	0	0
Outgoing_CD4_to_partner	SLURP	0	0	0
Outgoing_CD4_to_partner	BTLA	0	0	0
Outgoing_CD4_to_partner	TRH	0	0	0
Outgoing_CD4_to_partner	UCN	0	0	0
Outgoing_CD4_to_partner	UROTENSIN	0	0	0
Outgoing_CD4_to_partner	BAG	0	0	0
Outgoing_CD4_to_partner	KLK	0	0	0
Outgoing_CD4_to_partner	ADM	0	0	0
Outgoing_CD4_to_partner	CALC	0	0	0
Outgoing_CD4_to_partner	IAPP	0	0	0
Outgoing_CD4_to_partner	PROCR	0	0	0
Outgoing_CD4_to_partner	CTSG	0	0	0
Outgoing_CD4_to_partner	GRP	0	0	0
Outgoing_CD4_to_partner	PTPR	0	0	0
Outgoing_CD4_to_partner	SLITRK	0	0	0
Outgoing_CD4_to_partner	IGFBP	0	0	0
Outgoing_CD4_to_partner	CypA	0.0059420182058344	0.000848859743690628	0.000848859743690628
Outgoing_CD4_to_partner	PROC	0	0	0
Outgoing_CD4_to_partner	MHC-I	-0.00892869529389777	-0.00127552789912825	-3.11104365641037e-05
Outgoing_CD4_to_partner	RBP4	0	0	0
Outgoing_CD4_to_partner	SLIT	0	0	0
Outgoing_CD4_to_partner	TULP	0	0	0
Outgoing_CD4_to_partner	PLAU	0	0	0
Outgoing_CD4_to_partner	COLLAGEN	0	0	0
Outgoing_CD4_to_partner	FN1	0	0	0
Outgoing_CD4_to_partner	LAMININ	0	0	0
Outgoing_CD4_to_partner	CHAD	0	0	0
Outgoing_CD4_to_partner	RELN	0	0	0
Outgoing_CD4_to_partner	THBS	0	0	0
Outgoing_CD4_to_partner	VTN	0	0	0
Outgoing_CD4_to_partner	TENASCIN	0	0	0
Outgoing_CD4_to_partner	NPNT	0	0	0
Outgoing_CD4_to_partner	DSPP	0	0	0
Outgoing_CD4_to_partner	VWF	0	0	0
Outgoing_CD4_to_partner	BSP	0	0	0
Outgoing_CD4_to_partner	DMP1	0	0	0
Outgoing_CD4_to_partner	AGRN	0	0	0
Outgoing_CD4_to_partner	HSPG	0	0	0
Outgoing_CD4_to_partner	APP	0	0	0
Outgoing_CD4_to_partner	CADM	-0.00960512871250943	-0.0013721612446442	-0.000228693540774034
Outgoing_CD4_to_partner	CD23	0	0	0
Outgoing_CD4_to_partner	CD34	0	0	0
Outgoing_CD4_to_partner	CD39	0.00770403620487366	0.00110057660069624	0.000275144150174059
Outgoing_CD4_to_partner	CD45	0.000292889710159006	4.18413871655722e-05	2.09206935827861e-05
Outgoing_CD4_to_partner	CD46	0	0	0
Outgoing_CD4_to_partner	CD48	-7.02638834791051e-05	-1.00376976398722e-05	-1.00376976398722e-05
Outgoing_CD4_to_partner	CD6	-0.00645743163001829	-0.000922490232859755	-0.000922490232859755
Outgoing_CD4_to_partner	CD80	0	0	0
Outgoing_CD4_to_partner	CD86	0	0	0
Outgoing_CD4_to_partner	CD96	0	0	0
Outgoing_CD4_to_partner	CD99	-0.00962754141679949	-0.00137536305954278	-0.000343840764885696
Outgoing_CD4_to_partner	CDH	0	0	0
Outgoing_CD4_to_partner	CDH1	0	0	0
Outgoing_CD4_to_partner	CEACAM	0	0	0
Outgoing_CD4_to_partner	CLDN	0	0	0
Outgoing_CD4_to_partner	CLEC	-0.00352829872221716	-0.000504042674602452	-8.4007112433742e-05
Outgoing_CD4_to_partner	CNTN	0	0	0
Outgoing_CD4_to_partner	CSPG4	0	0	0
Outgoing_CD4_to_partner	DESMOSOME	0	0	0
Outgoing_CD4_to_partner	EPGN	0	0	0
Outgoing_CD4_to_partner	EPHA	0	0	0
Outgoing_CD4_to_partner	EPHB	0	0	0
Outgoing_CD4_to_partner	ESAM	0	0	0
Outgoing_CD4_to_partner	GP1BA	0	0	0
Outgoing_CD4_to_partner	ICAM	0	0	0
Outgoing_CD4_to_partner	ICOS	0	0	0
Outgoing_CD4_to_partner	JAM	0	0	0
Outgoing_CD4_to_partner	L1CAM	0	0	0
Outgoing_CD4_to_partner	LCK	0.000927763033871876	0.000132537576267411	0.000132537576267411
Outgoing_CD4_to_partner	MADCAM	0	0	0
Outgoing_CD4_to_partner	MHC-II	-0.145500298852816	-0.0207857569789736	-0.00173214641491447
Outgoing_CD4_to_partner	MPZ	0	0	0
Outgoing_CD4_to_partner	NCAM	0	0	0
Outgoing_CD4_to_partner	NEGR	0	0	0
Outgoing_CD4_to_partner	NGL	0	0	0
Outgoing_CD4_to_partner	NOTCH	0	0	0
Outgoing_CD4_to_partner	NRXN	0	0	0
Outgoing_CD4_to_partner	PD-L1	0	0	0
Outgoing_CD4_to_partner	PDL2	0	0	0
Outgoing_CD4_to_partner	PTPRM	0	0	0
Outgoing_CD4_to_partner	PVR	0	0	0
Outgoing_CD4_to_partner	SELE	0	0	0
Outgoing_CD4_to_partner	SELL	0	0	0
Outgoing_CD4_to_partner	SELPLG	-0.164081522011278	-0.0234402174301826	-0.00781340581006087
Outgoing_CD4_to_partner	SEMA4	-0.0352591383595567	-0.00503701976565095	-0.000387463058896227
Outgoing_CD4_to_partner	SEMA5	0	0	0
Outgoing_CD4_to_partner	SEMA6	0	0	0
Outgoing_CD4_to_partner	SEMA7	0	0	0
Outgoing_CD4_to_partner	SN	0	0	0
Outgoing_CD4_to_partner	THY1	0	0	0
Outgoing_CD4_to_partner	VCAM	-0.00506427837314403	-0.000723468339020575	-0.000180867084755144
Outgoing_CD4_to_partner	GAP	0	0	0
Outgoing_CD4_to_partner	PCDH	0	0	0
Outgoing_CD4_to_partner	FLRT	0	0	0
Outgoing_CD4_to_partner	UNC5	0	0	0
Outgoing_CD4_to_partner	ApoA	0	0	0
Outgoing_CD4_to_partner	ApoB	0	0	0
Outgoing_CD4_to_partner	ApoE	0	0	0
Outgoing_CD4_to_partner	CD160	0	0	0
Outgoing_CD4_to_partner	CD276	0	0	0
Outgoing_CD4_to_partner	LAIR1	0	0	0
Outgoing_CD4_to_partner	MMP	0	0	0
Outgoing_CD4_to_partner	Netrin	0	0	0
Outgoing_CD4_to_partner	CD200	0	0	0
Outgoing_CD4_to_partner	SIRP	0.0170657590677625	0.00243796558110893	0.00243796558110893
Incoming_partner_to_CD4	TGFb	0	0	0
Incoming_partner_to_CD4	BMP	0	0	0
Incoming_partner_to_CD4	BMP10	0	0	0
Incoming_partner_to_CD4	GDF	0	0	0
Incoming_partner_to_CD4	MSTN	0	0	0
Incoming_partner_to_CD4	AMH	0	0	0
Incoming_partner_to_CD4	GDNF	0	0	0
Incoming_partner_to_CD4	NODAL	0	0	0
Incoming_partner_to_CD4	ACTIVIN	0	0	0
Incoming_partner_to_CD4	WNT	0	0	0
Incoming_partner_to_CD4	ncWNT	0	0	0
Incoming_partner_to_CD4	EGF	0	0	0
Incoming_partner_to_CD4	NRG	0	0	0
Incoming_partner_to_CD4	FGF	0	0	0
Incoming_partner_to_CD4	PDGF	0	0	0
Incoming_partner_to_CD4	VEGF	0	0	0
Incoming_partner_to_CD4	IGF	0	0	0
Incoming_partner_to_CD4	INSULIN	0	0	0
Incoming_partner_to_CD4	HH	0	0	0
Incoming_partner_to_CD4	CCL	-0.213350660216674	-0.0304786657452391	-0.000554157559004348
Incoming_partner_to_CD4	CXCL	0.00196209839089997	0.000280299770128568	1.27408986422076e-05
Incoming_partner_to_CD4	MIF	-0.0173487449536573	-0.00247839213623675	-0.000619598034059188
Incoming_partner_to_CD4	CX3C	0	0	0
Incoming_partner_to_CD4	XCR	0	0	0
Incoming_partner_to_CD4	IL2	0	0	0
Incoming_partner_to_CD4	IL4	0	0	0
Incoming_partner_to_CD4	IL6	0	0	0
Incoming_partner_to_CD4	IL12	0	0	0
Incoming_partner_to_CD4	LIFR	0	0	0
Incoming_partner_to_CD4	OSM	0	0	0
Incoming_partner_to_CD4	IL10	0	0	0
Incoming_partner_to_CD4	IL1	0	0	0
Incoming_partner_to_CD4	IL17	0	0	0
Incoming_partner_to_CD4	CSF	0	0	0
Incoming_partner_to_CD4	IL16	0.0570659566746929	0.00815227952495613	0.00815227952495613
Incoming_partner_to_CD4	EPO	0	0	0
Incoming_partner_to_CD4	GH	0	0	0
Incoming_partner_to_CD4	PRL	0	0	0
Incoming_partner_to_CD4	CSF3	0	0	0
Incoming_partner_to_CD4	IFN-I	0	0	0
Incoming_partner_to_CD4	IFN-II	0	0	0
Incoming_partner_to_CD4	TNF	0.0137552085127424	0.00196502978753463	0.000982514893767313
Incoming_partner_to_CD4	LT	0	0	0
Incoming_partner_to_CD4	LIGHT	0	0	0
Incoming_partner_to_CD4	FASLG	0.00427775976348108	0.000611108537640154	0.000611108537640154
Incoming_partner_to_CD4	VEGI	0	0	0
Incoming_partner_to_CD4	TRAIL	0	0	0
Incoming_partner_to_CD4	NGF	0	0	0
Incoming_partner_to_CD4	RANKL	0	0	0
Incoming_partner_to_CD4	TWEAK	0	0	0
Incoming_partner_to_CD4	CD70	0	0	0
Incoming_partner_to_CD4	CD30	0	0	0
Incoming_partner_to_CD4	CD137	0.00482805755172805	0.000689722507389721	0.000689722507389721
Incoming_partner_to_CD4	OX40	0	0	0
Incoming_partner_to_CD4	GITRL	0	0	0
Incoming_partner_to_CD4	APRIL	0	0	0
Incoming_partner_to_CD4	BAFF	0	0	0
Incoming_partner_to_CD4	CD40	0	0	0
Incoming_partner_to_CD4	SPP1	0	0	0
Incoming_partner_to_CD4	ADIPONECTIN	0	0	0
Incoming_partner_to_CD4	RESISTIN	0	0	0
Incoming_partner_to_CD4	VISFATIN	0	0	0
Incoming_partner_to_CD4	ANGPTL	0	0	0
Incoming_partner_to_CD4	ANGPT	0	0	0
Incoming_partner_to_CD4	MK	0	0	0
Incoming_partner_to_CD4	PTN	0	0	0
Incoming_partner_to_CD4	PERIOSTIN	0	0	0
Incoming_partner_to_CD4	AGT	0	0	0
Incoming_partner_to_CD4	GPR	0	0	0
Incoming_partner_to_CD4	BRADYKININ	0	0	0
Incoming_partner_to_CD4	COMPLEMENT	0	0	0
Incoming_partner_to_CD4	EDN	0	0	0
Incoming_partner_to_CD4	GALANIN	0	0	0
Incoming_partner_to_CD4	GHRELIN	0	0	0
Incoming_partner_to_CD4	MELANOCORTIN	0	0	0
Incoming_partner_to_CD4	NMU	0	0	0
Incoming_partner_to_CD4	NPFF	0	0	0
Incoming_partner_to_CD4	NPY	0	0	0
Incoming_partner_to_CD4	NPW-B	0	0	0
Incoming_partner_to_CD4	NTS	0	0	0
Incoming_partner_to_CD4	OPIOID	0	0	0
Incoming_partner_to_CD4	HCRT	0	0	0
Incoming_partner_to_CD4	OXT	0	0	0
Incoming_partner_to_CD4	SOMATOSTATIN	0	0	0
Incoming_partner_to_CD4	TAC	0	0	0
Incoming_partner_to_CD4	UTS2	0	0	0
Incoming_partner_to_CD4	PARs	-0.0232379416547179	-0.00331970595067399	-0.000114472618988758
Incoming_partner_to_CD4	PMCH	0	0	0
Incoming_partner_to_CD4	PROK	0	0	0
Incoming_partner_to_CD4	NPR1	0	0	0
Incoming_partner_to_CD4	NPR2	0	0	0
Incoming_partner_to_CD4	KIT	0	0	0
Incoming_partner_to_CD4	GIPR	0	0	0
Incoming_partner_to_CD4	FSH	0	0	0
Incoming_partner_to_CD4	TSH	0	0	0
Incoming_partner_to_CD4	NT	0	0	0
Incoming_partner_to_CD4	FLT3	0	0	0
Incoming_partner_to_CD4	HGF	0	0	0
Incoming_partner_to_CD4	SEMA3	0	0	0
Incoming_partner_to_CD4	CALCR	0	0	0
Incoming_partner_to_CD4	ANNEXIN	0	0	0
Incoming_partner_to_CD4	CRH	0	0	0
Incoming_partner_to_CD4	ENHO	0	0	0
Incoming_partner_to_CD4	GAS	0	0	0
Incoming_partner_to_CD4	GCG	0	0	0
Incoming_partner_to_CD4	GHRH	0	0	0
Incoming_partner_to_CD4	GNRH	0	0	0
