direction	family	n_in_top	pct_in_top	pct_background	enrichment
up	ribosomal_protein	36	12.0	1.1629426368744282	10.31865168539326
up	mito_encoded	0	0.0	0.20906833921338036	0.0
up	OXPHOS_nuclear	10	3.3333333333333335	1.3197438912844637	2.5257425742574258
up	glycolysis	15	5.0	0.23520188161505293	21.258333333333333
up	histone	1	0.3333333333333333	0.09146739840585391	3.644285714285714
up	HLA	0	0.0	0.06533385600418137	0.0
up	interferon	1	0.3333333333333333	0.10453416960669018	3.18875
up	cell_cycle	2	0.6666666666666666	0.15680125441003528	4.251666666666666
up	heat_shock	5	1.6666666666666667	0.6141382464393048	2.713829787234043
up	lncRNA_AC/AL	0	0.0	0.47040376323010585	0.0
down	ribosomal_protein	0	0.0	1.1629426368744282	0.0
down	mito_encoded	0	0.0	0.20906833921338036	0.0
down	OXPHOS_nuclear	0	0.0	1.3197438912844637	0.0
down	glycolysis	0	0.0	0.23520188161505293	0.0
down	histone	0	0.0	0.09146739840585391	0.0
down	HLA	0	0.0	0.06533385600418137	0.0
down	interferon	1	0.3333333333333333	0.10453416960669018	3.18875
down	cell_cycle	1	0.3333333333333333	0.15680125441003528	2.125833333333333
down	heat_shock	0	0.0	0.6141382464393048	0.0
down	lncRNA_AC/AL	10	3.3333333333333335	0.47040376323010585	7.086111111111111
