dataset	module	rho_raw	rho_partial_nFeature	p_partial
GSE120575	glycolysis	0.152566452569871	0.161434032374476	4.67979630411378e-24
GSE120575	OXPHOS	0.018145742402186	0.0285976762637218	0.0749663751131807
GSE115978	glycolysis	0.381262500754216	0.329943912754036	3.46640766207546e-23
GSE115978	OXPHOS	0.168959832590044	0.15447907137205	5.61623452529186e-06
