gene	rho_prolif_cell	p_prolif_cell	rho_exhaust_cell	p_exhaust_cell	FDR_prolif_cell	FDR_exhaust_cell
ZFYVE19	0.0919291079185595	9.74795717867527e-09	0.0600327232816111	0.000183565528775671	1.94959143573505e-08	0.000260720717071519
SMC2	0.372574849633802	5.69720164310087e-128	0.132968801012784	9.19692986309311e-17	3.41832098586052e-127	2.75907895892793e-16
SPSB2	0.0551214063948249	0.000594498163904889	0.0267691082909269	0.0955602018119959	0.000713397796685866	0.0955602018119959
TPI1	-0.0182545666288165	0.255745017523671	0.090595182945911	1.59060369740725e-08	0.255745017523671	3.18120739481451e-08
HLA-C	-0.364427188855859	4.10733568207321e-122	-0.293290289368753	8.61574778200315e-78	1.23220070462196e-121	5.16944866920189e-77
KIAA0040	0.0655005684167585	4.46450976417162e-05	0.0593506086186559	0.000217267264226266	6.69676464625743e-05	0.000260720717071519
