patient	timepoint	n_samples	n_CD4	ZFYVE19	SMC2	SPSB2	TPI1	HLA-C	KIAA0040	ProlifScore	ExhaustScore
P1	Pre	1	55	0.333730009958478	0.414446793834829	0	3.52304695422134	6.322970109493	0.754576181922595	0.447289580284301	2.08239101549407
P1	Post	2	178	0.535527206353693	0.939381006407217	0.467215221418673	4.75312778247134	6.33912714672712	0.566948045660656	0.760034150957342	2.9727864333602
P10	Post	1	109	0.575477529262718	0.575120613917765	0.210364136997613	4.59092864005559	6.61532613410333	0.984060701914886	0.56092683264573	2.12797758096371
P11	Post	1	57	0.202694381666498	0.698314882264374	0.234632484598126	3.78684951320828	6.887513413502	0.605258264868914	0.391350285329617	1.98735552104423
P12	Pre	1	67	1.03943427527662	0.364128991190168	0.562631691874616	4.92668164264952	6.65886341532545	1.07023804652633	0.274831584904758	1.69759920334648
P12	Post	1	102	0.47603854515983	0.469191835767851	0.489327199642626	4.22619319299562	6.6639301358447	1.13469337302108	0.302788489769355	3.30691992943269
P13	Post	1	54	0.23650946200164	0.56947847951094	0.542899110943127	4.46260612715916	6.77410664298523	0.691290077448443	0.41697544127642	2.50912531150688
P14	Post	1	75	0.193980217124951	0.565720420317	0.662321599961516	4.70629051706603	6.65698339129033	0.778643843904316	0.545261769370119	0.939355378142719
P15	Pre	1	64	0.283868303650687	0.264697124095364	0.29749874464507	4.77439864265953	6.72563682817043	0.395380085606674	0.422345743141742	2.07015051083744
P15	Post	1	70	0.466154997733106	0.673583668127086	0.183077783084648	5.00844710366119	6.62262966416523	0.62369980145816	0.890882349662331	2.11203540309048
P16	Post	1	95	0.528257025076177	0.748436618493827	0.373742762848318	4.16678300130647	6.55801333412529	1.02456705105806	0.65664565309372	2.0121315706092
P17	Post	1	101	0.353135666077828	0.103766300933281	0.309510719056639	3.29253298078759	6.9110946888022	0.238859813918823	0.201266590089092	1.88267637608381
P18	Post	1	70	0.344242552098377	0.25527739647077	0.40652475589918	3.48983561599282	6.66270801385891	0.872674505930298	0.258519473448961	1.64108569508422
P19	Post	1	67	0.335450285794983	0.15415853104991	0.184265419888109	3.45639473136398	6.77251191060913	0.72630515601961	0.258363782488708	0.943838087944212
P2	Pre	1	58	0.107929085874447	0.513537197939793	0.107831622642177	5.12584838363944	6.59435485087535	0.833672166961673	0.68928409103488	3.39904518471887
P2	Post	1	107	0.630734715275952	0.541145071493247	0.752291936511072	5.07704400356879	6.41428525128976	1.37445338701842	0.767295548169307	3.81405672996562
P20	Pre	1	117	0.75803552157573	1.04835147700744	0.562212632978025	5.16343348919388	6.55884150696543	0.901471927989464	1.05349919424511	3.20379437566081
P20	Post	1	76	0.391073125325031	0.1460897573977	0.315166523660388	4.60619486735615	6.59452731012028	0.775206713121029	0.558987379106486	2.70470203262068
P21	Post	1	74	0.141053824033052	0.146524005162363	0.358029881532726	2.48534426342561	6.75782310668639	0.915975845846088	0.105209357358129	0.835398672424844
P22	Post	1	41	0.353278218462187	0.579382523366567	0.306908120969894	3.72025025017239	6.59253821507604	0.748121115072308	0.720394510956469	1.25044093537043
P23	Post	2	221	0.557200047329291	1.02431266533895	0.500155237962777	4.84080296312398	6.43110671674247	1.58992631969501	0.820823740616881	3.4375674735292
P24	Pre	1	110	0.525071419188906	0.554419039530334	0.403269589121511	3.45156703419727	6.70966050700441	1.00709623435618	0.326644479321626	0.791235920521072
P25	Pre	1	80	0.44600009876959	0.22308870903433	0	4.27380038313835	6.70301679700988	0.632724939840573	0.365072477249626	2.54801351478535
P26	Pre	1	37	0.715879771307653	0.337692212587731	0.52149717010395	4.03830289141021	6.64580360327734	0.579700545705263	0.560656586775564	1.32773505176031
P27	Pre	1	72	0.974280956196262	0.342018876921372	0.181636909362351	4.64858252272271	6.54744600301337	0.811144006191136	0.488309752495737	3.27838920068412
P28	Pre	1	125	0.505990605533249	0.0989011773857924	0.338145350661192	3.59840891743908	6.58239408299096	0.968557943453865	0.221222529629483	1.36601705890697
P28	Post	1	99	0.565872061442795	0.429979081142859	0.484011750337587	4.81204721713726	6.47481640051969	1.37605099855603	0.380891940310305	2.69592210677347
