window	n_glyco	obs_lfc	null_mean	null_sd	p
w2k	22	-0.062213122283064075	-0.1353631561750338	0.06351526718860184	0.11077784443111378
w10k	22	0.27826979244357225	-0.10414890893798383	0.06400087909502174	0.0001999600079984003
