set	n_gene_lineage	n_0h	frac	bg_n	bg_0h	bg_frac	OR	p
locked16	24	2	0.08333333333333333	19180	4383	0.22851929092805004	0.3069089249787402	0.0640087229947881
locked15_noTPI1	22	2	0.09090909090909091	19180	4383	0.22851929092805004	0.3375998174766143	0.09239523939921013
