gene	GSM9459774_mel2	GSM9459775_mel3
ALDOA	FALSE	FALSE
ENO1	TRUE	TRUE
GAPDH	FALSE	FALSE
GPI	TRUE	TRUE
HK1	TRUE	TRUE
HK2	TRUE	TRUE
LDHA	FALSE	FALSE
PFKFB3	TRUE	TRUE
PFKL	TRUE	TRUE
PFKP	TRUE	TRUE
PGAM1	TRUE	TRUE
PGK1	TRUE	TRUE
PKM	FALSE	FALSE
SLC2A1	TRUE	TRUE
SLC2A3	TRUE	TRUE
TPI1	FALSE	FALSE
