SYMBOL	n_profiles	best_p	best_FDR	OR_at_best	direction	profiles
TPI1	1	0.0014242704019658	0.119232232438671	1.30528378999639	risk	Naive_16h
ENO1	1	0.289009306542836	0.770327875808136	1.01903351051853	risk	Naive_0h
