lineage	timepoint	se_locked	se_background	ratio	n_locked
Naive	0h	0.11996003985404968	0.13883168995380402	0.8640681381460253	12
Naive	16h	0.08325371146202087	0.10956558585166931	0.7598527476933347	13
Naive	40h	0.06649056077003479	0.10323847085237503	0.6440482915047473	13
Naive	5d	0.08307106792926788	0.12086795270442963	0.6872877886201133	13
Memory	0h	0.12677865475416183	0.14216271042823792	0.8917855770494628	12
Memory	16h	0.07150601595640182	0.11669450253248215	0.612762507269766	13
Memory	40h	0.04018224775791168	0.07086774706840515	0.5670033184366047	13
Memory	5d	0.08688057959079742	0.11245245486497879	0.7725983367380871	13
